,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,HOU,"L,2-3",8.0,6,3,3,0,1,4,2,0,3.38,29,,,0.0,0.0,0,0,28,0,1,0,0,0,1,1,3,Bill Williams,"B.Hooton (99-37-L), J.Reuss (99), B.Castillo (99)",LAD,1980
1,2,Apr 11,False,HOU,"L,6-10",8.0,13,10,10,0,3,3,1,0,7.31,37,,,4.0,3.0,3,1,34,2,0,1,0,0,0,2,3,Paul Pryor,"R.Sutcliffe (99-38), D.Stanhouse (99-BL), S.Howe (99)",LAD,1980
2,3,Apr 12,False,HOU,"W,6-5",17.0,13,5,4,1,7,6,1,0,4.64,71,,,0.0,0.0,2,0,62,3,1,3,2,0,1,0,6,John McSherry,"D.Sutton (99-38), B.Castillo (1), C.Hough (99), D.Stanhouse (0), S.Howe (0-W), B.Hooton (1-Sv)",LAD,1980
3,4,Apr 13,False,HOU,"L,2-4",8.0,11,4,4,0,4,4,0,0,4.61,38,,,0.0,0.0,1,1,33,2,0,0,1,0,0,0,2,Steve Fields,"D.Goltz (99-40-L), C.Hough (0)",LAD,1980
4,5,Apr 14,False,SDP,"L,1-2",8.0,4,2,2,0,6,1,0,0,4.22,33,,,0.0,0.0,2,0,26,1,0,1,0,1,1,1,2,Harry Wendelstedt,"B.Welch (99-67), B.Castillo (1-L)",LAD,1980
5,6,Apr 15,False,SDP,"L,5-9",8.0,11,9,8,1,5,6,1,0,4.89,38,,,2.0,1.0,6,0,30,2,0,0,1,2,0,2,3,Frank Pulli,"R.Sutcliffe (3-20-L), C.Hough (1), B.Castillo (0)",LAD,1980
6,7,Apr 16,False,SDP,"W,10-4",9.0,6,4,4,0,5,4,1,0,4.77,37,,,0.0,0.0,0,0,31,0,0,0,1,0,0,1,2,Ed Montague,"B.Hooton (3-63-W), D.Stanhouse (3)",LAD,1980
7,8,Apr 17,True,HOU,"W,6-4",9.0,6,4,4,0,6,8,1,0,4.68,37,,,0.0,0.0,7,1,31,0,0,1,0,0,0,1,2,Lanny Harris,"D.Sutton (4-52), J.Reuss (6-BW)",LAD,1980
8,9,Apr 18,True,HOU,"L,4-7",9.0,11,7,6,1,7,7,0,0,4.82,46,,,2.0,1.0,0,0,36,1,0,2,2,1,1,0,4,Harry Wendelstedt,"D.Goltz (4-40-L), B.Castillo (2), S.Howe (5), C.Hough (2)",LAD,1980
9,10,Apr 19,True,HOU,"L,0-2",9.0,2,2,2,0,2,7,0,0,4.55,32,,,0.0,0.0,0,0,28,0,0,0,1,1,0,0,2,Frank Pulli,"B.Welch (4-73-L), S.Howe (0)",LAD,1980
10,11,Apr 20,True,HOU,"W,4-2",9.0,7,2,2,0,3,3,0,1,4.32,37,,,3.0,1.0,1,0,32,2,0,0,0,1,0,0,2,Jerry Crawford,"R.Sutcliffe (4-53), J.Reuss (2-BW)",LAD,1980
11,12,Apr 21,True,SFG,"W,4-3",9.0,7,3,3,0,2,6,0,0,4.22,34,,,0.0,0.0,0,1,30,0,0,0,2,0,0,0,2,Eric Gregg,"B.Hooton (4-58-W), S.Howe (1-Sv)",LAD,1980
12,13,Apr 22,True,SFG,"W,6-0",9.0,4,0,0,0,1,8,0,0,3.9,31,,,,,0,1,30,0,0,0,0,0,0,0,1,Ed Vargo,D.Sutton (4-86-W),LAD,1980
13,14,Apr 23,True,SFG,"W,4-0",9.0,6,0,0,0,4,4,0,0,3.63,35,,,,,1,0,31,1,0,0,0,0,0,2,1,Satch Davidson,D.Goltz (4-75-W),LAD,1980
14,15,Apr 24,True,SFG,"W,5-2",10.0,6,2,2,0,3,7,1,0,3.5,39,,,0.0,0.0,0,0,35,0,0,0,0,1,0,0,2,Dave Pallone,"B.Welch (4-63), J.Reuss (3-W)",LAD,1980
15,16,Apr 25,True,SDP,"W,6-3",9.0,12,3,3,0,2,6,1,0,3.47,39,,,3.0,0.0,1,0,37,3,0,0,0,0,0,0,4,Jim Quick,"R.Sutcliffe (4-42), B.Castillo (6-W), C.Hough (6-H), S.Howe (3-Sv)",LAD,1980
16,17,Apr 26,True,SDP,"W,4-3",9.0,8,3,3,0,2,6,0,0,3.44,36,,,4.0,2.0,0,0,33,1,0,0,0,1,0,1,3,Bob Engel,"B.Hooton (4-56), S.Howe (0-BSv), J.Beckwith (99-W)",LAD,1980
17,18,Apr 27,True,SDP,"W,3-1",9.0,4,1,1,0,1,4,1,0,3.31,32,,,0.0,0.0,0,0,31,1,0,0,0,0,0,0,2,Jerry Dale,"D.Sutton (4-67-W), C.Hough (1-Sv)",LAD,1980
18,19,Apr 29,False,SFG,"W,5-0",9.0,6,0,0,0,1,5,0,0,3.14,34,,,,,0,0,33,0,0,0,0,0,0,0,1,Paul Runge,D.Goltz (5-79-W),LAD,1980
19,20,Apr 30,False,SFG,"W,4-3",9.0,8,3,3,0,2,1,1,0,3.13,36,,,0.0,0.0,0,0,33,1,0,0,0,1,0,0,2,Jim Quick,"B.Welch (5-53-W), S.Howe (3-Sv)",LAD,1980
20,21,May 2,False,PHI,"L,5-9",8.0,9,9,8,1,7,6,2,0,3.38,39,,,3.0,2.0,1,0,31,2,0,0,0,0,0,1,4,Joe West,"R.Sutcliffe (6-39), B.Castillo (6), C.Hough (4-L), J.Beckwith (5)",LAD,1980
21,22,May 3,False,PHI,"L,3-7",8.0,10,7,7,0,2,4,2,0,3.56,35,,,2.0,1.0,1,0,30,1,1,0,1,2,0,0,4,Bill Williams,"B.Hooton (6-17-L), B.Castillo (0), J.Beckwith (0), J.Reuss (8)",LAD,1980
22,23,May 4,False,PHI,"W,12-10",9.0,13,10,8,2,2,5,2,1,3.75,45,,,5.0,1.0,0,1,40,2,1,0,0,2,2,0,5,Paul Pryor,"D.Goltz (4-33), C.Hough (1-H), S.Howe (3-BSv), J.Beckwith (0-W), J.Reuss (0-Sv)",LAD,1980
23,24,May 6,False,PIT,"L,1-2",8.0,10,2,2,0,3,1,0,0,3.69,35,33.0,22.0,3.0,1.0,0,0,32,1,0,1,0,0,0,0,3,Steve Fields,"D.Sutton (8-59), S.Howe (1-L), J.Beckwith (1)",LAD,1980
24,25,May 7,False,PIT,"L,6-7",8.0,12,7,7,0,2,6,4,0,3.84,37,,,3.0,0.0,1,0,34,1,0,0,1,0,0,0,4,Harry Wendelstedt,"B.Welch (6-29), B.Castillo (3), C.Hough (2-L), S.Howe (0)",LAD,1980
25,26,May 9,False,STL,"L,7-15",8.0,18,15,15,0,6,3,3,0,4.29,46,,,3.0,1.0,3,0,40,1,0,0,0,0,0,1,4,Jerry Crawford,"R.Sutcliffe (6-21-L), B.Castillo (1), C.Hough (1), J.Beckwith (2)",LAD,1980
26,27,May 10,False,STL,"W,5-3",9.0,9,3,3,0,4,3,0,0,4.24,38,,,3.0,2.0,1,0,33,2,0,0,1,0,0,0,2,Doug Harvey,"B.Hooton (6-53-W), J.Reuss (5-Sv)",LAD,1980
27,28,May 11,False,STL,"W,4-2",9.0,13,2,2,0,2,1,0,0,4.16,38,,,4.0,0.0,2,0,35,2,0,0,1,0,0,4,3,Andy Olsen,"D.Goltz (6-41-W), S.Howe (3-H), J.Reuss (0-Sv)",LAD,1980
28,29,May 12,True,CHC,"W,2-1",9.0,10,1,1,0,4,11,1,0,4.05,37,,,0.0,0.0,2,2,33,1,0,0,0,0,0,1,2,Dave Pallone,"D.Sutton (5-55-W), B.Castillo (2-Sv)",LAD,1980
29,30,May 13,True,CHC,"W,4-2",9.0,9,2,2,0,1,5,1,0,3.98,36,,,,,1,0,35,0,0,0,0,0,0,0,1,Ed Vargo,B.Welch (5-65-W),LAD,1980
30,31,May 14,True,CHC,"L,2-5",9.0,9,5,5,0,1,7,2,0,4.01,36,,,0.0,0.0,1,1,35,1,1,0,0,0,0,0,3,Satch Davidson,"B.Hooton (3-49-L), J.Beckwith (4), R.Sutcliffe (4)",LAD,1980
31,32,May 16,True,PIT,"W,8-6",9.0,12,6,6,0,2,1,1,0,4.08,40,,,3.0,1.0,4,0,37,1,0,0,0,1,1,1,4,Bruce Froemming,"J.Reuss (4-45-W), B.Castillo (3), S.Howe (4-H), R.Sutcliffe (1-Sv)",LAD,1980
32,33,May 17,True,PIT,"W,3-1",9.0,3,1,1,0,0,6,1,0,3.98,30,,,0.0,0.0,0,0,29,0,0,0,1,0,1,0,2,Terry Tata,"D.Sutton (4-78-W), S.Howe (0-Sv)",LAD,1980
33,34,May 18,True,PIT,"W,2-0",9.0,3,0,0,0,1,2,0,0,3.87,31,,,1.0,0.0,0,0,29,0,0,0,1,0,2,1,2,John Kibler,"B.Welch (4-79-W), S.Howe (0-Sv)",LAD,1980
34,35,May 19,True,STL,"W,5-1",9.0,5,1,1,0,2,2,1,0,3.78,33,,,,,0,0,31,0,0,0,0,0,0,1,1,Paul Pryor,B.Hooton (4-73-W),LAD,1980
35,36,May 20,True,STL,"W,4-3",9.0,11,3,3,0,2,3,0,0,3.76,41,,,3.0,0.0,1,0,39,1,0,0,0,0,0,0,4,John McSherry,"J.Reuss (3-47-W), B.Castillo (3-H), S.Howe (1-H), R.Sutcliffe (3-Sv)",LAD,1980
