,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 4,True,STL,"L,1-4",31,30,1,4,1,0,0,1,0,0,6,1,0,0,0,1,0,0,0.133,0.161,0.167,0.328,3,16,R,K.Lohse(73),MIA,2012
1,2,Apr 5,False,CIN,"L,0-4",31,29,0,3,1,0,0,0,2,0,8,0,0,0,1,0,0,1,0.119,0.161,0.153,0.314,4,12,R,J.Cueto(73),MIA,2012
2,3,Apr 7,False,CIN,"W,8-3",43,38,8,12,3,1,3,8,5,0,9,0,0,0,0,1,3,0,0.196,0.257,0.361,0.618,8,11,R,M.Latos(36),MIA,2012
3,4,Apr 8,False,CIN,"L,5-6",38,36,5,11,1,1,0,5,0,0,7,1,0,1,0,1,2,0,0.226,0.273,0.368,0.641,6,15,R,B.Arroyo(39),MIA,2012
4,5,Apr 9,False,PHI,"W,6-2",35,35,6,11,3,0,3,6,0,0,11,0,0,0,0,2,2,1,0.244,0.281,0.429,0.709,2,12,L,C.Hamels(47),MIA,2012
5,6,Apr 11,False,PHI,"L,1-7",33,32,1,5,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0.23,0.265,0.395,0.66,5,12,R,R.Halladay(65),MIA,2012
6,7,Apr 12,False,PHI,"L,1-3",35,33,1,6,2,0,0,1,2,0,4,0,0,0,1,1,0,0,0.223,0.26,0.373,0.634,7,13,R,J.Blanton(69),MIA,2012
7,8,Apr 13,True,HOU,"W,5-4",43,39,5,12,2,0,0,3,4,0,5,0,0,0,0,3,1,0,0.235,0.277,0.371,0.648,8,17,R,L.Harrell(30),MIA,2012
8,9,Apr 14,True,HOU,"L,4-5",34,32,4,8,1,0,0,4,1,0,6,0,0,1,0,2,2,1,0.237,0.276,0.362,0.637,3,17,R,B.Norris(47),MIA,2012
9,10,Apr 15,True,HOU,"W,5-4",48,41,5,12,1,1,2,5,6,2,10,0,1,0,0,1,0,0,0.243,0.289,0.38,0.669,12,15,L,J.Happ(60),MIA,2012
10,11,Apr 17,True,CHC,"W,5-2",35,30,5,7,3,0,1,4,5,1,8,0,0,0,2,1,2,0,0.243,0.294,0.384,0.678,6,13,R,R.Dempster(66),MIA,2012
11,12,Apr 18,True,CHC,"W,9-1",42,35,9,14,2,1,2,9,5,0,8,0,0,2,0,1,0,0,0.256,0.309,0.41,0.718,9,11,R,M.Garza(33),MIA,2012
12,13,Apr 19,True,CHC,"W,5-3",38,31,5,9,1,0,0,5,6,1,4,0,1,0,0,1,4,0,0.259,0.316,0.404,0.72,9,15,R,J.Samardzija(23),MIA,2012
13,14,Apr 20,False,WSN,"L,0-2",35,31,0,4,1,0,0,0,4,0,9,0,0,0,0,0,0,0,0.25,0.31,0.388,0.698,8,13,L,R.Detwiler(72),MIA,2012
14,15,Apr 21,False,WSN,"L,2-3",39,34,2,6,2,0,1,2,4,1,6,0,1,0,0,0,2,0,0.245,0.307,0.383,0.69,7,14,R,S.Strasburg(69),MIA,2012
15,16,Apr 24,False,NYM,"L,1-2",33,30,1,3,1,0,0,1,3,0,11,0,0,0,0,0,1,0,0.237,0.3,0.369,0.669,5,16,L,J.Santana(73),MIA,2012
16,17,Apr 25,False,NYM,"L,1-5",34,33,1,6,1,0,1,1,1,0,9,0,0,0,1,1,0,0,0.234,0.295,0.366,0.66,6,12,R,R.Dickey(73),MIA,2012
17,18,Apr 26,False,NYM,"L,2-3",31,31,2,6,2,0,1,1,0,0,8,0,0,0,0,2,1,0,0.232,0.29,0.365,0.655,2,13,L,J.Niese(67),MIA,2012
18,19,Apr 27,True,ARI,"L,0-5",29,27,0,3,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0.226,0.285,0.354,0.639,2,14,L,J.Saunders(83),MIA,2012
19,20,Apr 28,True,ARI,"W,3-2",39,33,3,10,2,2,1,3,4,1,10,1,1,0,0,1,0,1,0.23,0.291,0.365,0.656,10,13,R,I.Kennedy(57),MIA,2012
20,21,Apr 29,True,ARI,"L,4-8",36,32,4,4,2,0,1,4,4,0,6,0,0,0,2,0,0,0,0.225,0.288,0.361,0.649,5,15,L,W.Miley(73),MIA,2012
21,22,Apr 30,True,ARI,"L,5-9",40,35,5,10,2,0,2,5,3,0,9,1,0,1,1,2,0,0,0.228,0.291,0.369,0.659,8,15,L,P.Corbin(44),MIA,2012
22,23,May 1,False,SFG,"W,2-1",33,31,2,6,0,0,1,2,1,0,5,0,1,0,0,1,3,0,0.227,0.288,0.365,0.653,4,12,R,M.Cain(65),MIA,2012
23,24,May 2,False,SFG,"W,3-2",44,33,3,5,1,0,1,2,10,0,5,0,1,0,1,2,1,0,0.224,0.291,0.362,0.653,11,14,L,B.Zito(45),MIA,2012
24,25,May 3,False,SFG,"W,3-2",45,39,3,12,2,0,0,3,5,2,8,0,1,0,2,0,4,0,0.228,0.296,0.361,0.657,15,14,R,R.Vogelsong(56),MIA,2012
25,26,May 4,False,SDP,"W,9-8",53,44,9,9,2,0,2,8,9,1,14,0,0,0,0,0,2,0,0.227,0.298,0.363,0.661,8,18,R,A.Bass(40),MIA,2012
26,27,May 5,False,SDP,"W,4-1",37,33,4,11,4,0,1,4,2,0,9,0,1,1,0,0,0,1,0.23,0.3,0.369,0.67,6,10,L,C.Richard(53),MIA,2012
27,28,May 6,False,SDP,"W,6-3",40,35,6,9,2,1,0,4,5,1,7,0,0,0,0,1,3,0,0.231,0.302,0.369,0.672,7,14,R,J.Wieland(54),MIA,2012
28,29,May 7,False,HOU,"W,4-0",34,32,4,6,2,0,3,4,2,0,5,0,0,0,0,0,0,1,0.23,0.3,0.375,0.675,3,9,L,W.Rodríguez(54),MIA,2012
29,30,May 8,False,HOU,"L,2-3",32,29,2,4,0,0,2,2,2,0,6,0,1,0,0,1,1,0,0.227,0.297,0.374,0.671,3,13,R,A.Rodríguez(64),MIA,2012
30,31,May 9,False,HOU,"W,5-3",56,47,5,11,1,0,0,4,7,1,10,1,1,0,1,0,0,0,0.228,0.299,0.369,0.668,15,16,R,L.Harrell(47),MIA,2012
31,32,May 11,True,NYM,"W,6-5",36,35,6,10,2,1,1,6,1,0,11,0,0,0,1,1,3,1,0.229,0.3,0.372,0.672,4,15,L,J.Santana(55),MIA,2012
32,33,May 12,True,NYM,"L,3-9",39,38,3,13,3,0,0,3,1,0,3,0,0,0,0,1,0,0,0.233,0.301,0.374,0.675,9,16,R,R.Dickey(45),MIA,2012
33,34,May 13,True,NYM,"W,8-4",41,34,8,11,0,2,2,8,5,0,6,1,0,1,0,2,1,0,0.236,0.305,0.381,0.686,7,14,L,J.Niese(63),MIA,2012
34,35,May 14,True,PIT,"L,2-3",35,34,2,7,1,0,1,2,1,0,5,0,0,0,0,0,1,0,0.235,0.303,0.38,0.682,6,14,R,B.Lincoln(58),MIA,2012
35,36,May 15,True,PIT,"W,6-2",40,32,6,12,2,1,0,6,7,1,5,0,1,0,0,1,1,0,0.239,0.308,0.383,0.691,10,13,R,K.Correia(18),MIA,2012
36,37,May 16,False,ATL,"W,8-4",41,37,8,10,2,0,1,7,3,1,9,1,0,0,0,0,4,0,0.24,0.309,0.383,0.693,6,15,L,M.Minor(28),MIA,2012
37,38,May 17,False,ATL,"L,0-7",32,32,0,5,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0.238,0.306,0.378,0.684,5,14,R,B.Beachy(83),MIA,2012
38,39,May 18,False,CLE,"W,3-2",34,27,3,6,1,0,0,3,4,0,7,0,1,2,0,1,1,3,0.237,0.306,0.376,0.682,4,10,R,J.Masterson(59),MIA,2012
39,40,May 19,False,CLE,"L,0-2",31,28,0,3,0,0,0,0,2,0,8,1,0,0,0,2,0,0,0.235,0.303,0.37,0.674,4,9,R,J.Gómez(69),MIA,2012
40,41,May 20,False,CLE,"W,5-3",39,35,5,10,4,0,0,5,3,0,3,0,1,0,0,0,1,1,0.236,0.304,0.371,0.676,7,9,R,D.Lowe(53),MIA,2012
41,42,May 21,True,COL,"W,7-4",44,37,7,13,1,1,1,6,7,0,13,0,0,0,0,0,4,0,0.239,0.309,0.375,0.683,13,13,L,J.Moyer(20),MIA,2012
42,43,May 22,True,COL,"W,7-6",44,37,7,12,3,1,0,7,6,1,9,1,0,0,1,0,2,0,0.241,0.312,0.377,0.689,13,16,R,J.Nicasio(30),MIA,2012
43,44,May 23,True,COL,"L,4-8",37,36,4,9,2,0,0,4,1,0,6,0,0,0,0,0,0,0,0.241,0.311,0.375,0.686,6,13,R,A.White(42),MIA,2012
44,45,May 24,True,SFG,"L,7-14",45,40,7,13,1,0,1,7,5,0,8,0,0,0,0,0,2,0,0.243,0.313,0.377,0.69,11,15,R,R.Vogelsong(48),MIA,2012
45,46,May 25,True,SFG,"W,7-6",35,29,7,8,1,0,2,7,5,0,5,0,0,1,0,0,2,1,0.244,0.315,0.379,0.694,4,16,R,T.Lincecum(34),MIA,2012
46,47,May 26,True,SFG,"W,5-3",35,33,5,9,3,0,0,4,2,1,10,0,0,0,0,0,2,0,0.245,0.315,0.379,0.693,6,13,L,M.Bumgarner(45),MIA,2012
47,48,May 27,True,SFG,"L,2-3",37,32,2,6,0,0,0,2,4,0,7,1,0,0,0,0,0,1,0.244,0.314,0.375,0.689,8,15,R,M.Cain(59),MIA,2012
48,49,May 28,True,WSN,"W,5-3",34,32,5,9,2,0,2,5,0,0,4,0,0,2,1,0,0,0,0.244,0.313,0.378,0.691,5,12,R,J.Zimmermann(44),MIA,2012
49,50,May 29,True,WSN,"W,3-1",35,30,3,7,3,0,1,3,4,1,5,0,0,1,0,0,2,0,0.244,0.313,0.379,0.692,8,13,R,E.Jackson(58),MIA,2012
