,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 4,True,STL,"L,1-4",9.0,13,4,4,0,3,5,0,0,4.0,41,123.0,76.0,2.0,1.0,1,1,37,3,0,2,1,0,0,0,5,Ed Rapuano,"J.Johnson (99-42-L), M.Dunn (99), R.Webb (99), R.Choate (99), S.Cishek (99)",MIA,2012
1,2,Apr 5,False,CIN,"L,0-4",8.0,10,4,4,0,4,5,1,1,4.24,37,158.0,97.0,0.0,0.0,0,0,30,4,0,2,1,1,0,1,3,Tim McClelland,"M.Buehrle (99-53-L), S.Cishek (0), E.Mujica (99)",MIA,2012
2,3,Apr 7,False,CIN,"W,8-3",9.0,6,3,3,0,0,6,2,0,3.81,33,110.0,75.0,0.0,0.0,0,0,32,0,1,0,1,0,1,1,2,Ted Barrett,"R.Nolasco (99-63-W), H.Bell (99)",MIA,2012
3,4,Apr 8,False,CIN,"L,5-6",8.1,8,6,6,0,3,7,2,0,4.46,36,140.0,90.0,0.0,0.0,0,0,33,1,0,0,0,0,0,0,4,Brian Runge,"C.Zambrano (99-52), S.Cishek (2-H), E.Mujica (2-H), H.Bell (0-BL)",MIA,2012
4,5,Apr 9,False,PHI,"W,6-2",9.0,6,2,2,0,1,8,0,0,3.95,34,119.0,83.0,1.0,0.0,1,0,33,1,0,0,0,0,0,0,4,Chris Guccione,"A.Sánchez (99-56-W), R.Choate (4-H), E.Mujica (0-H), S.Cishek (0)",MIA,2012
5,6,Apr 11,False,PHI,"L,1-7",8.0,14,7,7,0,1,4,1,0,4.56,39,145.0,93.0,2.0,0.0,3,0,38,2,0,1,0,0,0,0,3,Tim Tschida,"J.Johnson (6-15-L), C.Gaudin (99), R.Webb (6)",MIA,2012
6,7,Apr 12,False,PHI,"L,1-3",8.0,8,3,3,0,0,3,2,0,4.4,31,106.0,75.0,2.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Jeff Nelson,"M.Buehrle (6-47-L), R.Choate (2), S.Cishek (2), E.Mujica (2)",MIA,2012
7,8,Apr 13,True,HOU,"W,5-4",11.0,7,4,4,0,6,7,1,0,4.22,46,170.0,97.0,0.0,0.0,3,0,40,0,0,0,0,0,2,2,7,Paul Nauert,"R.Nolasco (5-51), M.Dunn (8-H), S.Cishek (0-H), E.Mujica (0-BSv), H.Bell (4), R.Choate (0), R.Webb (1-W)",MIA,2012
8,9,Apr 14,True,HOU,"L,4-5",9.0,8,5,3,2,7,7,0,0,4.08,42,161.0,101.0,4.0,1.0,0,0,33,2,0,0,1,0,1,0,6,Dana DeMuth,"C.Zambrano (5-58), S.Cishek (0-H), E.Mujica (0-H), H.Bell (0-BL), R.Choate (0), C.Gaudin (2)",MIA,2012
9,10,Apr 15,True,HOU,"W,5-4",11.0,10,4,3,1,7,11,0,1,3.89,50,197.0,112.0,0.0,0.0,1,1,41,4,0,2,1,0,2,1,4,Kerwin Danley,"A.Sánchez (5-56), R.Webb (1), M.Dunn (1), C.Gaudin (0-W)",MIA,2012
10,11,Apr 17,True,CHC,"W,5-2",9.0,7,2,2,0,3,5,0,1,3.71,32,124.0,82.0,0.0,0.0,1,1,28,1,0,0,0,0,0,4,3,D.J. Reyburn,"J.Johnson (5-55), S.Cishek (2-W), H.Bell (2-Sv)",MIA,2012
11,12,Apr 18,True,CHC,"W,9-1",9.0,6,1,1,0,0,6,0,0,3.49,32,107.0,67.0,0.0,0.0,0,0,32,1,0,0,0,0,1,2,2,Brian O'Nora,"M.Buehrle (5-71-W), R.Webb (2)",MIA,2012
12,13,Apr 19,True,CHC,"W,5-3",9.0,8,3,3,0,3,8,0,0,3.45,38,138.0,93.0,4.0,0.0,0,1,34,1,1,1,1,0,0,0,6,Alfonso Márquez,"R.Nolasco (5-41-W), M.Dunn (3-H), R.Webb (0-H), R.Choate (4-H), E.Mujica (4-H), H.Bell (1-Sv)",MIA,2012
13,14,Apr 20,False,WSN,"L,0-2",8.0,4,2,2,0,1,8,1,0,3.38,29,100.0,66.0,0.0,0.0,0,0,28,1,0,1,0,0,0,0,2,Gerry Davis,"C.Zambrano (5-75-L), S.Cishek (2)",MIA,2012
14,15,Apr 21,False,WSN,"L,2-3",9.1,7,3,2,1,1,9,2,0,3.27,37,120.0,83.0,0.0,0.0,0,0,35,1,0,1,0,1,1,0,3,Greg Gibson,"A.Sánchez (5-67), R.Webb (1), E.Mujica (1-L)",MIA,2012
15,16,Apr 24,False,NYM,"L,1-2",8.0,6,2,2,0,4,11,0,0,3.22,33,147.0,94.0,8.0,1.0,0,0,29,1,0,0,0,0,0,0,6,Dan Iassogna,"J.Johnson (6-72), R.Choate (4), S.Cishek (3), M.Dunn (4-BSv), E.Mujica (2-L), R.Webb (2)",MIA,2012
16,17,Apr 25,False,NYM,"L,1-5",8.0,8,5,4,1,2,6,1,1,3.29,34,135.0,85.0,2.0,2.0,0,0,31,2,0,1,0,0,0,1,3,Bill Miller,"M.Buehrle (6-62-L), M.Dunn (0), R.Webb (0)",MIA,2012
17,18,Apr 26,False,NYM,"L,2-3",8.2,6,3,3,0,6,7,0,0,3.28,37,175.0,108.0,0.0,0.0,0,0,30,1,1,0,0,1,0,1,3,Dale Scott,"R.Nolasco (6-67), R.Choate (1-H), H.Bell (6-BL)",MIA,2012
18,19,Apr 27,True,ARI,"L,0-5",9.0,15,5,5,0,4,4,1,1,3.37,44,165.0,98.0,4.0,2.0,1,0,37,1,0,2,1,1,0,2,4,Mike DiMuro,"C.Zambrano (6-40-L), M.Dunn (1), R.Webb (1), C.Gaudin (11)",MIA,2012
19,20,Apr 28,True,ARI,"W,3-2",9.0,3,2,2,0,5,15,0,0,3.3,35,141.0,83.0,0.0,0.0,0,0,30,2,0,0,0,0,0,0,3,James Hoye,"A.Sánchez (6-73), R.Choate (1), S.Cishek (3-W)",MIA,2012
