,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,BOS,"W,9-5",9.0,10,5,5,0,1,3,2,0,5.0,36,,,0.0,0.0,0,0,35,0,0,0,0,0,0,2,2,Jerry Neudecker,"J.Slaton (99-45), R.Cleveland (99-W)",MIL,1980
1,2,Apr 12,True,BOS,"W,18-1",9.0,8,1,1,0,2,4,0,0,3.0,36,,,0.0,0.0,0,0,34,0,0,0,0,0,0,1,4,Bill Deegan,"L.Sorensen (99-54-W), B.Castro (99), D.Boitano (99), B.McClure (99)",MIL,1980
2,3,Apr 13,True,BOS,"L,1-3",9.0,5,3,3,0,3,4,0,0,3.0,35,,,0.0,0.0,2,0,32,1,0,0,0,0,0,0,3,Rich Garcia,"M.Haas (99-56-L), J.Augustine (99), R.Cleveland (2)",MIL,1980
3,4,Apr 16,False,TOR,"L,2-11",8.0,12,11,9,2,6,4,1,1,4.63,43,,,1.0,1.0,1,0,36,2,0,0,0,0,0,0,5,Bill Kunkel,"J.Slaton (5-35-L), R.Cleveland (2), J.Augustine (2), D.Boitano (3), B.McClure (3)",MIL,1980
4,5,Apr 17,False,TOR,"L,0-1",8.1,4,1,1,0,1,2,1,0,3.95,29,,,,,0,0,28,2,0,1,0,0,0,1,1,Terry Cooney,L.Sorensen (4-72-L),MIL,1980
5,6,Apr 18,False,NYY,"W,3-2",9.0,4,2,1,1,6,3,0,0,3.44,37,,,6.0,1.0,0,0,31,0,0,0,0,0,0,0,4,Ken Kaiser,"M.Caldwell (99-71-W), B.McClure (1-H), D.Boitano (1), J.Augustine (1-Sv)",MIL,1980
6,7,Apr 19,False,NYY,"W,5-1",9.0,8,1,1,0,3,5,1,0,3.08,35,,,0.0,0.0,0,1,32,0,0,0,0,0,0,2,2,Richard Shulock,"M.Haas (5-61-W), B.McClure (0-Sv)",MIL,1980
7,8,Apr 20,False,NYY,"L,5-9",8.0,11,9,8,1,6,3,4,1,3.76,43,,,2.0,2.0,1,0,34,1,0,2,1,1,1,0,4,Bill Kunkel,"B.Travers (99-29), R.Cleveland (3), J.Augustine (1-BL), B.Castro (7)",MIL,1980
8,9,Apr 21,True,CLE,"W,7-5",11.0,11,5,4,1,4,1,1,0,3.7,45,,,2.0,1.0,0,1,39,0,0,1,0,2,1,3,3,Russ Goetz,"L.Sorensen (3-49), D.Boitano (2), B.McClure (1-W)",MIL,1980
9,10,Apr 22,True,CLE,"W,8-4",9.0,7,4,3,1,4,4,0,0,3.63,39,,,,,0,0,34,0,0,1,1,0,2,0,1,George Maloney,M.Caldwell (3-59-W),MIL,1980
10,11,Apr 23,True,CLE,"L,3-7",9.0,11,7,7,0,6,1,1,0,3.94,41,,,4.0,1.0,0,0,35,3,0,1,0,0,0,1,4,Vic Voltaggio,"M.Haas (3-26-L), J.Augustine (2), B.Castro (2), B.McClure (1)",MIL,1980
11,12,Apr 25,True,TOR,"L,3-5",9.0,12,5,4,1,4,3,1,0,3.94,42,,,1.0,0.0,0,1,37,2,2,1,1,0,2,0,4,Bill Haller,"L.Sorensen (3-30-L), J.Augustine (1), R.Cleveland (4), B.McClure (1)",MIL,1980
12,13,Apr 26,True,TOR,"L,0-4",9.0,8,4,3,1,1,3,1,0,3.87,35,,,,,0,2,33,1,0,0,1,0,1,0,1,Russ Goetz,M.Caldwell (3-59-L),MIL,1980
13,14,Apr 27,True,TOR,"L,2-8",9.0,15,8,7,1,1,6,1,0,4.09,43,,,3.0,3.0,0,1,41,1,1,0,0,1,1,0,4,George Maloney,"M.Haas (3-39-L), J.Augustine (1), D.Boitano (5), B.Castro (3)",MIL,1980
14,15,Apr 29,False,CLE,"W,14-1",9.0,10,1,1,0,3,2,0,1,3.89,38,,,0.0,0.0,0,0,33,0,0,0,0,1,0,3,3,Richard Shulock,"B.Travers (8-51-W), R.Cleveland (3), B.McClure (3)",MIL,1980
15,16,May 2,False,CHW,"W,8-0",9.0,7,0,0,0,0,3,0,0,3.64,32,,,,,1,0,32,1,0,0,0,0,0,2,1,Ted Hendry,M.Caldwell (5-76-W),MIL,1980
16,17,May 3,False,CHW,"W,4-1",9.0,9,1,1,0,1,3,0,0,3.49,36,,,2.0,0.0,0,0,35,3,1,0,0,0,0,2,2,Don Denkinger,"M.Haas (5-50-W), R.Cleveland (3-Sv)",MIL,1980
17,18,May 4,False,CHW,"W,11-1",9.0,4,1,1,0,2,3,0,0,3.35,32,,,0.0,0.0,0,0,30,2,0,0,0,0,0,1,4,Larry Barnett,"J.Slaton (17-58-W), B.McClure (4), B.Castro (6), D.Boitano (6)",MIL,1980
