,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,OAK,"W,9-7",52,48,9,14,1,1,2,9,2,0,8,1,1,0,0,0,0,1,0.292,0.333,0.479,0.813,7,16,R,R.Langford(27),MIN,1980
1,2,Apr 11,False,OAK,"L,0-1",34,32,0,4,0,0,0,0,2,0,6,0,0,0,1,0,1,0,0.225,0.271,0.338,0.608,7,9,R,M.Keough(83),MIN,1980
2,3,Apr 12,False,OAK,"W,6-0",39,34,6,10,2,1,1,6,2,0,2,1,2,0,0,0,1,0,0.246,0.295,0.386,0.681,6,11,R,B.Kingman(46),MIN,1980
3,4,Apr 13,False,OAK,"L,1-4",33,31,1,3,1,1,0,1,1,0,11,1,0,0,2,0,0,1,0.214,0.265,0.345,0.609,5,9,R,M.Norris(89),MIN,1980
4,5,Apr 14,False,CAL,"W,5-3",40,34,5,7,1,0,1,5,6,0,8,0,0,0,0,0,0,0,0.212,0.277,0.341,0.618,8,11,R,C.Knapp(74),MIN,1980
5,6,Apr 15,False,CAL,"L,1-3",37,34,1,8,2,0,0,1,3,0,2,0,0,0,0,1,1,0,0.216,0.28,0.333,0.614,9,10,L,F.Tanana(66),MIN,1980
6,7,Apr 16,False,CAL,"L,1-2",35,31,1,4,0,0,0,1,2,1,2,0,1,1,0,0,1,0,0.205,0.267,0.307,0.574,4,12,R,D.Frost(80),MIN,1980
7,8,Apr 17,False,SEA,"L,3-4",34,33,3,7,2,0,1,2,1,0,1,0,0,0,1,1,0,0,0.206,0.263,0.314,0.577,4,9,L,R.Honeycutt(61),MIN,1980
8,9,Apr 18 (1),False,SEA,"L,1-3",33,32,1,6,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0.204,0.258,0.311,0.569,5,9,L,F.Bannister(78),MIN,1980
9,10,Apr 18 (2),False,SEA,"L,2-3",35,33,2,9,1,0,0,2,2,1,4,0,0,0,0,2,0,0,0.211,0.264,0.31,0.574,6,15,R,G.Wheelock(43),MIN,1980
10,11,Apr 19,False,SEA,"W,8-3",39,34,8,11,0,2,2,8,2,0,6,2,0,1,0,4,0,0,0.221,0.275,0.338,0.613,4,9,R,G.Abbott(26),MIN,1980
11,12,Apr 20,False,SEA,"W,4-3",36,33,4,8,1,0,2,4,3,0,5,0,0,0,0,1,2,2,0.222,0.278,0.347,0.625,5,10,R,M.Parrott(61),MIN,1980
12,13,Apr 22,True,CAL,"W,8-1",39,36,8,13,2,0,3,8,3,1,5,0,0,0,1,1,0,0,0.234,0.288,0.373,0.661,7,11,R,D.Frost(32),MIN,1980
13,14,Apr 23,True,CAL,"L,0-17",33,29,0,1,1,0,0,0,4,0,1,0,0,0,1,0,1,0,0.222,0.28,0.354,0.634,6,9,R,B.Kison(82),MIN,1980
14,15,Apr 25,True,OAK,"W,10-3",42,36,10,11,3,0,2,10,6,0,6,0,0,0,1,0,1,0,0.227,0.289,0.369,0.658,8,13,R,M.Keough(29),MIN,1980
15,16,Apr 26,True,OAK,"W,5-1",35,30,5,8,1,0,0,4,4,1,2,0,1,0,0,1,1,0,0.23,0.293,0.365,0.658,6,11,R,S.McCatty(31),MIN,1980
16,17,Apr 27,True,OAK,"W,20-11",52,41,20,20,1,2,0,19,8,0,5,1,0,2,2,2,0,1,0.248,0.314,0.382,0.696,8,14,R,B.Kingman(33),MIN,1980
17,18,Apr 28,True,SEA,"L,4-6",39,35,4,8,2,0,1,4,3,0,4,0,0,1,1,1,0,0,0.247,0.312,0.381,0.694,8,14,L,R.Honeycutt(43),MIN,1980
18,19,Apr 29,True,SEA,"L,3-5",36,34,3,9,1,0,0,3,1,0,3,0,0,1,0,0,3,0,0.248,0.311,0.377,0.688,6,11,L,F.Bannister(69),MIN,1980
19,20,Apr 30,True,SEA,"W,10-3",41,35,10,16,1,0,2,10,4,0,3,0,0,2,0,2,1,0,0.258,0.32,0.391,0.711,7,12,R,M.Parrott(27),MIN,1980
20,21,May 2,True,NYY,"L,6-9",40,37,6,12,1,0,0,6,3,0,7,0,0,0,1,2,0,1,0.262,0.323,0.389,0.712,7,9,L,R.Guidry(39),MIN,1980
21,22,May 3,True,NYY,"L,3-7",38,35,3,10,3,0,0,3,2,0,1,0,0,1,0,1,0,0,0.263,0.323,0.388,0.711,8,13,L,T.John(45),MIN,1980
22,23,May 4,True,NYY,"L,1-10",37,34,1,7,1,0,1,1,2,0,4,1,0,0,1,1,0,0,0.26,0.32,0.386,0.706,9,16,L,T.Underwood(64),MIN,1980
