,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,OAK,"W,9-7",12.0,10,7,7,0,2,10,1,0,5.25,45,,,2.0,2.0,0,0,43,1,0,0,0,0,0,3,3,Don Denkinger,"J.Koosman (99-47), M.Marshall (99-BSv), D.Corbett (99-W)",MIN,1980
1,2,Apr 11,False,OAK,"L,0-1",8.0,4,1,1,0,0,5,0,0,3.6,28,,,,,0,1,27,0,1,0,1,0,1,0,1,Larry McCoy,P.Redfern (99-75-L),MIN,1980
2,3,Apr 12,False,OAK,"W,6-0",9.0,3,0,0,0,0,1,0,0,2.48,31,,,,,0,0,31,0,0,0,0,0,1,0,1,Dale Ford,G.Zahn (99-82-W),MIN,1980
3,4,Apr 13,False,OAK,"L,1-4",8.0,7,4,4,0,5,3,0,0,2.92,33,,,4.0,0.0,1,2,26,1,0,0,2,0,0,0,3,Greg Kosc,"R.Erickson (99-35-L), D.Jackson (99), J.Verhoeven (99)",MIN,1980
4,5,Apr 14,False,CAL,"W,5-3",9.0,7,3,3,0,2,6,1,0,2.93,34,,,0.0,0.0,0,1,32,1,0,0,0,0,0,1,2,Vic Voltaggio,"T.Felton (99-55), D.Corbett (3-W)",MIN,1980
5,6,Apr 15,False,CAL,"L,1-3",8.0,7,3,2,1,2,6,1,0,2.83,32,,,2.0,0.0,0,1,30,1,0,0,0,0,1,0,2,Bill Haller,"J.Koosman (4-40-L), J.Verhoeven (1)",MIN,1980
6,7,Apr 16,False,CAL,"L,1-2",9.2,8,2,2,0,1,7,0,0,2.69,40,,,2.0,1.0,0,0,35,0,0,1,2,2,2,0,2,Russ Goetz,"P.Redfern (4-73), M.Marshall (5-BL)",MIN,1980
7,8,Apr 17,False,SEA,"L,3-4",8.1,6,4,3,1,1,3,1,0,2.75,32,,,,,0,0,29,3,0,0,0,2,0,0,1,Greg Kosc,G.Zahn (4-59-L),MIN,1980
8,9,Apr 18(1),False,SEA,"L,1-3",8.0,6,3,2,1,1,4,0,1,2.7,29,,,,,0,1,27,0,0,0,0,0,0,2,1,Don Denkinger,R.Erickson (4-63-L),MIN,1980
9,10,Apr 18(2),False,SEA,"L,2-3",8.0,7,3,3,0,1,10,0,0,2.76,32,,,1.0,0.0,0,0,30,1,0,0,1,0,0,0,2,Larry McCoy,"T.Felton (3-52-L), D.Corbett (3)",MIN,1980
10,11,Apr 19,False,SEA,"W,8-3",9.0,8,3,3,0,2,5,1,0,2.78,35,,,3.0,2.0,0,0,33,2,0,0,0,0,0,2,2,Dale Ford,"J.Koosman (3-59-W), D.Corbett (0)",MIN,1980
11,12,Apr 20,False,SEA,"W,4-3",9.0,8,3,2,1,3,8,1,0,2.72,38,,,1.0,0.0,0,0,32,1,0,0,3,0,1,1,3,Greg Kosc,"P.Redfern (3-56-W), J.Verhoeven (4-H), M.Marshall (3-Sv)",MIN,1980
12,13,Apr 22,True,CAL,"W,8-1",9.0,6,1,1,0,0,3,0,0,2.58,32,,,,,0,0,31,1,0,0,1,0,0,1,1,Al Clark,G.Zahn (4-74-W),MIN,1980
13,14,Apr 23,True,CAL,"L,0-17",9.0,18,17,9,8,6,6,0,2,3.05,51,,,3.0,1.0,0,1,42,5,0,0,0,1,2,1,5,Steve Palermo,"T.Felton (4-29-L), J.Verhoeven (2), M.Marshall (2), R.Erickson (4), D.Corbett (3)",MIN,1980
14,15,Apr 25,True,OAK,"W,10-3",9.0,9,3,3,0,3,5,3,0,3.05,39,,,1.0,0.0,0,0,36,0,0,0,0,0,0,0,2,Dave Phillips,"J.Koosman (5-59-W), D.Corbett (1)",MIN,1980
15,16,Apr 26,True,OAK,"W,5-1",9.0,4,1,1,0,2,7,0,0,2.92,32,,,0.0,0.0,0,0,30,0,0,0,0,0,0,0,3,Lou DiMuro,"P.Redfern (5-71-W), J.Verhoeven (2), M.Marshall (2)",MIN,1980
16,17,Apr 27,True,OAK,"W,20-11",9.0,22,11,11,0,2,4,1,0,3.4,48,,,3.0,0.0,1,0,46,3,1,0,0,0,0,2,2,Al Clark,"G.Zahn (4-3), D.Corbett (1-W)",MIN,1980
17,18,Apr 28,True,SEA,"L,4-6",9.0,7,6,1,5,5,7,0,0,3.26,42,,,4.0,3.0,0,1,36,1,1,1,1,0,4,0,3,Marty Springstead,"T.Felton (4-41-L), J.Verhoeven (1), D.Jackson (14)",MIN,1980
