,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 11,False,PHI,"L,3-6",36,35,3,8,2,2,1,3,1,0,6,0,0,0,1,0,0,1,0.229,0.25,0.486,0.736,6,12,L,S.Carlton(64),MON,1980
1,2,Apr 12,False,PHI,"L,2-6",40,29,2,7,1,1,0,2,10,0,0,0,0,1,0,2,0,1,0.234,0.342,0.422,0.764,11,15,R,D.Ruthven(56),MON,1980
2,3,Apr 13,False,PHI,"W,5-4",45,39,5,12,1,1,2,5,4,0,7,0,1,1,0,0,1,0,0.262,0.35,0.466,0.816,10,14,R,L.Christenson(41),MON,1980
3,4,Apr 15,False,NYM,"W,7-3",42,37,7,12,3,0,2,6,2,0,8,0,2,1,3,1,2,0,0.279,0.35,0.493,0.843,8,13,R,C.Swan(36),MON,1980
4,5,Apr 16,False,NYM,"L,2-3",39,34,2,9,4,0,0,2,4,0,9,0,0,1,1,1,2,1,0.276,0.347,0.471,0.818,10,12,R,R.Burris(54),MON,1980
5,6,Apr 18,True,PHI,"W,7-5",36,33,7,10,0,1,1,7,2,0,3,1,0,0,0,1,5,0,0.28,0.349,0.469,0.818,5,15,R,D.Ruthven(26),MON,1980
6,7,Apr 19,True,PHI,"L,4-13",37,33,4,6,2,1,1,2,4,0,10,0,0,0,0,0,0,0,0.267,0.338,0.458,0.797,6,16,R,L.Christenson(45),MON,1980
7,8,Apr 20,True,PHI,"W,7-6",42,37,7,14,1,0,2,7,2,1,4,0,2,1,0,0,1,0,0.282,0.346,0.473,0.819,9,15,L,R.Lerch(35),MON,1980
8,9,Apr 21,True,PIT,"L,1-7",36,34,1,6,2,0,0,1,1,0,7,0,0,1,2,0,0,0,0.27,0.33,0.447,0.777,8,15,L,J.Candelaria(77),MON,1980
9,10,Apr 22,True,PIT,"L,3-5",34,30,3,7,1,0,0,3,4,0,6,0,0,0,0,3,2,1,0.267,0.33,0.431,0.761,4,13,R,J.Bibby(51),MON,1980
10,11,Apr 23,True,PIT,"W,3-2",29,28,3,6,0,1,2,3,1,0,7,0,0,0,0,0,0,1,0.263,0.324,0.436,0.76,2,10,R,B.Blyleven(60),MON,1980
11,12,Apr 25,False,ATL,"L,7-8",42,41,7,9,1,0,3,7,1,0,4,0,0,0,0,0,0,0,0.259,0.316,0.439,0.755,2,16,R,T.Boggs(32),MON,1980
12,13,Apr 26,False,ATL,"W,4-3",38,32,4,6,1,0,1,4,5,0,7,0,0,1,1,1,2,0,0.253,0.314,0.43,0.744,7,12,R,P.Niekro(59),MON,1980
13,14,Apr 27,False,ATL,"L,3-6",37,35,3,7,1,0,2,3,2,0,3,0,0,0,1,0,0,0,0.249,0.309,0.428,0.736,7,15,L,L.McWilliams(65),MON,1980
14,15,Apr 29,False,PIT,"L,4-5",42,35,4,7,1,0,1,3,7,0,7,0,0,0,0,1,2,1,0.246,0.311,0.42,0.73,8,11,R,B.Blyleven(39),MON,1980
15,16,Apr 30,False,PIT,"L,0-5",35,33,0,6,2,0,0,0,2,0,3,0,0,0,1,0,0,0,0.242,0.306,0.409,0.715,8,16,R,J.Bibby(76),MON,1980
16,17,May 1,False,PIT,"L,1-2",38,36,1,8,1,0,0,1,2,0,4,0,0,0,0,1,0,1,0.241,0.303,0.399,0.703,7,14,L,J.Candelaria(75),MON,1980
17,18,May 2,True,SFG,"W,4-3",40,37,4,13,2,1,2,4,3,3,5,0,0,0,0,1,3,0,0.248,0.309,0.413,0.722,11,14,L,B.Knepper(49),MON,1980
18,19,May 3,True,SFG,"L,2-3",38,32,2,7,2,0,0,2,2,0,5,2,1,1,0,0,1,1,0.246,0.308,0.406,0.714,9,16,R,E.Whitson(58),MON,1980
19,20,May 4 (1),True,SFG,"L,4-8",41,36,4,9,2,1,0,4,4,0,12,1,0,0,0,0,3,0,0.246,0.31,0.404,0.714,10,15,R,J.Montefusco(66),MON,1980
20,21,May 4 (2),True,SFG,"W,6-4",36,32,6,9,2,1,1,5,4,1,6,0,0,0,0,1,2,0,0.248,0.312,0.408,0.72,6,15,R,E.Halicki(50),MON,1980
21,22,May 5,True,HOU,"W,10-1",41,36,10,16,1,1,0,9,4,0,5,0,1,0,0,2,2,1,0.257,0.321,0.414,0.735,7,16,R,J.Richard(24),MON,1980
