,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 11,False,PHI,"L,3-6",8.0,6,6,4,2,3,3,1,0,4.5,35,,,0.0,0.0,0,0,31,2,0,0,0,1,2,0,2,Bob Engel,"S.Rogers (99-47-L), S.Bahnsen (99)",MON,1980
1,2,Apr 12,False,PHI,"L,2-6",8.0,14,6,6,0,1,4,1,0,5.62,37,,,0.0,0.0,0,0,35,5,2,0,1,0,0,1,3,Jerry Dale,"B.Lee (99-31-L), F.Norman (99), D.Murray (99)",MON,1980
2,3,Apr 13,False,PHI,"W,5-4",10.0,11,4,1,3,0,4,0,0,3.81,42,,,3.0,1.0,2,0,42,0,0,0,0,0,1,0,4,Paul Runge,"S.Sanderson (99-50), S.Bahnsen (1), W.Fryman (99-BSv), E.Sosa (99-W)",MON,1980
3,4,Apr 15,False,NYM,"W,7-3",9.0,8,3,3,0,3,4,1,0,3.6,36,,,0.0,0.0,0,0,33,4,0,0,0,0,0,0,2,Jim Quick,"S.Rogers (3-42-W), F.Norman (2-Sv)",MON,1980
4,5,Apr 16,False,NYM,"L,2-3",8.0,11,3,3,0,1,2,0,0,3.56,36,,,0.0,0.0,0,0,35,1,0,0,0,0,1,0,2,Bob Engel,"B.Lee (3-41-L), D.Murray (3)",MON,1980
5,6,Apr 18,True,PHI,"W,7-5",9.0,10,5,4,1,2,1,2,0,3.63,41,,,1.0,0.0,0,0,39,2,0,0,0,0,2,0,3,Terry Tata,"S.Sanderson (4-37-W), D.Palmer (99-H), W.Fryman (4-Sv)",MON,1980
6,7,Apr 19,True,PHI,"L,4-13",9.0,18,13,12,1,3,4,1,1,4.87,46,,,1.0,0.0,2,2,42,2,1,0,0,0,1,0,4,Dutch Rennert,"S.Rogers (3-29-L), S.Bahnsen (5), D.Murray (2), F.Norman (3)",MON,1980
7,8,Apr 20,True,PHI,"W,7-6",9.0,10,6,3,3,0,2,1,0,4.63,39,,,2.0,0.0,0,0,37,3,1,0,1,1,2,0,5,John Kibler,"B.Lee (3-41), S.Bahnsen (0), D.Palmer (1), W.Fryman (1), E.Sosa (6-W)",MON,1980
8,9,Apr 21,True,PIT,"L,1-7",9.0,12,7,6,1,3,3,0,1,4.78,43,,,0.0,0.0,0,0,36,1,1,1,0,3,1,1,3,Bob Engel,"R.Grimsley (99-44-L), F.Norman (1), D.Murray (1)",MON,1980
9,10,Apr 22,True,PIT,"L,3-5",9.0,9,5,5,0,2,3,2,0,4.81,37,,,0.0,0.0,1,1,35,1,1,0,0,0,0,0,3,Jerry Dale,"S.Sanderson (3-35-L), D.Palmer (1), E.Sosa (1)",MON,1980
10,11,Apr 23,True,PIT,"W,3-2",9.0,5,2,1,1,0,7,1,0,4.45,31,,,,,0,1,31,1,0,0,0,0,0,0,1,Paul Runge,S.Rogers (3-78-W),MON,1980
11,12,Apr 25,False,ATL,"L,7-8",10.1,11,8,5,3,6,5,0,0,4.44,49,,,8.0,4.0,0,0,40,2,0,0,2,1,3,1,6,Dick Stello,"B.Lee (4-44), D.Palmer (2-H), W.Fryman (4-BSv), E.Sosa (2), S.Bahnsen (4-L), F.Norman (3)",MON,1980
12,13,Apr 26,False,ATL,"W,4-3",9.0,16,3,3,0,0,2,1,0,4.33,40,,,1.0,0.0,0,2,40,3,0,0,0,0,1,2,3,Bruce Froemming,"R.Grimsley (4-34-W), D.Palmer (0-H), W.Fryman (0-Sv)",MON,1980
13,14,Apr 27,False,ATL,"L,3-6",8.0,13,6,4,2,2,3,1,0,4.34,39,,,3.0,0.0,0,1,35,2,1,0,1,1,2,0,4,Terry Tata,"S.Sanderson (4-26-L), S.Bahnsen (1), F.Norman (1), D.Murray (5)",MON,1980
14,15,Apr 29,False,PIT,"L,4-5",9.1,11,5,4,1,2,6,1,0,4.31,42,8.0,7.0,0.0,0.0,2,0,39,1,0,0,1,0,2,1,2,Nick Colosi,"S.Rogers (5-58), E.Sosa (3-L)",MON,1980
15,16,Apr 30,False,PIT,"L,0-5",8.0,8,5,5,0,3,2,3,0,4.38,34,,,0.0,0.0,0,1,30,1,1,0,0,1,0,0,4,Fred Brocklander,"B.Lee (4-38-L), D.Murray (2), F.Norman (2), S.Bahnsen (2)",MON,1980
16,17,May 1,False,PIT,"L,1-2",9.1,10,2,2,0,2,8,0,1,4.23,41,,,0.0,0.0,2,0,37,2,1,1,1,0,1,0,4,Jerry Crawford,"D.Palmer (4-50), F.Norman (0), E.Sosa (1), W.Fryman (4-L)",MON,1980
17,18,May 2,True,SFG,"W,4-3",9.0,8,3,3,0,2,2,0,0,4.16,37,,,7.0,3.0,0,0,34,3,0,0,1,0,0,0,4,Doug Harvey,"R.Grimsley (5-63), E.Sosa (0), W.Fryman (0-H), S.Bahnsen (1-BW)",MON,1980
18,19,May 3,True,SFG,"L,2-3",9.0,8,3,3,0,5,6,1,0,4.1,37,113.0,65.0,2.0,0.0,0,2,31,3,0,2,1,0,1,1,3,Andy Olsen,"S.Sanderson (5-58), F.Norman (1), E.Sosa (0-L)",MON,1980
19,20,May 4(1),True,SFG,"L,4-8",9.0,9,8,7,1,5,9,0,1,4.25,44,,,5.0,4.0,0,0,36,4,0,1,2,0,1,0,5,Nick Colosi,"S.Rogers (4-55-L), F.Norman (0), D.Murray (3), W.Fryman (1), S.Bahnsen (1)",MON,1980
