,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,CHC,"W,5-2",36,29,5,8,1,0,0,4,6,2,5,0,0,1,1,1,0,2,0.276,0.389,0.31,0.699,7,11,R,R.Reuschel(34),NYM,1980
1,2,Apr 11,True,CHC,"L,5-7",42,38,5,13,3,0,0,5,3,0,8,0,1,0,0,1,1,0,0.313,0.39,0.373,0.763,10,16,R,D.Lamp(47),NYM,1980
2,3,Apr 12,True,CHC,"L,3-6",36,29,3,6,0,0,2,3,5,1,6,1,0,1,1,0,1,1,0.281,0.372,0.385,0.757,6,14,R,M.Krukow(58),NYM,1980
3,4,Apr 13,True,CHC,"W,5-0",39,33,5,11,4,0,0,4,4,0,4,0,1,1,1,0,0,1,0.295,0.377,0.403,0.781,10,11,L,W.Hernández(37),NYM,1980
4,5,Apr 15,True,MON,"L,3-7",36,33,3,8,4,0,1,2,3,0,4,0,0,0,0,0,0,0,0.284,0.364,0.414,0.777,6,14,R,S.Rogers(42),NYM,1980
5,6,Apr 16,True,MON,"W,3-2",36,35,3,11,1,0,0,3,1,0,2,0,0,0,1,0,0,0,0.289,0.359,0.401,0.76,9,12,L,B.Lee(41),NYM,1980
6,7,Apr 17,False,CHC,"L,1-4",34,33,1,8,0,0,0,1,0,0,4,0,1,0,1,2,1,0,0.283,0.344,0.378,0.722,6,12,R,D.Lamp(68),NYM,1980
7,8,Apr 19,False,CHC,"L,9-12",42,33,9,9,4,0,0,5,6,0,4,0,1,2,1,2,0,0,0.281,0.347,0.38,0.727,6,13,R,M.Krukow(29),NYM,1980
8,9,Apr 20,False,CHC,"L,3-6",42,35,3,9,3,0,0,2,7,0,3,0,0,0,2,1,1,1,0.279,0.351,0.376,0.727,12,12,R,R.Reuschel(46),NYM,1980
9,10,Apr 21,False,PHI,"W,3-0",37,31,3,6,0,0,0,3,4,1,6,1,1,0,0,0,3,0,0.271,0.347,0.359,0.705,7,10,L,S.Carlton(62),NYM,1980
10,11,Apr 22,False,PHI,"L,8-14",44,37,8,14,4,0,0,8,6,1,2,0,0,1,0,1,3,1,0.281,0.358,0.372,0.73,9,14,R,D.Ruthven(17),NYM,1980
11,12,Apr 23,False,PHI,"W,3-2",37,34,3,7,4,0,0,2,2,0,3,1,0,0,1,0,2,1,0.275,0.351,0.368,0.718,7,13,R,L.Christenson(47),NYM,1980
12,13,Apr 25,False,HOU,"L,4-7",35,31,4,4,2,0,0,4,4,0,10,0,0,0,0,0,1,0,0.265,0.342,0.355,0.697,4,15,R,J.Richard(65),NYM,1980
13,14,Apr 26,False,HOU,"L,0-6",39,31,0,5,1,0,0,0,8,0,4,0,0,0,0,1,1,0,0.258,0.342,0.344,0.686,12,16,R,J.Niekro(69),NYM,1980
14,15,Apr 27,False,HOU,"L,3-4",46,38,3,8,1,0,0,3,6,0,5,0,1,1,0,2,0,2,0.254,0.339,0.336,0.675,7,14,R,N.Ryan(63),NYM,1980
15,16,Apr 30,True,PHI,"W,2-0",36,30,2,4,2,0,0,1,6,2,2,0,0,0,2,0,2,0,0.247,0.336,0.328,0.664,10,10,L,R.Lerch(62),NYM,1980
16,17,May 1,True,PHI,"L,1-2",36,32,1,8,0,0,0,1,4,0,6,0,0,0,0,1,1,0,0.247,0.335,0.324,0.659,8,12,L,S.Carlton(55),NYM,1980
17,18,May 2,True,SDP,"L,0-1",33,31,0,7,1,0,0,0,2,0,5,0,0,0,0,0,0,2,0.246,0.332,0.32,0.653,6,11,R,R.Wise(65),NYM,1980
18,19,May 3,True,SDP,"L,1-2",32,29,1,4,0,0,1,1,2,0,4,0,1,0,0,0,0,1,0.241,0.326,0.317,0.643,4,13,L,G.Lucas(73),NYM,1980
19,20,May 4 (1),True,SDP,"L,3-4",34,32,3,5,1,0,0,3,2,0,4,0,0,0,0,0,1,0,0.237,0.321,0.31,0.631,4,13,L,J.Curtis(64),NYM,1980
20,21,May 4 (2),True,SDP,"W,6-2",38,30,6,9,2,1,1,5,6,1,3,1,1,0,0,2,0,0,0.24,0.326,0.32,0.646,8,12,R,E.Rasmussen(33),NYM,1980
21,22,May 5,True,CIN,"W,3-2",35,34,3,8,3,0,0,3,0,0,4,0,1,0,1,0,0,1,0.24,0.322,0.32,0.643,4,14,R,T.Seaver(65),NYM,1980
22,23,May 6,True,CIN,"L,10-12",65,57,10,19,1,1,1,7,7,1,10,0,0,1,0,1,2,1,0.246,0.328,0.329,0.657,13,21,R,M.LaCoss(16),NYM,1980
23,24,May 7,True,CIN,"L,2-3",48,42,2,8,0,0,0,2,5,1,4,0,1,0,0,1,1,0,0.244,0.325,0.322,0.647,10,15,R,F.Pastore(61),NYM,1980
24,25,May 9,False,MON,"W,2-1",38,30,2,5,2,0,0,2,5,0,8,2,1,0,0,1,1,0,0.241,0.325,0.319,0.644,9,10,R,S.Rogers(65),NYM,1980
25,26,May 10,False,MON,"L,3-5",38,36,3,10,1,0,0,3,2,1,5,0,0,0,1,2,4,0,0.242,0.325,0.318,0.643,8,17,L,B.Lee(50),NYM,1980
