,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,CHC,"W,5-2",9.0,7,2,2,0,1,3,0,0,2.0,35,,,0.0,0.0,0,0,34,3,0,0,0,0,1,1,2,John Kibler,"C.Swan (99-57-W), N.Allen (99-Sv)",NYM,1980
1,2,Apr 11,True,CHC,"L,5-7",9.0,11,7,7,0,7,5,5,0,4.5,44,,,1.0,0.0,1,0,37,1,0,1,0,0,0,1,5,Bruce Froemming,"R.Burris (99-28-L), K.Kobel (99), J.Pacella (99), E.Glynn (99), J.Reardon (99)",NYM,1980
2,3,Apr 12,True,CHC,"L,3-6",9.0,14,6,5,1,3,2,2,0,4.67,41,,,2.0,2.0,1,1,37,1,0,1,0,1,1,3,4,Terry Tata,"T.Hausman (99-47), N.Allen (1-BL), J.Reardon (0), M.Bomback (99)",NYM,1980
3,4,Apr 13,True,CHC,"W,5-0",9.0,5,0,0,0,3,6,0,0,3.5,33,,,0.0,0.0,0,0,30,0,0,0,0,0,0,2,2,Fred Brocklander,"P.Falcone (99-68-W), N.Allen (0-Sv)",NYM,1980
4,5,Apr 15,True,MON,"L,3-7",9.0,12,7,3,4,2,8,2,0,3.4,42,,,0.0,0.0,2,0,37,3,0,0,2,1,3,1,3,Jim Quick,"C.Swan (4-36-L), M.Bomback (2), J.Pacella (3)",NYM,1980
5,6,Apr 16,True,MON,"W,3-2",9.0,9,2,2,0,4,9,0,0,3.17,39,,,2.0,0.0,2,1,34,4,0,0,0,1,1,1,3,Bob Engel,"R.Burris (4-54-W), J.Reardon (3-H), N.Allen (2-Sv)",NYM,1980
6,7,Apr 17,False,CHC,"L,1-4",8.0,8,4,4,0,1,0,2,0,3.34,33,,,0.0,0.0,0,0,31,3,0,1,1,0,0,0,2,Dick Stello,"T.Hausman (4-48-L), K.Kobel (5)",NYM,1980
7,8,Apr 19,False,CHC,"L,9-12",8.0,15,12,12,0,4,8,5,0,4.5,42,,,4.0,1.0,0,0,38,0,0,1,0,0,1,1,5,Satch Davidson,"P.Falcone (5-54), M.Bomback (3), J.Reardon (2), N.Allen (2-BL), J.Pacella (3)",NYM,1980
8,9,Apr 20,False,CHC,"L,3-6",8.0,11,6,4,2,3,6,1,0,4.5,36,,,1.0,0.0,2,1,32,1,0,1,1,0,1,0,3,Dave Pallone,"C.Swan (4-50), K.Kobel (2-L), J.Pacella (0)",NYM,1980
9,10,Apr 21,False,PHI,"W,3-0",9.0,5,0,0,0,5,4,0,0,4.03,37,,,1.0,0.0,1,0,32,0,1,0,0,0,0,0,2,Charlie Williams,"R.Burris (4-69-W), N.Allen (1-Sv)",NYM,1980
