,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,TEX,"L,0-1",42,40,0,4,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0.1,0.143,0.1,0.243,6,11,L,J.Matlack(86),NYY,1980
1,2,Apr 11,False,TEX,"L,7-11",36,30,7,6,3,0,2,7,5,0,6,0,0,1,0,1,3,1,0.143,0.218,0.271,0.489,2,9,R,F.Jenkins(34),NYY,1980
2,3,Apr 13 (1),False,TEX,"W,9-4",43,34,9,12,3,0,1,9,9,0,6,0,0,0,0,2,0,1,0.212,0.314,0.356,0.67,7,11,R,S.Comer(24),NYY,1980
3,4,Apr 13 (2),False,TEX,"W,8-2",42,39,8,13,2,0,1,5,2,0,6,1,0,0,1,1,1,1,0.245,0.331,0.385,0.716,7,10,R,G.Perry(43),NYY,1980
4,5,Apr 15,False,CHW,"L,3-4",56,48,3,9,2,0,0,3,8,1,6,0,0,0,0,1,1,2,0.23,0.324,0.346,0.67,11,13,L,S.Trout(50),NYY,1980
5,6,Apr 16,False,CHW,"W,6-0",42,36,6,11,2,1,0,6,4,0,7,1,0,1,0,1,2,0,0.242,0.333,0.357,0.69,9,12,L,K.Kravec(39),NYY,1980
6,7,Apr 17,False,CHW,"L,6-8",36,35,6,9,2,0,1,6,0,0,4,0,0,1,1,1,0,0,0.244,0.323,0.363,0.686,3,12,L,B.Burns(62),NYY,1980
7,8,Apr 18,True,MIL,"L,2-3",37,31,2,4,0,0,0,2,6,0,3,0,0,0,0,0,0,0,0.232,0.317,0.338,0.655,8,12,L,M.Caldwell(71),NYY,1980
8,9,Apr 19,True,MIL,"L,1-5",35,32,1,8,0,0,1,1,3,0,5,0,0,0,0,2,0,1,0.234,0.317,0.338,0.656,7,15,R,M.Haas(61),NYY,1980
9,10,Apr 20,True,MIL,"W,9-5",43,34,9,11,1,0,4,7,6,2,3,1,1,1,1,0,1,0,0.242,0.328,0.373,0.702,10,12,L,B.Travers(29),NYY,1980
10,11,Apr 21,True,BAL,"W,3-2",30,28,3,7,0,0,1,2,1,0,1,0,1,0,0,1,0,0,0.243,0.325,0.372,0.697,3,9,L,M.Flanagan(56),NYY,1980
11,12,Apr 22,True,BAL,"W,5-4",42,35,5,12,1,0,0,5,7,0,1,0,0,0,0,2,0,0,0.251,0.336,0.372,0.708,12,13,L,S.McGregor(45),NYY,1980
12,13,Apr 23,True,BAL,"W,6-5",34,30,6,9,3,1,3,6,4,0,6,0,0,0,0,2,0,0,0.254,0.339,0.398,0.737,4,11,R,J.Palmer(28),NYY,1980
13,14,Apr 25,True,CHW,"L,0-6",37,32,0,7,0,0,0,0,4,0,7,1,0,0,1,2,0,0,0.252,0.338,0.386,0.725,10,10,L,S.Trout(76),NYY,1980
14,15,Apr 26,True,CHW,"L,7-8",52,46,7,11,2,2,1,7,5,1,4,0,0,1,0,1,1,0,0.251,0.336,0.391,0.726,9,14,L,K.Kravec(38),NYY,1980
15,16,Apr 27,True,CHW,"W,1-0",30,28,1,6,1,0,0,1,1,0,6,0,1,0,0,0,1,1,0.249,0.331,0.384,0.715,5,10,L,B.Burns(71),NYY,1980
16,17,Apr 29,False,BAL,"W,4-3",39,33,4,8,1,0,2,4,5,0,9,0,1,0,0,0,1,1,0.249,0.332,0.387,0.719,8,12,L,S.McGregor(40),NYY,1980
