,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,TEX,"L,0-1",11.1,4,1,1,0,2,5,0,0,0.79,40,,,3.0,1.0,0,0,37,1,0,2,1,0,1,1,3,Marty Springstead,"R.Guidry (99-87), T.Underwood (99-L), R.Gossage (99)",NYY,1980
1,2,Apr 11,False,TEX,"L,7-11",8.0,16,11,11,0,4,1,1,0,5.59,44,,,4.0,4.0,0,0,39,6,0,1,0,1,0,0,4,Joe Brinkman,"T.John (99-20), R.Davis (99-L), J.Kaat (99), R.Gossage (0)",NYY,1980
2,3,Apr 13(1),False,TEX,"W,9-4",9.0,8,4,4,0,3,3,0,0,5.08,39,,,2.0,2.0,0,0,36,2,1,0,0,0,1,0,2,Nick Bremigan,"L.Tiant (99-44-W), J.Kaat (1)",NYY,1980
3,4,Apr 13(2),False,TEX,"W,8-2",9.0,8,2,2,0,5,4,0,0,4.34,40,,,2.0,0.0,2,0,35,2,0,0,0,0,1,1,2,Durwood Merrill,"E.Figueroa (99-50-W), T.Underwood (2-Sv)",NYY,1980
4,5,Apr 15,False,CHW,"L,3-4",13.2,9,4,3,1,9,9,0,0,3.71,59,,,0.0,0.0,1,0,48,3,0,3,1,1,1,1,4,Jim Evans,"R.Guidry (4-63), R.Gossage (3), T.Underwood (1), J.Kaat (1-L)",NYY,1980
5,6,Apr 16,False,CHW,"W,6-0",9.0,2,0,0,0,0,2,0,1,3.15,28,,,,,0,1,27,0,0,0,0,0,0,1,1,Larry Barnett,T.John (4-85-W),NYY,1980
6,7,Apr 17,False,CHW,"L,6-8",8.0,12,8,8,0,3,3,0,0,3.84,38,,,2.0,2.0,1,1,35,6,0,1,0,0,0,0,3,Jim McKean,"M.Griffin (99-32-L), R.Davis (5), J.Kaat (1)",NYY,1980
7,8,Apr 18,True,MIL,"L,2-3",9.0,9,3,3,0,2,6,1,0,3.74,37,,,2.0,0.0,2,1,35,3,1,1,0,0,0,0,2,Ken Kaiser,"L.Tiant (4-48-L), R.Davis (0)",NYY,1980
8,9,Apr 19,True,MIL,"L,1-5",9.0,13,5,4,1,2,5,0,0,3.77,40,,,2.0,1.0,2,0,37,1,0,1,1,0,1,3,3,Richard Shulock,"E.Figueroa (5-30-L), T.Underwood (3), R.Gossage (3)",NYY,1980
9,10,Apr 20,True,MIL,"W,9-5",9.0,10,5,4,1,4,8,2,0,3.79,38,,,1.0,1.0,1,1,32,1,0,0,1,1,0,1,2,Bill Kunkel,"R.Guidry (4-31), R.Davis (1-W)",NYY,1980
