,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,MIN,"L,7-9",45,43,7,10,1,0,1,7,2,0,10,0,0,0,0,3,0,0,0.233,0.267,0.326,0.592,2,15,L,J.Koosman(47),OAK,1980
1,2,Apr 11,True,MIN,"W,1-0",28,27,1,4,0,1,0,1,0,0,5,0,1,0,1,0,0,1,0.2,0.222,0.286,0.508,3,11,R,P.Redfern(75),OAK,1980
2,3,Apr 12,True,MIN,"L,0-6",31,31,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.168,0.184,0.228,0.412,4,9,L,G.Zahn(82),OAK,1980
3,4,Apr 13,True,MIN,"W,4-1",33,26,4,7,1,0,0,4,5,0,3,0,2,0,0,0,1,2,0.189,0.231,0.244,0.475,5,11,R,R.Erickson(35),OAK,1980
4,5,Apr 14,True,SEA,"L,1-7",31,30,1,4,0,0,0,1,1,0,4,0,0,0,0,1,1,0,0.178,0.218,0.223,0.441,3,11,R,G.Abbott(78),OAK,1980
5,6,Apr 15,True,SEA,"W,12-3",42,32,12,12,4,0,3,12,8,2,4,0,1,1,0,0,0,2,0.212,0.272,0.317,0.589,6,9,R,M.Parrott(18),OAK,1980
6,7,Apr 16,True,SEA,"W,6-1",37,32,6,10,2,1,0,6,4,1,5,1,0,0,0,2,0,0,0.226,0.292,0.335,0.627,7,11,R,J.Beattie(23),OAK,1980
7,8,Apr 18,True,CAL,"W,6-3",36,30,6,9,2,0,1,6,3,0,4,0,2,1,1,1,2,0,0.235,0.3,0.351,0.65,6,10,R,B.Kison(30),OAK,1980
8,9,Apr 19,True,CAL,"W,3-1",33,29,3,7,3,0,0,3,3,0,5,0,1,0,0,0,0,0,0.236,0.301,0.35,0.651,6,12,R,D.Aase(45),OAK,1980
9,10,Apr 20 (1),True,CAL,"W,6-1",42,34,6,10,2,0,0,5,8,0,6,0,0,0,1,0,1,0,0.242,0.316,0.35,0.667,12,10,R,C.Knapp(23),OAK,1980
10,11,Apr 20 (2),True,CAL,"W,8-2",40,35,8,12,3,1,0,7,1,0,4,2,1,1,2,0,3,0,0.252,0.323,0.364,0.687,8,11,L,F.Tanana(24),OAK,1980
11,12,Apr 21,False,SEA,"W,4-2",42,34,4,9,2,0,2,4,8,2,5,0,0,0,0,0,1,0,0.253,0.331,0.376,0.707,11,10,R,J.Beattie(56),OAK,1980
12,13,Apr 22,False,SEA,"L,4-5",43,33,4,10,2,0,1,3,7,2,6,0,2,1,0,1,2,0,0.257,0.338,0.382,0.72,12,12,L,R.Honeycutt(47),OAK,1980
13,14,Apr 23,False,SEA,"W,5-2",45,35,5,11,3,0,0,5,8,2,8,0,2,0,1,0,1,0,0.262,0.347,0.384,0.73,13,12,L,F.Bannister(44),OAK,1980
14,15,Apr 25,False,MIN,"L,3-10",39,36,3,9,0,0,3,3,3,0,5,0,0,0,0,0,0,0,0.261,0.344,0.392,0.736,9,13,L,J.Koosman(59),OAK,1980
15,16,Apr 26,False,MIN,"L,1-5",32,30,1,4,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0.253,0.336,0.377,0.713,4,11,R,P.Redfern(71),OAK,1980
16,17,Apr 27,False,MIN,"L,11-20",48,46,11,22,3,1,1,11,2,0,4,0,0,0,0,2,1,0,0.272,0.348,0.4,0.748,10,15,L,G.Zahn(3),OAK,1980
17,18,Apr 28,False,CAL,"W,8-0",41,36,8,10,4,0,3,8,5,0,3,0,0,0,0,0,0,0,0.272,0.349,0.414,0.763,6,10,R,B.Kison(25),OAK,1980
18,19,Apr 29,False,CAL,"W,4-2",36,33,4,10,1,0,0,4,2,0,5,0,0,1,0,0,0,3,0.274,0.348,0.41,0.758,5,11,L,F.Tanana(36),OAK,1980
