,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,MIN,"L,7-9",12.0,14,9,9,0,2,8,2,1,6.75,52,,,7.0,2.0,0,1,48,1,1,0,1,0,0,0,5,Don Denkinger,"R.Langford (99-27), D.Hamilton (99), J.Jones (99-H), B.Lacey (99-BSv), S.McCatty (99-L)",OAK,1980
1,2,Apr 11,True,MIN,"W,1-0",9.0,4,0,0,0,2,6,0,0,3.86,34,,,,,1,0,32,0,0,0,0,0,1,0,1,Larry McCoy,M.Keough (99-83-W),OAK,1980
2,3,Apr 12,True,MIN,"L,0-6",9.0,10,6,6,0,2,2,1,1,4.5,39,,,3.0,2.0,1,0,34,2,1,0,2,0,0,0,3,Dale Ford,"B.Kingman (99-46-L), B.Lacey (1), R.Lysander (99)",OAK,1980
3,4,Apr 13,True,MIN,"W,4-1",9.0,3,1,0,1,1,11,0,1,3.46,33,,,,,0,1,31,1,1,0,0,0,2,0,1,Greg Kosc,M.Norris (99-89-W),OAK,1980
4,5,Apr 14,True,SEA,"L,1-7",9.0,10,7,7,0,6,6,1,2,4.12,43,,,1.0,0.0,0,1,35,0,1,0,0,0,1,2,3,Don Denkinger,"S.McCatty (3-24-L), D.Hamilton (3), R.Lysander (1)",OAK,1980
5,6,Apr 15,True,SEA,"W,12-3",9.0,7,3,3,0,1,5,0,0,3.95,36,,,3.0,1.0,0,0,34,1,0,0,0,1,1,0,2,Larry McCoy,"S.McCatty (0-61-W), J.Jones (4)",OAK,1980
6,7,Apr 16,True,SEA,"W,6-1",9.0,6,1,1,0,2,5,0,0,3.55,35,,,,,1,0,33,1,0,0,0,0,0,0,1,Dale Ford,M.Keough (4-74-W),OAK,1980
7,8,Apr 18,True,CAL,"W,6-3",9.0,7,3,3,0,3,4,0,1,3.48,36,,,,,0,2,32,1,0,0,0,0,0,0,1,Al Clark,B.Kingman (5-62-W),OAK,1980
8,9,Apr 19,True,CAL,"W,3-1",9.0,4,1,1,0,4,4,0,0,3.21,34,,,1.0,0.0,0,0,30,1,0,0,0,0,0,1,3,Steve Palermo,"M.Norris (5-71-W), D.Hamilton (4), J.Jones (3-Sv)",OAK,1980
9,10,Apr 20(1),True,CAL,"W,6-1",9.0,5,1,1,0,4,4,0,1,3.0,35,,,,,0,0,30,2,0,0,0,0,0,1,1,Dave Phillips,M.Keough (3-73-W),OAK,1980
10,11,Apr 20(2),True,CAL,"W,8-2",9.0,7,2,2,0,2,3,0,0,2.91,35,,,,,0,0,33,1,0,0,0,0,0,0,1,Lou DiMuro,S.McCatty (4-66-W),OAK,1980
11,12,Apr 21,False,SEA,"W,4-2",9.0,7,2,2,0,4,4,1,0,2.84,36,,,1.0,0.0,1,2,30,1,0,1,2,0,0,0,2,Bill Deegan,"D.Hamilton (1-45), J.Jones (1-W)",OAK,1980
12,13,Apr 22,False,SEA,"L,4-5",8.0,9,5,5,0,3,3,3,1,3.03,36,,,1.0,0.0,0,0,32,3,0,0,0,0,0,1,3,Rich Garcia,"B.Kingman (3-41-L), M.Souza (99), R.Langford (11)",OAK,1980
13,14,Apr 23,False,SEA,"W,5-2",9.0,4,2,2,0,6,8,0,0,2.95,37,,,8.0,2.0,0,0,29,0,0,0,2,0,0,0,5,Mike Reilly,"M.Norris (3-65), D.Hamilton (1-H), J.Jones (1-H), M.Souza (0-BSv), R.Langford (0-W)",OAK,1980
