,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 11,True,MON,"W,6-3",35,31,6,6,2,0,1,5,3,0,3,0,0,1,2,0,0,0,0.194,0.257,0.355,0.612,5,10,R,S.Rogers(47),PHI,1980
1,2,Apr 12,True,MON,"W,6-2",37,35,6,14,5,2,1,6,1,0,4,0,1,0,0,1,0,0,0.303,0.338,0.561,0.899,7,12,L,B.Lee(31),PHI,1980
2,3,Apr 13,True,MON,"L,4-5",42,42,4,11,0,0,0,2,0,0,4,0,0,0,1,0,2,0,0.287,0.31,0.444,0.754,8,16,R,S.Sanderson(50),PHI,1980
3,4,Apr 15,False,STL,"L,2-7",33,32,2,5,2,0,0,2,1,0,3,0,0,0,1,0,0,1,0.257,0.281,0.393,0.674,4,12,R,P.Vuckovich(71),PHI,1980
4,5,Apr 16,False,STL,"W,8-3",40,38,8,11,5,0,0,8,2,0,1,0,0,0,1,1,0,0,0.264,0.29,0.399,0.689,5,12,R,B.Forsch(62),PHI,1980
5,6,Apr 18,False,MON,"L,5-7",41,39,5,10,2,0,2,4,2,0,1,0,0,0,2,0,0,0,0.263,0.291,0.41,0.701,9,15,R,S.Sanderson(37),PHI,1980
6,7,Apr 19,False,MON,"W,13-4",46,42,13,18,2,1,1,13,3,0,4,1,0,0,1,0,2,2,0.29,0.322,0.44,0.762,6,14,R,S.Rogers(29),PHI,1980
7,8,Apr 20,False,MON,"L,6-7",39,37,6,10,3,1,1,6,0,0,2,0,1,1,2,0,0,0,0.287,0.315,0.446,0.761,6,12,L,B.Lee(41),PHI,1980
8,9,Apr 21,True,NYM,"L,0-3",37,32,0,5,0,1,0,0,5,0,4,0,0,0,0,0,1,0,0.274,0.31,0.424,0.734,10,14,R,R.Burris(69),PHI,1980
9,10,Apr 22,True,NYM,"W,14-8",41,35,14,13,3,2,3,14,4,0,4,0,0,2,0,0,0,0,0.284,0.321,0.463,0.784,3,15,R,T.Hausman(19),PHI,1980
10,11,Apr 23,True,NYM,"L,2-3",42,39,2,12,2,2,0,2,3,0,4,0,0,0,1,1,0,0,0.286,0.325,0.463,0.788,13,20,R,M.Bomback(59),PHI,1980
11,12,Apr 25,True,STL,"L,1-3",40,36,1,9,2,0,0,1,3,0,6,0,1,0,1,0,1,0,0.283,0.323,0.45,0.773,12,11,R,P.Vuckovich(64),PHI,1980
12,13,Apr 26,True,STL,"W,7-0",34,32,7,8,1,1,1,6,2,0,2,0,0,0,0,0,0,0,0.281,0.321,0.449,0.77,3,12,R,J.Fulgham(41),PHI,1980
13,14,Apr 27,True,STL,"L,1-10",35,34,1,6,0,0,0,1,0,0,5,0,0,0,2,1,1,0,0.274,0.312,0.431,0.743,7,18,R,B.Forsch(78),PHI,1980
14,15,Apr 30,False,NYM,"L,0-2",33,27,0,2,0,0,0,0,6,0,2,0,0,0,0,2,1,0,0.264,0.308,0.412,0.721,6,13,R,M.Bomback(79),PHI,1980
15,16,May 1,False,NYM,"W,2-1",33,31,2,5,0,0,1,2,1,0,9,0,1,0,1,1,1,0,0.258,0.302,0.404,0.706,4,10,L,P.Falcone(70),PHI,1980
16,17,May 2,True,LAD,"W,9-5",39,31,9,9,2,0,2,9,7,0,6,0,0,0,0,1,1,0,0.26,0.309,0.411,0.72,6,13,R,R.Sutcliffe(39),PHI,1980
