,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 11,True,MON,"W,6-3",9.0,8,3,3,0,1,6,1,0,3.0,36,,,,,0,1,35,2,2,0,0,0,1,0,1,Bob Engel,S.Carlton (99-64-W),PHI,1980
1,2,Apr 12,True,MON,"W,6-2",9.0,7,2,2,0,10,0,0,0,2.5,40,,,2.0,0.0,0,1,29,1,1,0,0,1,0,2,3,Jerry Dale,"D.Ruthven (99-56-W), R.Reed (99), T.McGraw (99-Sv)",PHI,1980
2,3,Apr 13,True,MON,"L,4-5",10.0,12,5,5,0,4,7,2,0,3.21,45,,,0.0,0.0,1,0,39,1,1,0,1,1,0,0,4,Paul Runge,"L.Christenson (99-41), D.Noles (99), S.Munninghoff (99), L.LaGrow (99-L)",PHI,1980
3,4,Apr 15,False,STL,"L,2-7",8.0,12,7,7,0,3,6,0,0,4.25,37,,,0.0,0.0,0,1,32,3,2,2,1,1,0,0,3,Joe West,"R.Lerch (99-38-L), K.Saucier (99), R.Reed (2)",PHI,1980
4,5,Apr 16,False,STL,"W,8-3",9.0,8,3,3,0,2,5,0,0,4.0,35,,,1.0,0.0,0,0,33,2,1,0,0,0,0,2,2,Dave Pallone,"S.Carlton (4-58-W), D.Noles (2)",PHI,1980
5,6,Apr 18,False,MON,"L,5-7",8.0,10,7,7,0,2,3,1,1,4.58,36,,,0.0,0.0,5,0,33,0,1,0,0,0,0,1,4,Terry Tata,"D.Ruthven (5-26-L), K.Saucier (2), L.LaGrow (4), R.Reed (2)",PHI,1980
6,7,Apr 19,False,MON,"W,13-4",9.0,6,4,3,1,4,10,1,0,4.35,37,,,0.0,0.0,0,0,33,2,1,0,0,0,0,0,2,Dutch Rennert,"L.Christenson (5-45-W), D.Noles (2-Sv)",PHI,1980
7,8,Apr 20,False,MON,"L,6-7",8.2,14,7,7,0,2,4,2,0,4.71,42,,,2.0,2.0,1,0,37,1,0,1,2,1,0,0,3,John Kibler,"R.Lerch (4-35), L.LaGrow (1-BSv), T.McGraw (7-BL)",PHI,1980
8,9,Apr 21,True,NYM,"L,0-3",9.0,6,3,3,0,4,6,0,1,4.52,37,,,0.0,0.0,3,0,31,0,0,1,1,0,0,0,2,Charlie Williams,"S.Carlton (4-62-L), R.Reed (2)",PHI,1980
9,10,Apr 22,True,NYM,"W,14-8",9.0,14,8,8,0,6,2,0,0,4.87,44,,,2.0,2.0,3,1,37,4,0,1,0,1,0,1,4,Paul Pryor,"D.Ruthven (3-17), S.Munninghoff (8), K.Saucier (3-W), D.Noles (2)",PHI,1980
10,11,Apr 23,True,NYM,"L,2-3",9.0,7,3,2,1,2,3,0,1,4.61,37,,,0.0,0.0,2,1,34,4,0,0,0,0,1,0,5,John McSherry,"L.Christenson (3-47), R.Reed (1), L.LaGrow (2-L), T.McGraw (2), D.Noles (0)",PHI,1980
11,12,Apr 25,True,STL,"L,1-3",9.0,7,3,3,0,1,4,2,0,4.47,35,,,,,0,1,33,0,0,0,0,1,2,1,1,Jerry Crawford,R.Lerch (4-64-L),PHI,1980
12,13,Apr 26,True,STL,"W,7-0",9.0,1,0,0,0,1,5,0,0,4.12,29,,,,,0,0,28,0,0,0,0,0,0,0,1,Doug Harvey,S.Carlton (4-89-W),PHI,1980
13,14,Apr 27,True,STL,"L,1-10",9.0,19,10,7,3,5,8,1,1,4.33,48,,,2.0,0.0,3,2,42,2,1,1,0,0,1,2,5,Andy Olsen,"D.Ruthven (4-26-L), S.Munninghoff (4), K.Saucier (4), L.LaGrow (3), T.McGraw (3)",PHI,1980
14,15,Apr 30,False,NYM,"L,0-2",8.0,4,2,1,1,6,2,0,0,4.14,36,,,0.0,0.0,2,0,30,2,0,2,0,0,2,0,2,Frank Pulli,"R.Lerch (4-62-L), D.Noles (6)",PHI,1980
