,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,STL,"L,0-1",31,28,0,3,0,0,0,0,2,0,9,1,0,0,0,2,1,0,0.107,0.194,0.107,0.301,4,12,R,P.Vuckovich(88),PIT,1980
1,2,Apr 11,False,STL,"W,4-3",36,32,4,8,2,0,0,4,3,1,0,0,1,0,1,2,0,0,0.183,0.258,0.217,0.474,5,14,R,B.Forsch(59),PIT,1980
2,3,Apr 12,False,STL,"W,7-2",45,39,7,14,4,0,0,5,5,2,6,0,1,0,1,1,2,0,0.253,0.327,0.313,0.64,11,10,R,J.Fulgham(25),PIT,1980
3,4,Apr 13,False,STL,"W,3-0",35,31,3,5,1,0,1,2,4,0,1,0,0,0,1,1,1,0,0.231,0.31,0.308,0.618,5,12,R,S.Martínez(56),PIT,1980
4,5,Apr 14,True,CHC,"W,5-4",41,37,5,10,2,0,2,5,2,0,6,2,0,0,0,1,1,0,0.24,0.317,0.347,0.665,8,14,R,R.Reuschel(46),PIT,1980
5,6,Apr 17,True,STL,"L,9-12",45,42,9,16,5,0,1,8,3,0,3,0,0,0,0,1,3,0,0.268,0.338,0.392,0.73,9,18,L,B.Sykes(24),PIT,1980
6,7,Apr 18,True,STL,"W,12-10",43,40,12,16,4,0,1,12,2,1,2,0,0,1,1,0,2,0,0.289,0.35,0.422,0.772,7,12,R,S.Martínez(25),PIT,1980
7,8,Apr 19,True,STL,"L,1-2",33,30,1,4,2,0,0,1,2,0,4,0,0,1,0,0,1,0,0.272,0.332,0.398,0.73,5,15,R,J.Fulgham(77),PIT,1980
8,9,Apr 20,True,STL,"W,6-3",38,32,6,10,1,0,1,6,6,1,4,0,0,0,0,0,0,2,0.277,0.342,0.402,0.744,8,12,R,P.Vuckovich(29),PIT,1980
9,10,Apr 21,False,MON,"W,7-1",43,36,7,12,1,1,0,7,3,1,3,1,0,3,1,1,0,0,0.282,0.345,0.403,0.749,9,9,L,R.Grimsley(44),PIT,1980
10,11,Apr 22,False,MON,"W,5-3",37,35,5,9,1,1,2,5,2,0,3,0,0,0,0,0,1,1,0.28,0.341,0.414,0.755,5,12,R,S.Sanderson(35),PIT,1980
11,12,Apr 23,False,MON,"L,2-3",31,31,2,5,1,0,1,1,0,0,7,0,0,0,0,0,0,1,0.271,0.329,0.404,0.733,2,11,R,S.Rogers(78),PIT,1980
12,13,Apr 25,False,CHC,"L,3-5",34,30,3,8,2,0,0,3,2,1,3,0,2,0,0,3,1,0,0.271,0.328,0.4,0.727,4,12,R,R.Reuschel(56),PIT,1980
13,14,Apr 26,False,CHC,"W,9-2",49,43,9,17,1,0,1,9,5,0,7,0,1,0,1,0,2,0,0.282,0.34,0.407,0.747,13,10,R,D.Lamp(20),PIT,1980
14,15,Apr 29,True,MON,"W,5-4",42,39,5,11,1,0,1,5,2,0,6,0,1,0,2,1,2,0,0.282,0.338,0.406,0.744,9,16,R,S.Rogers(58),PIT,1980
15,16,Apr 30,True,MON,"W,5-0",34,30,5,8,1,1,3,5,3,0,2,0,0,1,0,0,0,1,0.281,0.337,0.42,0.757,5,9,L,B.Lee(38),PIT,1980
16,17,May 1,True,MON,"W,2-1",41,37,2,10,2,1,0,2,2,1,8,1,1,0,1,0,2,0,0.28,0.336,0.417,0.754,11,16,R,D.Palmer(50),PIT,1980
17,18,May 2,True,ATL,"L,1-6",36,33,1,7,0,0,0,1,2,0,4,0,1,0,0,0,2,0,0.277,0.332,0.406,0.739,8,14,R,P.Niekro(71),PIT,1980
18,19,May 3,True,ATL,"L,1-3",39,38,1,9,1,0,0,0,1,1,3,0,0,0,1,2,1,0,0.275,0.328,0.398,0.726,8,18,L,L.McWilliams(70),PIT,1980
19,20,May 4,True,ATL,"W,13-4",47,36,13,15,3,0,3,13,5,1,3,2,1,3,3,2,4,0,0.282,0.337,0.416,0.754,10,11,R,T.Boggs(39),PIT,1980
20,21,May 6,True,LAD,"W,2-1",35,32,2,10,1,0,0,2,3,1,1,0,0,0,0,0,0,0,0.283,0.339,0.413,0.752,9,14,R,D.Sutton(59),PIT,1980
21,22,May 7,True,LAD,"W,7-6",37,34,7,12,1,0,4,7,2,0,6,0,1,0,0,0,1,0,0.286,0.341,0.427,0.768,6,14,R,B.Welch(29),PIT,1980
22,23,May 9,False,SDP,"W,4-3",42,35,4,12,2,0,2,4,4,3,3,0,2,1,0,0,1,1,0.289,0.344,0.434,0.777,11,14,L,J.Curtis(51),PIT,1980
