,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,STL,"L,0-1",8.0,3,1,1,0,3,3,0,0,1.12,27,,,0.0,0.0,0,0,24,1,0,0,0,0,0,1,2,Ed Vargo,"B.Blyleven (99-58-L), E.Romo (99)",PIT,1980
1,2,Apr 11,False,STL,"W,4-3",9.0,11,3,2,1,3,1,0,0,1.59,40,,,0.0,0.0,0,0,37,0,1,1,0,0,1,2,3,Dick Stello,"J.Candelaria (99-41), E.Solomon (99), G.Jackson (99-W)",PIT,1980
2,3,Apr 12,False,STL,"W,7-2",9.0,6,2,2,0,2,5,0,0,1.73,34,,,,,0,0,32,3,0,0,0,0,0,1,1,Satch Davidson,J.Bibby (99-70-W),PIT,1980
3,4,Apr 13,False,STL,"W,3-0",9.0,6,0,0,0,5,7,0,0,1.29,36,,,4.0,0.0,0,0,31,2,0,0,0,0,0,2,3,Eric Gregg,"J.Rooker (99-65-W), E.Romo (2-H), G.Jackson (1-Sv)",PIT,1980
4,5,Apr 14,True,CHC,"W,5-4",10.0,7,4,4,0,3,7,1,0,1.8,40,,,0.0,0.0,0,0,37,1,0,1,0,0,0,0,3,Ed Vargo,"B.Blyleven (3-68), G.Jackson (0-H), K.Tekulve (99-BW)",PIT,1980
5,6,Apr 17,True,STL,"L,9-12",9.0,17,12,11,1,4,5,1,1,3.33,47,,,3.0,3.0,2,1,42,2,0,1,0,0,0,1,6,Bill Williams,"J.Candelaria (5-8-L), D.Roberts (99), E.Solomon (5), E.Romo (3), R.Scurry (99), K.Tekulve (2)",PIT,1980
6,7,Apr 18,True,STL,"W,12-10",9.0,14,10,10,0,2,2,4,0,4.29,42,,,3.0,1.0,0,0,37,1,1,1,2,1,0,0,4,Paul Pryor,"J.Bibby (5-22), A.Hassler (99), G.Jackson (3-W), K.Tekulve (0-Sv)",PIT,1980
7,8,Apr 19,True,STL,"L,1-2",9.0,7,2,2,0,5,14,1,0,4.0,41,,,3.0,1.0,0,0,34,0,0,1,2,0,2,0,4,John McSherry,"B.Blyleven (4-75), D.Roberts (1-L), E.Romo (1), G.Jackson (0)",PIT,1980
8,9,Apr 20,True,STL,"W,6-3",9.0,10,3,3,0,4,4,0,1,3.89,39,,,4.0,2.0,0,1,34,1,1,0,0,0,1,3,4,Joe West,"J.Rooker (6-54-W), E.Romo (0), G.Jackson (0), K.Tekulve (1-Sv)",PIT,1980
9,10,Apr 21,False,MON,"W,7-1",9.0,6,1,1,0,1,7,0,0,3.6,36,,,,,0,0,34,2,0,0,0,1,2,0,1,Bob Engel,J.Candelaria (3-77-W),PIT,1980
10,11,Apr 22,False,MON,"W,5-3",9.0,7,3,3,0,4,6,0,0,3.55,34,,,3.0,0.0,2,1,30,1,0,0,0,0,0,3,3,Jerry Dale,"J.Bibby (3-51-W), G.Jackson (1), K.Tekulve (1-Sv)",PIT,1980
11,12,Apr 23,False,MON,"L,2-3",8.0,6,3,3,0,1,7,2,0,3.53,29,,,0.0,0.0,0,1,28,0,1,0,0,0,0,0,2,Paul Runge,"B.Blyleven (3-60-L), E.Romo (2)",PIT,1980
12,13,Apr 25,False,CHC,"L,3-5",8.0,10,5,5,0,5,1,1,0,3.68,35,,,3.0,1.0,0,0,28,2,0,0,1,1,0,2,3,Frank Pulli,"J.Rooker (4-39-L), E.Romo (1), K.Tekulve (2)",PIT,1980
13,14,Apr 26,False,CHC,"W,9-2",9.0,8,2,2,0,1,2,0,1,3.56,34,,,,,0,0,32,2,0,0,0,0,0,2,1,Ed Montague,J.Candelaria (4-64-W),PIT,1980
14,15,Apr 29,True,MON,"W,5-4",10.0,7,4,4,0,7,7,1,0,3.56,42,41.0,24.0,2.0,0.0,2,1,35,1,0,0,0,0,0,1,4,Nick Colosi,"B.Blyleven (5-39), E.Romo (3), K.Tekulve (3), E.Solomon (11-W)",PIT,1980
15,16,Apr 30,True,MON,"W,5-0",9.0,6,0,0,0,2,3,0,0,3.34,35,,,,,0,0,33,2,0,0,0,0,1,0,1,Fred Brocklander,J.Bibby (7-76-W),PIT,1980
16,17,May 1,True,MON,"W,2-1",10.0,8,1,1,0,2,4,0,0,3.18,38,,,2.0,0.0,0,1,36,1,0,0,0,0,0,1,3,Jerry Crawford,"J.Candelaria (4-75), G.Jackson (8), K.Tekulve (1-W)",PIT,1980
17,18,May 2,True,ATL,"L,1-6",9.0,7,6,3,3,4,5,0,0,3.17,36,,,3.0,2.0,2,1,30,0,0,0,0,2,2,2,4,Terry Tata,"J.Rooker (6-42-L), E.Solomon (2), R.Scurry (14), A.Hassler (13)",PIT,1980
18,19,May 3,True,ATL,"L,1-3",10.0,9,3,3,0,1,5,0,0,3.14,39,,,0.0,0.0,0,0,37,0,0,0,0,1,0,1,4,John Kibler,"D.Robinson (99-53), E.Romo (3), K.Tekulve (1), G.Jackson (1-L)",PIT,1980
19,20,May 4,True,ATL,"W,13-4",9.0,8,4,4,0,3,5,0,1,3.18,38,,,,,0,0,34,2,0,0,0,0,1,1,1,Dick Stello,J.Bibby (3-57-W),PIT,1980
20,21,May 6,True,LAD,"W,2-1",9.0,7,1,1,0,2,2,0,0,3.08,33,12.0,7.0,0.0,0.0,0,0,30,0,0,0,1,0,1,4,2,Steve Fields,"J.Candelaria (4-66), K.Tekulve (2-W)",PIT,1980
21,22,May 7,True,LAD,"W,7-6",9.0,11,6,3,3,2,6,0,1,3.08,39,,,6.0,4.0,0,2,35,0,0,0,0,1,1,1,4,Harry Wendelstedt,"P.Pérez (99-49), E.Romo (3), G.Jackson (3-H), K.Tekulve (0-BW)",PIT,1980
22,23,May 9,False,SDP,"W,4-3",9.0,4,3,2,1,2,5,1,0,3.03,31,,,1.0,1.0,0,1,28,0,0,0,0,1,0,0,3,Dave Pallone,"J.Bibby (4-57), G.Jackson (1), K.Tekulve (1-W)",PIT,1980
23,24,May 10,False,SDP,"W,9-5",9.0,10,5,5,0,4,4,0,0,3.11,41,,,2.0,2.0,1,0,36,3,0,0,0,1,0,0,3,Ed Vargo,"D.Robinson (6-44-W), G.Jackson (0-H), E.Romo (2-Sv)",PIT,1980
24,25,May 11,False,SDP,"L,0-5",8.0,9,5,5,0,3,3,0,0,3.2,34,,,0.0,0.0,1,1,31,0,0,1,0,0,0,0,2,Satch Davidson,"J.Candelaria (4-53-L), K.Tekulve (1)",PIT,1980
25,26,May 13,False,SFG,"L,0-5",8.0,6,5,3,2,0,6,1,0,3.21,31,,,,,0,0,31,3,0,0,0,0,1,0,1,Fred Brocklander,B.Blyleven (13-60-L),PIT,1980
26,27,May 14,False,SFG,"W,3-2",9.0,5,2,2,0,3,3,0,0,3.16,35,,,1.0,1.0,0,0,32,1,0,0,0,0,0,0,2,Charlie Williams,"J.Bibby (4-60-W), K.Tekulve (2-Sv)",PIT,1980
