,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,SFG,"W,6-4",35,30,6,9,1,1,0,6,2,0,3,0,2,1,2,0,1,1,0.3,0.333,0.4,0.733,5,12,L,B.Knepper(27),SDP,1980
1,2,Apr 11,True,SFG,"W,5-3",38,30,5,7,0,1,0,4,8,0,3,0,0,0,2,1,2,0,0.267,0.366,0.35,0.716,9,13,R,E.Whitson(47),SDP,1980
2,3,Apr 12,True,SFG,"W,4-2",32,30,4,4,0,0,1,4,2,0,4,0,0,0,2,0,1,0,0.222,0.311,0.311,0.622,4,11,R,J.Montefusco(54),SDP,1980
3,4,Apr 13,True,SFG,"L,1-3",36,31,1,5,0,0,0,1,3,0,3,0,1,1,0,0,0,0,0.207,0.29,0.273,0.563,8,14,L,V.Blue(64),SDP,1980
4,5,Apr 14,True,LAD,"W,2-1",33,26,2,4,1,0,0,1,6,1,1,0,0,1,1,1,2,0,0.197,0.292,0.259,0.551,7,13,R,B.Welch(67),SDP,1980
5,6,Apr 15,True,LAD,"W,9-5",38,30,9,11,2,0,1,7,5,0,6,0,1,2,0,2,6,0,0.226,0.317,0.305,0.622,5,10,R,R.Sutcliffe(20),SDP,1980
6,7,Apr 16,True,LAD,"L,4-10",37,31,4,6,0,0,1,4,5,0,4,0,1,0,0,1,0,0,0.221,0.316,0.303,0.618,6,16,R,B.Hooton(63),SDP,1980
7,8,Apr 17,False,SFG,"L,3-7",36,33,3,8,2,0,1,3,3,0,9,0,0,0,0,1,1,0,0.224,0.314,0.315,0.63,6,14,L,V.Blue(65),SDP,1980
8,9,Apr 18,False,SFG,"L,2-5",37,34,2,9,1,0,1,2,2,0,4,0,1,0,1,2,0,0,0.229,0.313,0.324,0.637,8,13,L,B.Knepper(63),SDP,1980
9,10,Apr 19,False,SFG,"W,3-0",42,38,3,12,1,0,0,2,2,0,6,0,1,1,1,0,2,0,0.24,0.317,0.326,0.642,12,12,R,E.Whitson(39),SDP,1980
10,11,Apr 20,False,SFG,"L,1-5",37,34,1,8,2,0,0,1,3,0,6,0,0,0,0,1,0,0,0.239,0.315,0.323,0.637,9,15,R,J.Montefusco(70),SDP,1980
11,12,Apr 22,False,ATL,"L,2-3",38,34,2,5,0,0,0,2,2,0,8,1,1,0,0,0,1,1,0.231,0.306,0.307,0.613,6,14,R,P.Niekro(77),SDP,1980
12,13,Apr 23,False,ATL,"L,1-2",36,31,1,4,0,0,0,1,5,0,4,0,0,0,3,2,2,1,0.223,0.302,0.294,0.596,8,17,R,R.Matula(61),SDP,1980
13,14,Apr 24,False,ATL,"L,7-8",43,36,7,12,2,0,2,7,6,1,4,0,1,0,0,1,0,0,0.232,0.312,0.315,0.627,9,17,R,D.Alexander(31),SDP,1980
14,15,Apr 25,False,LAD,"L,3-6",39,37,3,12,3,0,1,3,2,0,6,0,0,0,0,0,1,0,0.239,0.316,0.328,0.644,9,14,R,R.Sutcliffe(42),SDP,1980
15,16,Apr 26,False,LAD,"L,3-4",36,33,3,8,1,0,0,3,2,0,6,0,0,1,0,1,0,0,0.239,0.313,0.324,0.638,6,16,R,B.Hooton(56),SDP,1980
16,17,Apr 27,False,LAD,"L,1-3",32,31,1,4,1,0,1,1,1,0,4,0,0,0,0,0,0,0,0.233,0.305,0.321,0.626,4,14,R,D.Sutton(67),SDP,1980
17,18,Apr 30,True,ATL,"W,2-1",30,25,2,4,2,0,0,2,5,1,5,0,0,0,0,1,1,2,0.23,0.305,0.317,0.622,4,10,R,R.Matula(62),SDP,1980
