,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,SFG,"W,6-4",9.0,8,4,4,0,2,2,1,0,4.0,36,,,0.0,0.0,0,2,34,2,0,0,0,0,2,0,2,Doug Harvey,"R.Jones (99-46-W), B.Shirley (99-Sv)",SDP,1980
1,2,Apr 11,True,SFG,"W,5-3",9.0,9,3,3,0,1,4,0,0,3.5,35,,,2.0,0.0,1,0,34,2,0,0,0,0,0,1,2,Andy Olsen,"R.Wise (99-45), R.Fingers (99-W)",SDP,1980
2,3,Apr 12,True,SFG,"W,4-2",9.0,6,2,2,0,3,2,0,1,3.0,36,,,0.0,0.0,0,0,32,1,0,1,0,0,0,2,2,Nick Colosi,"J.Curtis (99-63-W), B.Shirley (1-Sv)",SDP,1980
3,4,Apr 13,True,SFG,"L,1-3",9.0,9,3,2,1,2,8,0,0,2.75,38,,,1.0,0.0,0,0,34,3,0,1,1,1,1,0,3,Jerry Crawford,"E.Rasmussen (99-61-L), D.Kinney (99), J.D'Acquisto (99)",SDP,1980
4,5,Apr 14,True,LAD,"W,2-1",9.0,7,1,0,1,0,5,0,0,2.2,33,,,0.0,0.0,0,0,32,0,0,0,0,1,0,1,2,Harry Wendelstedt,"R.Jones (3-69), R.Fingers (2-W)",SDP,1980
5,6,Apr 15,True,LAD,"W,9-5",9.0,10,5,4,1,3,2,1,0,2.5,39,,,1.0,0.0,2,0,35,1,1,0,0,1,1,2,2,Frank Pulli,"R.Wise (3-33-W), S.Mura (99-Sv)",SDP,1980
6,7,Apr 16,True,LAD,"L,4-10",9.0,14,10,9,1,10,6,2,0,3.43,51,,,4.0,0.0,0,0,41,2,1,1,0,0,2,2,4,Ed Montague,"J.Curtis (3-31-L), D.Kinney (2), J.D'Acquisto (2), G.Lucas (99)",SDP,1980
7,8,Apr 17,False,SFG,"L,3-7",8.0,13,7,7,0,5,4,0,0,3.93,41,,,2.0,2.0,3,0,34,2,0,0,2,0,1,0,3,Nick Colosi,"E.Rasmussen (3-29-L), B.Shirley (4), D.Kinney (0)",SDP,1980
8,9,Apr 18,False,SFG,"L,2-5",8.0,7,5,5,0,4,7,0,0,4.1,34,,,0.0,0.0,1,1,28,2,1,1,1,1,1,0,2,Steve Fields,"R.Jones (3-48-L), S.Mura (2)",SDP,1980
9,10,Apr 19,False,SFG,"W,3-0",9.0,7,0,0,0,2,5,0,0,3.68,35,,,2.0,0.0,0,0,31,0,0,0,1,0,1,3,2,Ed Montague,"G.Lucas (2-71-W), R.Fingers (4-Sv)",SDP,1980
10,11,Apr 20,False,SFG,"L,1-5",8.0,9,5,5,0,3,2,1,0,3.84,35,,,1.0,1.0,1,0,30,1,2,1,1,1,0,1,4,Doug Harvey,"R.Wise (4-40-L), J.D'Acquisto (3), S.Mura (1), B.Shirley (2)",SDP,1980
11,12,Apr 22,False,ATL,"L,2-3",9.0,8,3,3,0,2,3,1,0,3.77,38,,,2.0,0.0,0,0,33,1,0,1,3,0,1,0,3,Andy Olsen,"J.Curtis (5-62), R.Fingers (2), B.Shirley (1-L)",SDP,1980
12,13,Apr 23,False,ATL,"L,1-2",8.0,6,2,1,1,2,3,1,0,3.58,32,,,0.0,0.0,0,1,28,0,0,0,2,0,1,0,2,Nick Colosi,"R.Jones (4-56-L), S.Mura (2)",SDP,1980
13,14,Apr 24,False,ATL,"L,7-8",8.2,13,8,4,4,2,5,0,0,3.62,42,,,1.0,1.0,0,3,37,3,0,1,2,1,3,0,4,Fred Brocklander,"E.Rasmussen (6-37), D.Kinney (6), B.Shirley (1-BSv), R.Fingers (1-BL)",SDP,1980
14,15,Apr 25,False,LAD,"L,3-6",8.0,11,6,6,0,3,6,3,0,3.82,36,,,2.0,2.0,0,1,32,1,0,1,1,0,0,1,3,Jim Quick,"R.Wise (4-47), D.Kinney (0-BL), S.Mura (1)",SDP,1980
15,16,Apr 26,False,LAD,"L,3-4",8.1,11,4,4,0,1,1,0,0,3.85,36,,,2.0,0.0,0,1,34,0,0,0,1,0,0,0,2,Bob Engel,"G.Lucas (6-53), R.Fingers (1-L)",SDP,1980
16,17,Apr 27,False,LAD,"L,1-3",8.0,9,3,3,0,2,2,1,0,3.82,34,,,1.0,0.0,1,1,32,2,0,0,0,0,1,0,3,Jerry Dale,"J.Curtis (4-43-L), S.Mura (1), B.Shirley (2)",SDP,1980
17,18,Apr 30,True,ATL,"W,2-1",9.0,4,1,1,0,2,5,1,0,3.66,33,,,1.0,0.0,2,0,31,1,0,0,0,0,0,0,2,Paul Pryor,"E.Rasmussen (5-71-W), B.Shirley (2-Sv)",SDP,1980
18,19,May 1,True,ATL,"W,4-3",9.0,10,3,3,0,0,3,0,0,3.62,37,,,2.0,1.0,0,0,37,0,0,0,0,0,1,1,4,John McSherry,"R.Jones (7-52), R.Fingers (4), S.Mura (3), B.Shirley (0-W)",SDP,1980
19,20,May 2,False,NYM,"W,1-0",9.0,7,0,0,0,2,5,0,0,3.43,33,,,1.0,0.0,0,2,31,1,0,0,0,0,0,0,3,Satch Davidson,"R.Wise (6-65-W), J.D'Acquisto (11-H), S.Mura (0-Sv)",SDP,1980
20,21,May 3,False,NYM,"W,2-1",9.0,4,1,1,0,2,4,1,0,3.31,32,,,0.0,0.0,0,1,29,0,0,0,1,0,0,0,2,Eric Gregg,"G.Lucas (6-73-W), R.Fingers (1-Sv)",SDP,1980
21,22,May 4(1),False,NYM,"W,4-3",9.0,5,3,3,0,2,4,0,0,3.3,34,,,1.0,0.0,1,0,32,1,0,0,0,0,0,0,2,Dave Pallone,"J.Curtis (6-64-W), B.Shirley (2-Sv)",SDP,1980
22,23,May 4(2),False,NYM,"L,2-6",8.0,9,6,6,0,6,3,1,1,3.44,38,,,3.0,0.0,0,0,30,2,1,1,1,0,0,2,4,Lanny Harris,"E.Rasmussen (3-33-L), D.Kinney (8), S.Mura (1), J.D'Acquisto (1)",SDP,1980
23,24,May 6,False,CHC,"W,4-0",9.0,5,0,0,0,0,4,0,0,3.29,32,,,,,0,1,32,0,0,0,0,0,2,1,1,Bruce Froemming,R.Jones (4-81-W),SDP,1980
24,25,May 7,False,CHC,"L,4-7",8.0,10,7,7,0,2,4,1,1,3.46,36,,,2.0,1.0,1,0,28,4,0,0,3,2,0,0,4,Terry Tata,"R.Wise (4-39-L), J.D'Acquisto (2), S.Mura (2), R.Fingers (3)",SDP,1980
25,26,May 8,False,CHC,"W,9-6",9.0,11,6,6,0,3,6,0,0,3.56,40,,,2.0,0.0,1,1,37,3,0,0,0,0,0,0,4,John Kibler,"G.Lucas (4-26), J.D'Acquisto (0), B.Shirley (3-W), R.Fingers (0-Sv)",SDP,1980
26,27,May 9,True,PIT,"L,3-4",9.0,12,4,4,0,4,3,2,0,3.58,42,,,0.0,0.0,1,1,35,2,0,3,2,1,0,0,3,Dave Pallone,"J.Curtis (4-51), B.Shirley (0), R.Fingers (0-L)",SDP,1980
27,28,May 10,True,PIT,"L,5-9",9.0,14,9,9,0,5,7,2,0,3.78,45,,,3.0,1.0,2,1,38,2,0,0,0,2,0,0,5,Ed Vargo,"E.Rasmussen (5-28-L), D.Kinney (5), J.D'Acquisto (1), S.Mura (2), B.Shirley (0)",SDP,1980
28,29,May 11,True,PIT,"W,5-0",9.0,6,0,0,0,0,2,0,0,3.64,31,,,,,0,0,30,0,0,0,1,0,0,2,1,Satch Davidson,R.Jones (4-77-W),SDP,1980
29,30,May 13,True,STL,"W,3-2",9.0,7,2,2,0,0,4,1,0,3.59,31,,,0.0,0.0,1,0,31,0,0,0,0,0,0,2,2,Terry Tata,"R.Wise (5-58), R.Fingers (3-W)",SDP,1980
