,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 9,True,TOR,"W,8-6",38,34,8,12,2,1,1,8,2,1,4,0,2,0,1,1,0,0,0.353,0.389,0.559,0.948,6,9,R,D.Lemanczyk(32),SEA,1980
1,2,Apr 11,True,TOR,"L,7-10",47,41,7,11,2,0,1,7,6,1,5,0,0,0,1,2,4,1,0.307,0.373,0.467,0.84,7,14,R,D.Stieb(57),SEA,1980
2,3,Apr 12,True,TOR,"W,3-2",39,29,3,6,0,0,2,3,8,1,3,0,1,1,0,1,1,1,0.279,0.372,0.452,0.824,9,12,L,P.Mirabella(58),SEA,1980
3,4,Apr 13,True,TOR,"W,5-1",36,30,5,9,1,0,0,5,4,1,1,0,2,0,0,1,1,0,0.284,0.374,0.425,0.8,7,11,R,D.Lemanczyk(42),SEA,1980
4,5,Apr 14,False,OAK,"W,7-1",43,35,7,10,0,1,1,6,6,0,6,2,0,0,1,2,0,1,0.284,0.384,0.426,0.81,9,9,R,S.McCatty(24),SEA,1980
5,6,Apr 15,False,OAK,"L,3-12",36,34,3,7,1,0,0,3,1,0,5,0,0,1,1,0,0,0,0.271,0.359,0.394,0.753,6,11,R,S.McCatty(61),SEA,1980
6,7,Apr 16,False,OAK,"L,1-6",35,33,1,6,1,0,0,1,2,0,5,0,0,0,0,0,1,0,0.258,0.342,0.369,0.711,7,10,R,M.Keough(74),SEA,1980
7,8,Apr 17,True,MIN,"W,4-3",32,29,4,6,3,0,1,3,1,0,3,0,0,2,0,0,0,0,0.253,0.329,0.374,0.702,3,12,L,G.Zahn(59),SEA,1980
8,9,Apr 18 (1),True,MIN,"W,3-1",29,27,3,6,0,0,0,2,1,0,4,1,0,0,0,2,0,1,0.25,0.324,0.36,0.684,2,10,R,R.Erickson(63),SEA,1980
9,10,Apr 18 (2),True,MIN,"W,3-2",32,30,3,7,1,0,0,3,1,0,10,0,1,0,0,0,0,0,0.248,0.319,0.351,0.669,5,11,R,T.Felton(52),SEA,1980
10,11,Apr 19,True,MIN,"L,3-8",35,33,3,8,2,0,1,3,2,0,5,0,0,0,0,2,0,0,0.248,0.316,0.355,0.671,5,11,L,J.Koosman(59),SEA,1980
11,12,Apr 20,True,MIN,"L,3-4",38,32,3,8,1,0,1,2,3,0,8,0,3,0,1,1,0,0,0.248,0.316,0.357,0.672,8,10,R,P.Redfern(56),SEA,1980
12,13,Apr 21,True,OAK,"L,2-4",36,30,2,7,1,0,1,2,4,1,4,0,2,0,0,0,1,2,0.247,0.316,0.357,0.673,7,12,L,D.Hamilton(45),SEA,1980
13,14,Apr 22,True,OAK,"W,5-4",36,32,5,9,3,0,3,5,3,0,3,1,0,0,0,1,0,0,0.249,0.319,0.379,0.698,7,13,R,B.Kingman(41),SEA,1980
14,15,Apr 23,True,OAK,"L,2-5",37,29,2,4,0,0,0,2,6,0,8,0,2,0,0,0,0,0,0.243,0.317,0.364,0.681,8,12,R,M.Norris(65),SEA,1980
15,16,Apr 25,True,CAL,"L,3-4",42,37,3,10,2,0,0,3,4,0,0,0,0,1,1,0,1,0,0.245,0.318,0.361,0.68,12,11,R,D.Aase(49),SEA,1980
16,17,Apr 26,True,CAL,"L,6-7",40,30,6,10,3,0,1,5,5,0,4,0,4,1,0,1,0,1,0.25,0.324,0.371,0.695,7,12,R,C.Knapp(29),SEA,1980
17,18,Apr 27,True,CAL,"W,7-3",35,31,7,10,2,0,1,5,3,0,1,0,0,1,0,0,0,1,0.253,0.327,0.377,0.703,4,9,R,D.Frost(22),SEA,1980
18,19,Apr 28,False,MIN,"W,6-4",42,36,6,7,1,1,0,3,5,1,7,0,1,0,4,0,0,1,0.25,0.325,0.371,0.696,9,9,R,T.Felton(41),SEA,1980
19,20,Apr 29,False,MIN,"W,5-3",36,33,5,8,3,0,1,5,2,0,3,0,0,1,0,1,0,0,0.25,0.322,0.374,0.696,4,11,L,J.Koosman(61),SEA,1980
20,21,Apr 30,False,MIN,"L,3-10",36,33,3,9,1,1,0,3,1,1,5,0,1,1,1,1,0,1,0.251,0.321,0.373,0.694,6,11,R,P.Redfern(63),SEA,1980
