,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 9,True,TOR,"W,8-6",9.0,9,6,6,0,5,4,2,0,6.0,41,,,2.0,0.0,2,0,36,1,1,0,0,0,1,1,3,Larry Barnett,"M.Parrott (99-51-W), B.McLaughlin (99-H), D.Heaverlo (99-Sv)",SEA,1980
1,2,Apr 11,True,TOR,"L,7-10",11.0,15,10,10,0,4,2,1,0,7.2,52,,,3.0,1.0,1,0,45,4,0,1,1,2,1,0,5,Jim Evans,"J.Beattie (99-58), S.Rawley (99-H), D.Heaverlo (1-BSv), B.McLaughlin (1), R.Dressler (99-L)",SEA,1980
2,3,Apr 12,True,TOR,"W,3-2",10.0,4,2,2,0,4,3,1,0,5.4,37,,,,,0,1,33,0,0,0,0,0,0,0,1,Jim McKean,R.Honeycutt (99-75-W),SEA,1980
3,4,Apr 13,True,TOR,"W,5-1",9.0,8,1,1,0,3,6,1,1,4.38,40,,,,,0,0,36,1,0,0,0,0,1,0,1,Ted Hendry,F.Bannister (99-70-W),SEA,1980
4,5,Apr 14,False,OAK,"W,7-1",9.0,4,1,1,0,1,4,0,0,3.75,31,,,,,1,0,30,0,0,0,0,0,0,1,1,Don Denkinger,G.Abbott (99-78-W),SEA,1980
5,6,Apr 15,False,OAK,"L,3-12",8.0,12,12,12,0,8,4,3,0,5.14,42,,,1.0,1.0,0,2,32,4,0,2,1,1,0,0,4,Larry McCoy,"M.Parrott (5-18-L), D.Heaverlo (3), R.Dressler (3), B.McLaughlin (3)",SEA,1980
6,7,Apr 16,False,OAK,"L,1-6",8.0,10,6,6,0,4,5,0,1,5.34,37,,,2.0,1.0,0,0,32,2,1,1,0,0,0,2,3,Dale Ford,"J.Beattie (4-23-L), D.Heaverlo (0), B.McLaughlin (0)",SEA,1980
7,8,Apr 17,True,MIN,"W,4-3",9.0,7,3,3,0,1,1,1,0,5.05,34,,,,,0,0,33,2,0,0,0,0,1,1,1,Greg Kosc,R.Honeycutt (4-61-W),SEA,1980
8,9,Apr 18(1),True,MIN,"W,3-1",9.0,6,1,1,0,1,8,1,0,4.61,33,,,,,0,0,32,0,0,0,0,0,0,1,1,Don Denkinger,F.Bannister (4-78-W),SEA,1980
9,10,Apr 18(2),True,MIN,"W,3-2",9.0,9,2,2,0,2,4,0,0,4.35,35,,,2.0,0.0,0,0,33,1,0,1,0,0,0,2,3,Larry McCoy,"G.Wheelock (99-43), B.McLaughlin (1-W), S.Rawley (6-Sv)",SEA,1980
10,11,Apr 19,True,MIN,"L,3-8",9.0,11,8,8,0,2,6,2,2,4.68,39,,,0.0,0.0,0,0,34,0,2,0,0,1,0,4,3,Dale Ford,"G.Abbott (4-26-L), R.Dressler (3), D.Heaverlo (2)",SEA,1980
11,12,Apr 20,True,MIN,"L,3-4",9.0,8,4,2,2,3,5,2,0,4.46,36,,,,,2,2,33,1,0,0,0,0,0,1,1,Greg Kosc,M.Parrott (4-61-L),SEA,1980
