,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,False,SDP,"L,4-6",36,34,4,8,2,0,1,4,2,0,2,0,0,0,2,0,0,2,0.235,0.278,0.382,0.66,5,13,L,R.Jones(46),SFG,1980
1,2,Apr 11,False,SDP,"L,3-5",35,34,3,9,2,0,0,3,1,0,4,0,0,0,0,1,1,0,0.25,0.282,0.353,0.635,5,15,R,R.Wise(45),SFG,1980
2,3,Apr 12,False,SDP,"L,2-4",36,32,2,6,1,0,0,2,3,1,2,1,0,0,0,2,0,0,0.23,0.28,0.31,0.59,7,13,L,J.Curtis(63),SFG,1980
3,4,Apr 13,False,SDP,"W,3-1",38,34,3,9,3,0,0,3,2,1,8,0,1,1,1,0,0,0,0.239,0.285,0.321,0.606,8,11,R,E.Rasmussen(61),SFG,1980
4,5,Apr 14,False,CIN,"L,5-6",37,32,5,6,1,0,2,5,5,1,4,0,0,0,0,0,0,0,0.229,0.287,0.337,0.625,5,11,R,P.Moskau(52),SFG,1980
5,6,Apr 15,False,CIN,"L,3-8",37,31,3,8,3,0,0,3,5,0,4,0,0,1,0,1,1,0,0.234,0.298,0.34,0.638,7,12,R,T.Seaver(45),SFG,1980
6,7,Apr 16,False,CIN,"L,3-5",36,33,3,5,3,0,0,3,3,0,2,0,0,0,1,0,2,0,0.222,0.287,0.326,0.613,6,12,R,M.LaCoss(64),SFG,1980
7,8,Apr 17,True,SDP,"W,7-3",41,34,7,13,2,0,0,7,5,0,4,0,2,0,1,0,3,0,0.242,0.311,0.341,0.651,10,10,R,E.Rasmussen(29),SFG,1980
8,9,Apr 18,True,SDP,"W,5-2",34,28,5,7,2,1,0,5,4,1,7,0,1,1,1,0,1,1,0.243,0.313,0.346,0.659,5,10,L,R.Jones(48),SFG,1980
9,10,Apr 19,True,SDP,"L,0-3",35,31,0,7,0,0,0,0,2,0,5,0,1,0,1,3,0,0,0.241,0.309,0.334,0.644,8,16,L,G.Lucas(71),SFG,1980
10,11,Apr 20,True,SDP,"W,5-1",35,30,5,9,1,2,1,5,3,1,2,0,1,1,0,1,1,0,0.246,0.313,0.354,0.667,6,9,R,R.Wise(40),SFG,1980
11,12,Apr 21,False,LAD,"L,3-4",34,30,3,7,0,0,0,2,2,0,6,0,2,0,0,0,0,1,0.245,0.311,0.345,0.655,4,13,R,B.Hooton(58),SFG,1980
12,13,Apr 22,False,LAD,"L,0-6",31,30,0,4,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0.237,0.3,0.329,0.63,4,14,R,D.Sutton(86),SFG,1980
13,14,Apr 23,False,LAD,"L,0-4",35,31,0,6,1,0,0,0,4,0,4,0,0,0,0,2,1,0,0.234,0.299,0.322,0.621,8,14,R,D.Goltz(75),SFG,1980
14,15,Apr 24,False,LAD,"L,2-5",39,35,2,6,0,0,1,2,3,0,7,0,0,1,0,0,0,0,0.23,0.294,0.317,0.612,7,18,R,B.Welch(63),SFG,1980
15,16,Apr 25,True,CIN,"W,4-3",38,30,4,6,0,0,0,3,7,1,6,0,1,0,1,1,3,0,0.228,0.298,0.31,0.608,9,12,R,T.Seaver(58),SFG,1980
16,17,Apr 26,True,CIN,"W,3-1",34,30,3,8,1,1,0,3,2,0,0,0,1,1,1,0,2,0,0.23,0.298,0.314,0.612,7,11,R,M.LaCoss(50),SFG,1980
17,18,Apr 27,True,CIN,"L,1-3",30,30,1,4,1,0,1,1,0,0,4,0,0,0,0,1,0,0,0.225,0.29,0.311,0.602,2,14,R,F.Pastore(79),SFG,1980
18,19,Apr 29,True,LAD,"L,0-5",34,33,0,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0.223,0.286,0.304,0.59,7,14,R,D.Goltz(79),SFG,1980
19,20,Apr 30,True,LAD,"L,3-4",36,33,3,8,1,0,1,3,2,0,1,0,0,1,0,0,0,0,0.224,0.286,0.307,0.593,6,15,R,B.Welch(53),SFG,1980
20,21,May 2,False,MON,"L,3-4",37,34,3,8,3,0,0,2,2,0,2,0,1,0,0,0,0,0,0.224,0.285,0.308,0.593,7,17,L,R.Grimsley(63),SFG,1980
21,22,May 3,False,MON,"W,3-2",37,31,3,8,3,0,1,3,5,2,6,0,1,0,1,1,0,2,0.226,0.289,0.314,0.603,7,15,R,S.Sanderson(58),SFG,1980
22,23,May 4 (1),False,MON,"W,8-4",44,36,8,9,4,0,0,8,5,1,9,1,2,0,1,0,0,0,0.227,0.292,0.317,0.609,9,12,R,S.Rogers(55),SFG,1980
23,24,May 4 (2),False,MON,"L,4-6",34,34,4,10,0,1,1,4,0,0,2,0,0,0,0,1,1,1,0.23,0.292,0.322,0.615,3,13,L,B.Lee(40),SFG,1980
24,25,May 5,False,STL,"L,5-9",41,35,5,8,0,0,1,4,5,1,5,0,0,1,1,0,0,0,0.23,0.294,0.322,0.615,9,16,R,P.Vuckovich(51),SFG,1980
25,26,May 6,False,STL,"L,7-10",40,38,7,11,3,1,1,7,1,0,1,0,0,1,1,0,0,0,0.233,0.294,0.33,0.624,6,17,L,D.Hood(46),SFG,1980
26,27,May 7,False,STL,"L,2-12",33,31,2,5,0,0,1,2,2,0,7,0,0,0,0,1,0,0,0.23,0.291,0.327,0.618,4,13,R,B.Forsch(77),SFG,1980
27,28,May 9,False,CHC,"W,6-3",43,34,6,8,1,0,1,6,8,0,5,0,1,0,1,1,1,0,0.23,0.295,0.328,0.623,10,9,R,D.Lamp(37),SFG,1980
28,29,May 10,False,CHC,"L,9-15",42,39,9,14,3,1,4,9,2,0,7,0,0,1,0,0,0,1,0.235,0.298,0.347,0.646,6,15,R,L.McGlothen(20),SFG,1980
29,30,May 11,False,CHC,"W,3-0",39,36,3,9,1,0,0,3,3,0,7,0,0,0,0,0,0,0,0.236,0.299,0.345,0.643,9,9,R,M.Krukow(54),SFG,1980
30,31,May 13,True,PIT,"W,5-0",31,31,5,6,3,0,1,5,0,0,6,0,0,0,1,0,0,0,0.235,0.296,0.346,0.642,2,9,R,B.Blyleven(60),SFG,1980
31,32,May 14,True,PIT,"L,2-3",35,32,2,5,1,0,0,2,3,0,3,0,0,0,0,0,0,0,0.232,0.294,0.341,0.635,6,14,R,J.Bibby(60),SFG,1980
32,33,May 15,True,PIT,"L,2-3",44,40,2,7,1,0,1,2,3,2,6,0,1,0,0,0,3,1,0.23,0.291,0.339,0.63,6,15,R,D.Robinson(64),SFG,1980
33,34,May 16,True,STL,"W,4-3",36,32,4,8,1,1,0,4,1,0,5,1,0,1,0,0,0,0,0.231,0.291,0.339,0.63,7,17,R,B.Forsch(57),SFG,1980
34,35,May 17,True,STL,"W,4-2",35,32,4,8,1,0,1,4,2,1,8,1,0,0,0,0,0,0,0.231,0.292,0.34,0.632,7,11,R,J.Fulgham(61),SFG,1980
35,36,May 18,True,STL,"W,6-5",37,26,6,6,0,0,0,6,7,0,3,0,1,3,1,0,4,1,0.231,0.294,0.338,0.631,7,13,L,D.Hood(41),SFG,1980
36,37,May 20,True,CHC,"W,2-0",29,27,2,6,0,1,0,2,0,0,2,1,1,0,0,1,0,0,0.231,0.293,0.337,0.63,3,9,R,M.Krukow(54),SFG,1980
37,38,May 21,True,CHC,"W,4-1",36,33,4,11,4,1,0,3,2,2,4,0,1,0,0,1,1,0,0.234,0.295,0.341,0.636,8,9,R,R.Reuschel(40),SFG,1980
38,39,May 23,False,PIT,"L,4-5",52,47,4,12,1,0,0,4,2,0,11,0,3,0,0,0,1,1,0.235,0.295,0.339,0.634,9,17,R,J.Bibby(49),SFG,1980
39,40,May 24,False,PIT,"W,10-9",70,63,10,21,3,0,3,9,7,1,11,0,0,0,1,0,0,2,0.239,0.3,0.348,0.647,15,22,R,E.Solomon(46),SFG,1980
40,41,May 25,False,PIT,"W,5-2",36,34,5,11,1,0,1,5,2,0,2,0,0,0,0,3,0,1,0.241,0.301,0.35,0.651,4,10,L,J.Candelaria(31),SFG,1980
41,42,May 26,False,ATL,"L,1-2",36,33,1,7,0,1,0,1,2,0,5,0,1,0,0,0,1,0,0.241,0.3,0.348,0.648,8,13,R,T.Boggs(68),SFG,1980
42,43,May 27,False,ATL,"L,3-6",39,36,3,12,5,0,1,3,1,0,7,0,1,1,0,0,0,0,0.243,0.301,0.353,0.654,9,18,L,L.McWilliams(50),SFG,1980
43,44,May 28,False,ATL,"L,2-3",48,38,2,5,0,0,1,2,7,2,6,0,3,0,0,0,1,0,0.24,0.3,0.35,0.65,10,16,R,D.Alexander(64),SFG,1980
44,45,May 30,True,HOU,"W,3-2",35,32,3,10,1,0,0,3,2,0,3,0,1,0,0,0,0,0,0.242,0.301,0.35,0.651,8,9,R,K.Forsch(46),SFG,1980
45,46,May 31,True,HOU,"L,0-5",29,27,0,3,0,0,0,0,2,0,6,0,0,0,1,2,0,1,0.239,0.299,0.345,0.644,2,13,R,J.Richard(85),SFG,1980
46,47,Jun 1,True,HOU,"W,6-2",37,31,6,10,3,0,0,6,3,0,4,1,1,1,1,0,2,0,0.241,0.301,0.347,0.648,7,11,R,J.Niekro(37),SFG,1980
