,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,False,SDP,"L,4-6",8.0,9,6,5,1,2,3,0,0,5.62,35,,,1.0,0.0,1,1,30,1,1,0,2,1,2,0,3,Doug Harvey,"B.Knepper (99-27-L), G.Minton (99), T.Griffin (99)",SFG,1980
1,2,Apr 11,False,SDP,"L,3-5",8.0,7,5,3,2,8,3,0,0,4.5,38,,,5.0,1.0,2,0,30,0,1,0,0,0,2,1,4,Andy Olsen,"E.Whitson (99-47), A.Holland (99), G.Lavelle (99-BL), R.Moffitt (99)",SFG,1980
2,3,Apr 12,False,SDP,"L,2-4",8.0,4,4,4,0,2,4,1,0,4.5,32,,,0.0,0.0,1,0,30,0,0,0,0,0,2,0,2,Nick Colosi,"J.Montefusco (99-54-L), A.Holland (0)",SFG,1980
3,4,Apr 13,False,SDP,"W,3-1",9.0,5,1,1,0,3,3,0,0,3.55,36,,,0.0,0.0,0,0,31,0,0,0,1,1,0,0,2,Jerry Crawford,"V.Blue (99-64-W), G.Lavelle (1-Sv)",SFG,1980
4,5,Apr 14,False,CIN,"L,5-6",8.2,8,6,6,0,3,7,0,0,4.1,37,,,2.0,2.0,0,0,34,1,2,0,0,0,0,0,2,Dutch Rennert,"B.Knepper (3-61), G.Lavelle (0-BL)",SFG,1980
5,6,Apr 15,False,CIN,"L,3-8",8.0,11,8,8,0,2,3,0,1,4.89,37,,,0.0,0.0,0,0,32,2,2,0,1,1,0,0,2,John Kibler,"E.Whitson (3-36-L), T.Griffin (4)",SFG,1980
6,7,Apr 16,False,CIN,"L,3-5",8.0,8,5,5,0,5,9,2,0,4.99,35,,,0.0,0.0,1,0,30,1,0,0,0,0,0,1,2,Bruce Froemming,"J.Montefusco (3-44-L), A.Holland (3)",SFG,1980
7,8,Apr 17,True,SDP,"W,7-3",9.0,8,3,3,0,3,9,1,0,4.72,36,,,,,1,0,33,2,0,0,0,0,0,1,1,Nick Colosi,V.Blue (3-65-W),SFG,1980
8,9,Apr 18,True,SDP,"W,5-2",9.0,9,2,2,0,2,4,1,0,4.4,37,,,,,0,0,34,1,0,0,1,0,1,2,1,Steve Fields,B.Knepper (3-63-W),SFG,1980
9,10,Apr 19,True,SDP,"L,0-3",9.0,12,3,1,2,2,6,0,0,4.04,42,,,2.0,0.0,2,0,38,1,0,0,1,1,1,0,4,Ed Montague,"E.Whitson (3-39-L), G.Minton (8), A.Holland (2), R.Moffitt (7)",SFG,1980
10,11,Apr 20,True,SDP,"W,5-1",9.0,8,1,1,0,3,6,0,0,3.75,37,,,,,0,0,34,2,0,0,0,0,0,1,1,Doug Harvey,J.Montefusco (3-70-W),SFG,1980
11,12,Apr 21,False,LAD,"L,3-4",8.0,7,4,4,0,3,2,2,0,3.81,34,,,0.0,0.0,1,0,30,1,0,0,1,0,0,0,2,Eric Gregg,"V.Blue (3-41-L), G.Minton (1)",SFG,1980
12,13,Apr 22,False,LAD,"L,0-6",8.0,12,6,5,1,4,8,1,0,3.94,42,,,0.0,0.0,3,0,37,1,0,0,0,1,2,0,3,Ed Vargo,"B.Knepper (3-38-L), T.Griffin (6), E.Halicki (99)",SFG,1980
13,14,Apr 23,False,LAD,"L,0-4",8.0,10,4,2,2,3,5,0,1,3.82,38,,,2.0,0.0,4,0,32,0,0,1,0,2,1,0,3,Satch Davidson,"E.Whitson (3-38-L), E.Halicki (0), G.Lavelle (8)",SFG,1980
14,15,Apr 24,False,LAD,"L,2-5",9.1,11,5,5,0,4,1,2,0,3.9,41,,,2.0,1.0,1,1,37,2,0,1,0,0,0,0,5,Dave Pallone,"J.Montefusco (3-50), A.Holland (4), G.Minton (2), G.Lavelle (0-L), R.Moffitt (4)",SFG,1980
15,16,Apr 25,True,CIN,"W,4-3",9.0,11,3,3,0,2,4,0,0,3.84,38,,,0.0,0.0,1,0,33,3,0,1,3,0,0,1,2,Steve Fields,"V.Blue (3-46), G.Minton (0-W)",SFG,1980
16,17,Apr 26,True,CIN,"W,3-1",9.0,6,1,1,0,1,3,0,1,3.66,35,,,,,2,0,32,1,0,0,1,0,0,0,1,Joe West,B.Knepper (3-73-W),SFG,1980
17,18,Apr 27,True,CIN,"L,1-3",9.0,7,3,3,0,1,4,1,0,3.62,36,,,0.0,0.0,1,0,35,0,1,0,0,0,1,0,2,Bill Williams,"E.Whitson (3-61-L), G.Minton (1)",SFG,1980
18,19,Apr 29,True,LAD,"L,0-5",9.0,10,5,5,0,1,5,2,0,3.7,34,,,0.0,0.0,0,1,32,0,0,0,0,1,0,1,3,Paul Runge,"J.Montefusco (4-50-L), E.Halicki (5), R.Moffitt (4)",SFG,1980
19,20,Apr 30,True,LAD,"L,3-4",9.0,9,4,3,1,2,3,0,0,3.66,39,,,2.0,2.0,1,0,36,0,1,0,1,0,2,0,3,Jim Quick,"V.Blue (4-56), G.Minton (2-L), G.Lavelle (5-BSv)",SFG,1980
20,21,May 2,False,MON,"L,3-4",8.1,13,4,4,0,3,5,2,0,3.69,40,,,0.0,0.0,3,0,37,2,1,3,0,0,0,1,3,Doug Harvey,"B.Knepper (5-49), G.Minton (1), G.Lavelle (1-L)",SFG,1980
