,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,PIT,"W,1-0",27,24,1,3,1,0,0,1,3,0,3,0,0,0,0,1,0,0,0.125,0.222,0.167,0.389,2,9,R,B.Blyleven(58),STL,1980
1,2,Apr 11,True,PIT,"L,3-4",40,37,3,11,0,1,0,2,3,1,1,0,0,0,1,2,0,0,0.23,0.299,0.279,0.577,10,12,L,J.Candelaria(41),STL,1980
2,3,Apr 12,True,PIT,"L,2-7",34,32,2,6,3,0,0,2,2,0,5,0,0,0,0,1,0,0,0.215,0.277,0.28,0.557,5,15,R,J.Bibby(70),STL,1980
3,4,Apr 13,True,PIT,"L,0-3",36,31,0,6,2,0,0,0,5,0,7,0,0,0,0,2,0,0,0.21,0.285,0.274,0.559,9,13,L,J.Rooker(65),STL,1980
4,5,Apr 15,True,PHI,"W,7-2",37,32,7,12,3,2,0,7,3,2,6,0,1,1,0,0,0,1,0.244,0.312,0.34,0.652,6,9,L,R.Lerch(38),STL,1980
5,6,Apr 16,True,PHI,"L,3-8",35,33,3,8,2,1,0,3,2,0,5,0,0,0,0,2,0,0,0.243,0.308,0.344,0.652,5,13,L,S.Carlton(58),STL,1980
6,7,Apr 17,False,PIT,"W,12-9",47,42,12,17,2,0,1,11,4,1,5,1,0,0,0,1,2,1,0.273,0.337,0.377,0.714,8,11,L,J.Candelaria(8),STL,1980
7,8,Apr 18,False,PIT,"L,10-12",42,37,10,14,1,1,4,9,2,1,2,0,2,1,0,0,0,0,0.287,0.346,0.433,0.779,5,15,R,J.Bibby(22),STL,1980
8,9,Apr 19,False,PIT,"W,2-1",41,34,2,7,0,0,1,2,5,1,14,0,2,0,2,0,0,0,0.278,0.341,0.417,0.759,12,12,R,B.Blyleven(75),STL,1980
9,10,Apr 20,False,PIT,"L,3-6",39,34,3,10,1,1,0,3,4,0,4,1,0,0,1,3,0,1,0.28,0.346,0.414,0.76,9,17,L,J.Rooker(54),STL,1980
10,11,Apr 22,False,CHC,"L,12-16",47,41,12,16,4,0,3,10,6,0,4,0,0,0,1,1,1,1,0.292,0.36,0.446,0.805,8,16,R,D.Lamp(21),STL,1980
11,12,Apr 23,False,CHC,"W,3-1",36,33,3,6,0,0,0,2,1,1,4,0,1,1,2,0,1,0,0.283,0.347,0.424,0.772,6,9,R,M.Krukow(61),STL,1980
12,13,Apr 25,False,PHI,"W,3-1",35,33,3,7,0,0,2,3,1,0,4,0,0,1,2,1,0,1,0.278,0.339,0.422,0.761,5,11,L,R.Lerch(64),STL,1980
13,14,Apr 26,False,PHI,"L,0-7",29,28,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0.263,0.324,0.399,0.723,2,11,L,S.Carlton(89),STL,1980
14,15,Apr 27,False,PHI,"W,10-1",48,42,10,19,2,1,1,10,5,1,8,1,0,0,1,2,3,2,0.279,0.34,0.417,0.758,11,12,R,D.Ruthven(26),STL,1980
15,16,Apr 28,True,CHC,"L,2-4",34,32,2,7,2,1,0,2,2,0,6,0,0,0,0,1,1,0,0.275,0.336,0.413,0.749,5,13,R,M.Krukow(66),STL,1980
16,17,Apr 29,True,CHC,"L,4-6",42,37,4,12,4,0,0,3,4,1,5,1,0,0,1,3,1,0,0.278,0.341,0.414,0.755,11,16,R,R.Reuschel(37),STL,1980
17,18,Apr 30,True,CHC,"W,8-2",37,31,8,11,2,2,1,8,4,1,3,0,1,1,0,0,2,1,0.282,0.345,0.426,0.77,5,11,R,D.Lamp(24),STL,1980
18,19,May 2,True,HOU,"W,9-1",36,30,9,9,2,0,1,9,5,0,9,0,0,1,0,1,2,1,0.283,0.347,0.428,0.775,3,11,R,N.Ryan(43),STL,1980
19,20,May 3,True,HOU,"L,2-4",30,29,2,4,1,0,1,2,1,0,4,0,0,0,0,2,0,0,0.277,0.34,0.421,0.761,1,13,R,V.Ruhle(71),STL,1980
20,21,May 4,True,HOU,"L,2-4",37,34,2,10,0,1,0,2,1,0,5,0,0,1,1,2,0,0,0.278,0.338,0.418,0.756,8,16,R,K.Forsch(48),STL,1980
21,22,May 5,True,SFG,"W,9-5",41,36,9,13,3,1,0,9,5,1,9,0,0,0,0,0,1,0,0.282,0.343,0.422,0.765,8,10,L,V.Blue(14),STL,1980
