,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,PIT,"W,1-0",9.0,3,0,0,0,2,9,0,1,0.0,31,,,,,1,0,28,0,0,0,0,0,0,2,1,Ed Vargo,P.Vuckovich (99-88-W),STL,1980
1,2,Apr 11,True,PIT,"L,3-4",9.0,8,4,2,2,3,0,0,0,1.0,36,,,2.0,2.0,0,0,32,2,0,1,1,0,1,2,3,Dick Stello,"B.Forsch (99-59), D.Hood (99-L), M.Littell (99-BSv)",STL,1980
2,3,Apr 12,True,PIT,"L,2-7",9.0,14,7,7,0,5,6,0,0,3.0,45,,,0.0,0.0,2,0,39,4,0,2,1,0,1,1,5,Satch Davidson,"J.Fulgham (99-25-L), B.Sykes (99), D.Moore (99), D.Knowles (99), R.Thomas (99)",STL,1980
3,4,Apr 13,True,PIT,"L,0-3",9.0,5,3,2,1,4,1,1,0,2.75,35,,,0.0,0.0,1,0,31,1,0,0,0,0,1,1,2,Eric Gregg,"S.Martínez (99-56-L), D.Hood (1)",STL,1980
4,5,Apr 15,True,PHI,"W,7-2",9.0,5,2,2,0,1,3,0,0,2.6,33,,,,,0,1,32,2,0,0,0,0,1,0,1,Joe West,P.Vuckovich (4-71-W),STL,1980
5,6,Apr 16,True,PHI,"L,3-8",9.0,11,8,5,3,2,1,0,0,3.0,40,,,1.0,1.0,0,0,38,5,0,0,0,0,1,1,3,Dave Pallone,"B.Forsch (4-62-L), R.Thomas (3), D.Hood (2)",STL,1980
6,7,Apr 17,False,PIT,"W,12-9",9.0,16,9,9,0,3,3,1,0,3.86,45,,,1.0,0.0,3,0,42,5,0,0,0,0,0,1,2,Bill Williams,"B.Sykes (4-24-W), M.Littell (5)",STL,1980
7,8,Apr 18,False,PIT,"L,10-12",8.0,16,12,8,4,2,2,1,0,4.44,43,,,2.0,1.0,2,0,40,4,0,1,0,1,1,0,4,Paul Pryor,"S.Martínez (4-25), D.Moore (5), D.Knowles (5-BL), R.Thomas (1)",STL,1980
8,9,Apr 19,False,PIT,"W,2-1",9.0,4,1,1,0,2,4,0,0,4.05,33,,,,,1,0,30,2,0,0,0,1,0,0,1,John McSherry,J.Fulgham (6-77-W),STL,1980
9,10,Apr 20,False,PIT,"L,3-6",8.0,10,6,6,0,6,4,1,0,4.3,38,,,2.0,0.0,0,2,32,1,0,1,0,0,0,0,5,Joe West,"P.Vuckovich (4-29-L), D.Hood (3), R.Thomas (1), B.Sykes (2), M.Littell (2)",STL,1980
10,11,Apr 22,False,CHC,"L,12-16",8.2,23,16,16,0,4,6,3,0,5.4,51,157.0,94.0,7.0,2.0,1,0,46,5,1,1,0,1,0,2,6,Lanny Harris,"B.Forsch (5-0), B.Sykes (1), J.Fulgham (2-H), D.Hood (1-H), R.Thomas (1-BSv), M.Littell (1-L)",STL,1980
11,12,Apr 23,False,CHC,"W,3-1",9.0,3,1,1,0,2,8,0,0,5.03,32,,,,,1,0,30,0,0,0,0,0,0,0,1,Harry Wendelstedt,S.Martínez (4-83-W),STL,1980
12,13,Apr 25,False,PHI,"W,3-1",9.0,9,1,1,0,3,6,0,0,4.71,40,,,5.0,0.0,1,0,36,2,0,0,1,0,1,0,3,Jerry Crawford,"P.Vuckovich (4-64-W), B.Sykes (2-H), M.Littell (2-Sv)",STL,1980
13,14,Apr 26,False,PHI,"L,0-7",8.0,8,7,6,1,2,2,1,0,4.84,34,,,1.0,1.0,0,0,32,1,1,0,0,0,0,0,2,Doug Harvey,"J.Fulgham (3-41-L), D.Moore (7)",STL,1980
14,15,Apr 27,False,PHI,"W,10-1",9.0,6,1,0,1,0,5,0,0,4.51,35,,,,,1,0,34,0,0,0,0,0,2,1,1,Andy Olsen,B.Forsch (4-78-W),STL,1980
15,16,Apr 28,True,CHC,"L,2-4",9.0,9,4,4,0,3,4,0,0,4.48,36,,,2.0,2.0,0,2,32,1,1,1,0,1,0,0,4,John Kibler,"S.Martínez (4-61), M.Littell (2), B.Sykes (2-L), D.Moore (1)",STL,1980
16,17,Apr 29,True,CHC,"L,4-6",9.0,9,6,6,0,5,8,0,0,4.57,40,,,1.0,1.0,2,2,35,2,0,0,0,0,1,0,5,Dick Stello,"R.Thomas (6-46), D.Moore (0), D.Hood (6-BSv), B.Sykes (0-BL), M.Littell (0)",STL,1980
