,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Mar 31,True,DET,"L,6-11",42,38,6,12,2,0,1,5,3,0,3,1,0,0,1,2,0,0,0.316,0.381,0.447,0.828,9,12,L,J.Thompson(50),TBD,1998
1,2,Apr 1,True,DET,"W,11-8",45,42,11,18,3,1,1,10,3,0,4,0,0,0,0,0,2,0,0.375,0.425,0.538,0.963,10,9,R,B.Moehler(17),TBD,1998
2,3,Apr 2,True,DET,"W,7-1",38,35,7,12,2,1,0,7,3,0,7,0,0,0,0,1,0,0,0.365,0.416,0.513,0.929,7,9,R,T.Worrell(61),TBD,1998
3,4,Apr 3,True,CHW,"L,4-10",42,38,4,11,4,0,1,3,4,0,6,0,0,0,1,0,0,0,0.346,0.401,0.503,0.904,11,12,R,J.Baldwin(57),TBD,1998
4,5,Apr 4,True,CHW,"W,8-2",40,34,8,15,0,0,3,8,6,0,4,0,0,0,0,1,2,3,0.364,0.425,0.54,0.965,8,9,L,S.Eyre(27),TBD,1998
5,6,Apr 5,True,CHW,"W,5-0",33,29,5,8,2,0,0,4,3,0,4,0,0,1,0,1,1,0,0.352,0.413,0.514,0.926,4,9,R,J.Bere(33),TBD,1998
6,7,Apr 7,False,DET,"L,1-3",41,36,1,10,1,2,0,1,5,0,10,0,0,0,1,0,1,1,0.341,0.406,0.5,0.906,13,10,R,B.Moehler(48),TBD,1998
7,8,Apr 10,False,CHW,"L,0-3",32,30,0,5,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0.323,0.387,0.465,0.851,5,12,L,M.Sirotka(80),TBD,1998
8,9,Apr 11,False,CHW,"W,5-1",43,37,5,12,2,1,1,4,6,0,3,0,0,0,1,1,1,2,0.323,0.39,0.47,0.861,11,9,R,J.Bere(33),TBD,1998
9,10,Apr 12,False,CHW,"W,4-1",36,33,4,12,1,0,1,4,2,0,6,0,1,0,0,1,0,2,0.327,0.391,0.472,0.863,5,9,R,J.Navarro(39),TBD,1998
10,11,Apr 13,True,MIN,"W,13-12",60,53,13,19,4,0,4,13,4,0,8,1,1,1,0,1,0,0,0.331,0.393,0.496,0.89,8,13,R,L.Hawkins(34),TBD,1998
11,12,Apr 14,True,MIN,"L,2-8",36,36,2,9,3,0,0,2,0,0,11,0,0,0,1,1,0,0,0.324,0.383,0.483,0.866,7,9,R,B.Radke(72),TBD,1998
12,13,Apr 16,False,ANA,"W,6-5",41,36,6,11,4,0,1,5,3,0,9,0,1,1,1,0,2,1,0.323,0.38,0.484,0.865,8,10,R,J.McDowell(49),TBD,1998
13,14,Apr 17,False,ANA,"L,0-5",32,31,0,6,1,0,0,0,0,0,8,1,0,0,0,1,0,1,0.315,0.371,0.469,0.839,5,9,L,C.Finley(83),TBD,1998
14,15,Apr 18,False,ANA,"W,8-1",40,38,8,14,1,0,1,7,1,0,3,0,0,1,0,0,0,1,0.319,0.371,0.469,0.84,5,9,R,J.Dickson(23),TBD,1998
15,16,Apr 19,False,ANA,"W,6-0",41,36,6,9,5,0,1,5,5,0,8,0,0,0,0,0,1,0,0.314,0.369,0.469,0.838,8,10,L,A.Watson(25),TBD,1998
16,17,Apr 21,False,TEX,"L,0-4",31,29,0,4,1,0,0,0,1,0,10,1,0,0,0,0,0,0,0.306,0.361,0.455,0.816,4,11,R,A.Sele(88),TBD,1998
17,18,Apr 22,False,TEX,"L,2-7",34,32,2,10,1,1,0,2,2,0,6,0,0,0,0,2,0,1,0.306,0.361,0.453,0.813,5,10,R,R.Helling(59),TBD,1998
18,19,Apr 23,False,TEX,"W,12-5",49,42,12,16,5,1,3,12,6,0,4,0,1,0,1,1,0,1,0.311,0.367,0.472,0.839,10,9,L,D.Oliver(26),TBD,1998
19,20,Apr 24,True,ANA,"L,3-10",34,32,3,8,2,0,1,3,1,0,5,1,0,0,0,2,0,0,0.308,0.364,0.469,0.832,4,9,L,A.Watson(63),TBD,1998
20,21,Apr 25,True,ANA,"L,1-7",33,31,1,7,1,0,0,1,1,0,5,0,1,0,0,1,0,1,0.305,0.359,0.46,0.819,5,9,R,K.Hill(67),TBD,1998
21,22,Apr 26,True,ANA,"L,1-2",37,29,1,7,1,0,0,1,6,0,6,1,1,0,0,2,0,1,0.302,0.361,0.453,0.814,9,11,R,J.McDowell(46),TBD,1998
22,23,Apr 27,True,OAK,"L,6-7",39,33,6,6,1,0,3,6,5,1,6,0,1,0,0,0,0,0,0.298,0.358,0.454,0.812,6,9,R,M.Oquist(38),TBD,1998
23,24,Apr 28,True,OAK,"L,3-4",36,31,3,6,2,0,1,2,4,0,4,0,1,0,1,1,0,1,0.294,0.355,0.451,0.806,6,11,R,D.Telgheder(43),TBD,1998
24,25,Apr 29,False,MIN,"L,0-2",32,32,0,5,1,0,0,0,0,0,10,0,0,0,1,1,2,0,0.289,0.348,0.441,0.789,5,11,R,B.Tewksbury(81),TBD,1998
25,26,Apr 30,False,MIN,"W,2-0",40,30,2,8,2,0,0,0,7,0,7,1,2,0,0,2,2,0,0.288,0.351,0.437,0.788,11,9,R,L.Hawkins(45),TBD,1998
26,27,May 1,False,CLE,"L,5-7",41,36,5,10,2,1,1,4,5,1,8,0,0,0,0,1,1,0,0.288,0.352,0.439,0.79,9,9,R,B.Colón(49),TBD,1998
27,28,May 2,False,CLE,"L,1-5",32,29,1,4,0,0,1,1,3,0,5,0,0,0,0,2,0,0,0.283,0.348,0.433,0.781,4,9,R,C.Ogea(71),TBD,1998
28,29,May 3,False,CLE,"L,8-10",44,38,8,14,3,0,2,8,4,2,4,0,1,1,0,1,1,0,0.286,0.35,0.439,0.79,9,11,R,C.Nagy(25),TBD,1998
29,30,May 5,False,KCR,"L,2-4",37,34,2,8,0,1,1,2,3,0,6,0,0,0,0,1,1,0,0.285,0.349,0.438,0.786,8,11,R,H.Pichardo(55),TBD,1998
30,31,May 6,False,KCR,"W,5-0",41,38,5,12,2,0,0,5,3,0,7,0,0,0,0,0,0,0,0.286,0.349,0.435,0.784,9,10,L,G.Rusch(27),TBD,1998
31,32,May 8,True,BAL,"L,2-8",35,30,2,4,0,0,1,1,3,0,10,1,1,0,1,1,1,0,0.282,0.346,0.43,0.776,6,11,R,D.Drabek(53),TBD,1998
32,33,May 9,True,BAL,"L,0-7",33,33,0,5,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0.278,0.341,0.422,0.763,6,10,R,M.Mussina(87),TBD,1998
33,34,May 10,True,BAL,"W,4-3",32,31,4,7,1,0,3,4,1,0,8,0,0,0,1,0,2,1,0.276,0.339,0.426,0.765,4,10,L,J.Key(61),TBD,1998
34,35,May 11,True,CLE,"W,4-2",33,28,4,7,2,0,1,3,3,0,6,1,1,0,0,1,2,1,0.276,0.339,0.426,0.765,5,10,R,D.Burba(52),TBD,1998
35,36,May 12,True,CLE,"W,6-5",54,45,6,10,1,0,1,5,5,1,4,1,2,1,2,2,0,0,0.274,0.338,0.422,0.759,8,13,R,B.Colón(64),TBD,1998
36,37,May 13,True,KCR,"L,0-4",31,29,0,4,1,0,0,0,2,0,10,0,0,0,0,1,0,1,0.271,0.335,0.416,0.751,4,11,R,P.Rapp(87),TBD,1998
37,38,May 14,True,KCR,"L,2-10",40,36,2,10,4,0,0,2,3,0,5,0,0,1,1,0,0,0,0.271,0.334,0.415,0.75,11,13,R,T.Belcher(65),TBD,1998
38,39,May 15,False,BAL,"W,4-1",35,33,4,9,1,2,1,4,0,0,3,0,1,1,0,1,0,0,0.271,0.333,0.418,0.75,4,9,L,J.Key(52),TBD,1998
39,40,May 16,False,BAL,"W,5-2",39,36,5,11,1,0,1,5,3,1,8,0,0,0,1,2,0,0,0.272,0.333,0.418,0.751,7,9,R,S.Erickson(40),TBD,1998
40,41,May 17,False,BAL,"W,7-3",42,33,7,9,3,0,1,7,6,0,7,2,1,0,0,0,0,1,0.272,0.335,0.419,0.754,8,11,R,S.Kamieniecki(60),TBD,1998
41,42,May 18,False,BAL,"W,6-3",41,34,6,10,1,0,0,6,4,0,6,2,1,0,0,0,4,1,0.272,0.337,0.416,0.753,8,9,R,D.Drabek(30),TBD,1998
42,43,May 19,False,TOR,"L,1-3",33,29,1,2,0,0,0,1,4,0,8,0,0,0,0,0,0,0,0.268,0.334,0.409,0.743,5,12,R,W.Williams(78),TBD,1998
43,44,May 20,False,TOR,"L,1-9",36,35,1,9,1,0,0,1,1,0,7,0,0,0,1,0,0,1,0.268,0.333,0.407,0.739,8,12,R,P.Hentgen(66),TBD,1998
44,45,May 21,False,TOR,"L,1-6",36,31,1,4,1,0,0,1,5,0,10,0,0,0,1,1,0,0,0.265,0.331,0.402,0.733,8,9,R,J.Guzmán(65),TBD,1998
45,46,May 22,False,SEA,"W,5-2",40,36,5,14,2,0,1,5,0,0,5,1,2,1,0,0,1,2,0.268,0.332,0.405,0.737,8,10,L,J.Moyer(44),TBD,1998
46,47,May 23,False,SEA,"W,6-3",41,34,6,8,3,0,0,6,6,0,11,0,1,0,0,0,1,0,0.268,0.333,0.403,0.736,8,12,R,K.Cloude(80),TBD,1998
47,48,May 24,False,SEA,"L,1-3",36,34,1,7,0,0,0,1,2,0,15,0,0,0,0,0,2,0,0.266,0.331,0.399,0.73,8,9,L,R.Johnson(82),TBD,1998
48,49,May 25,False,OAK,"L,2-8",32,29,2,5,1,0,0,2,1,0,7,0,0,2,0,2,0,0,0.265,0.329,0.395,0.724,3,10,R,M.Oquist(75),TBD,1998
49,50,May 26,False,OAK,"W,7-2",44,38,7,14,1,0,3,4,4,0,5,0,2,0,0,1,0,1,0.267,0.331,0.401,0.732,10,9,R,T.Candiotti(36),TBD,1998
50,51,May 28,True,SEA,"L,2-5",38,37,2,11,0,0,1,2,1,0,5,0,0,0,0,1,0,0,0.268,0.331,0.4,0.731,9,11,L,J.Moyer(69),TBD,1998
51,52,May 29,True,SEA,"L,2-6",32,28,2,3,0,0,0,1,2,0,10,0,1,1,1,0,1,1,0.265,0.328,0.396,0.724,3,10,L,R.Johnson(78),TBD,1998
52,53,May 30,True,SEA,"W,5-2",37,29,5,8,1,0,0,5,6,0,5,0,1,0,0,1,1,1,0.265,0.329,0.394,0.723,8,9,R,K.Cloude(26),TBD,1998
53,54,May 31,True,SEA,"L,6-11",41,39,6,12,4,0,0,5,2,0,4,0,0,0,1,1,1,0,0.266,0.329,0.395,0.724,8,12,R,B.Swift(53),TBD,1998
54,55,Jun 1,True,TEX,"W,4-1",32,30,4,8,0,0,1,4,1,0,7,0,1,0,0,1,0,0,0.266,0.329,0.394,0.723,4,11,R,J.Burkett(53),TBD,1998
55,56,Jun 2,True,TEX,"L,3-7",38,34,3,9,4,0,1,3,4,0,7,0,0,0,0,2,0,0,0.266,0.329,0.395,0.725,8,9,R,B.Witt(41),TBD,1998
56,57,Jun 3,False,NYY,"L,1-7",33,31,1,5,1,0,1,1,2,0,9,0,0,0,0,0,0,1,0.264,0.327,0.394,0.721,5,9,R,O.Hernández(68),TBD,1998
57,58,Jun 4,False,NYY,"L,1-6",34,29,1,6,1,0,0,1,4,0,7,1,0,0,0,1,1,1,0.264,0.327,0.392,0.719,6,9,R,H.Irabu(64),TBD,1998
58,59,Jun 5,True,MON,"L,2-5",34,30,2,5,0,0,0,2,3,0,10,0,0,1,0,1,1,0,0.262,0.326,0.388,0.714,5,11,R,D.Hermanson(66),TBD,1998
59,60,Jun 6,True,MON,"L,5-7",40,38,5,13,1,1,1,4,0,0,6,0,1,1,1,1,1,0,0.264,0.326,0.39,0.716,8,10,L,T.Moore(33),TBD,1998
60,61,Jun 7,True,MON,"W,4-3",43,39,4,12,2,0,1,3,4,0,4,0,0,0,0,4,1,0,0.264,0.327,0.391,0.718,7,10,R,J.Vázquez(40),TBD,1998
61,62,Jun 8,False,NYM,"L,0-3",31,30,0,3,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0.262,0.324,0.387,0.712,4,13,R,R.Reed(90),TBD,1998
62,63,Jun 9,False,NYM,"W,5-4",48,40,5,10,2,1,0,4,5,0,11,1,1,1,1,1,0,1,0.262,0.324,0.387,0.711,10,16,R,H.Nomo(43),TBD,1998
63,64,Jun 10,False,NYM,"L,2-3",37,31,2,6,3,1,0,2,5,0,14,1,0,0,0,1,2,1,0.261,0.324,0.386,0.711,8,13,L,A.Leiter(66),TBD,1998
64,65,Jun 12,False,BOS,"L,1-5",38,36,1,10,2,0,0,1,2,0,4,0,0,0,0,0,0,0,0.261,0.324,0.385,0.71,10,11,R,T.Wakefield(54),TBD,1998
65,66,Jun 14,False,BOS,"L,2-3",41,38,2,13,3,0,1,2,2,1,3,0,1,0,1,3,0,2,0.263,0.325,0.387,0.713,9,12,L,S.Avery(47),TBD,1998
66,67,Jun 15,True,TOR,"W,8-7",37,30,8,9,1,0,3,8,5,1,8,0,1,1,0,1,0,0,0.263,0.326,0.391,0.717,5,13,R,W.Williams(45),TBD,1998
67,68,Jun 16,True,TOR,"W,4-3",36,32,4,8,3,0,1,4,4,0,7,0,0,0,0,1,1,1,0.263,0.326,0.391,0.717,7,13,R,P.Hentgen(67),TBD,1998
68,69,Jun 17,True,TOR,"W,2-1",35,29,2,6,1,1,0,2,5,2,9,1,0,0,0,0,5,1,0.262,0.326,0.39,0.717,9,10,R,J.Guzmán(60),TBD,1998
69,70,Jun 18,True,BOS,"L,5-7",39,37,5,8,4,0,2,5,2,0,10,0,0,0,1,1,0,1,0.261,0.325,0.392,0.717,4,12,R,D.Lowe(52),TBD,1998
70,71,Jun 19,True,BOS,"L,1-4",37,33,1,6,1,0,0,1,4,0,8,0,0,0,0,0,2,0,0.26,0.325,0.389,0.714,9,11,L,S.Avery(56),TBD,1998
71,72,Jun 20,True,BOS,"W,8-5",37,30,8,9,1,1,1,8,4,0,1,1,0,2,0,0,2,1,0.261,0.325,0.391,0.716,5,9,R,B.Saberhagen(24),TBD,1998
72,73,Jun 21,True,BOS,"L,1-3",31,29,1,2,0,1,0,1,2,0,7,0,0,0,0,0,0,0,0.259,0.323,0.388,0.711,3,9,R,P.Martinez(80),TBD,1998
73,74,Jun 22,True,FLA,"L,2-3",52,43,2,12,1,0,1,2,7,1,11,0,2,0,0,1,2,2,0.259,0.324,0.387,0.712,14,13,L,J.Sánchez(50),TBD,1998
74,75,Jun 23,True,FLA,"W,6-4",35,32,6,10,1,0,1,6,2,0,9,1,0,0,0,1,1,1,0.26,0.325,0.388,0.713,5,9,R,R.Dempster(37),TBD,1998
75,76,Jun 24,False,FLA,"L,4-8",43,38,4,13,3,0,1,4,4,0,7,1,0,0,1,3,0,0,0.261,0.326,0.39,0.716,12,14,R,B.Meadows(52),TBD,1998
76,77,Jun 25,False,FLA,"L,1-5",36,35,1,8,1,1,0,1,1,0,9,0,0,0,1,0,0,1,0.26,0.325,0.389,0.714,8,13,R,L.Hernández(75),TBD,1998
77,78,Jun 26,False,PHI,"L,0-7",34,30,0,3,1,0,0,0,4,0,5,0,0,0,1,0,0,0,0.259,0.324,0.386,0.71,7,14,R,T.Green(71),TBD,1998
78,79,Jun 27,False,PHI,"W,5-1",39,37,5,13,1,0,1,5,2,1,9,0,0,0,0,1,2,1,0.26,0.325,0.387,0.711,7,13,R,C.Schilling(39),TBD,1998
79,80,Jun 28,False,PHI,"W,5-4",42,39,5,13,3,0,1,5,2,1,5,0,1,0,1,0,2,0,0.261,0.325,0.388,0.713,10,16,R,M.Portugal(44),TBD,1998
80,81,Jun 30,True,ATL,"L,2-7",36,32,2,6,0,0,0,1,2,0,8,1,0,1,0,0,2,0,0.26,0.324,0.386,0.71,7,11,L,D.Neagle(58),TBD,1998
81,82,Jul 1,True,ATL,"L,5-6",39,35,5,10,1,0,0,5,3,0,8,0,0,1,0,1,1,0,0.26,0.324,0.385,0.709,7,12,R,J.Smoltz(50),TBD,1998
82,83,Jul 2,True,ATL,"L,0-6",34,32,0,5,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0.259,0.323,0.383,0.706,7,10,R,G.Maddux(84),TBD,1998
83,84,Jul 3,False,TOR,"L,2-3",39,32,2,7,0,0,0,2,3,0,7,1,2,1,0,2,2,1,0.259,0.323,0.381,0.704,7,12,R,J.Guzmán(60),TBD,1998
84,85,Jul 4,False,TOR,"L,0-8",32,30,0,4,2,0,0,0,2,0,3,0,0,0,0,1,1,0,0.257,0.321,0.379,0.7,5,9,R,C.Carpenter(80),TBD,1998
85,86,Jul 5,False,TOR,"L,1-2",35,30,1,6,0,0,0,1,4,0,8,0,1,0,0,1,2,1,0.257,0.321,0.377,0.698,7,11,R,R.Clemens(67),TBD,1998
86,87,Jul 9,True,NYY,"L,0-2",35,31,0,5,0,0,0,0,3,0,8,0,1,0,1,1,1,0,0.256,0.32,0.375,0.695,8,12,L,A.Pettitte(79),TBD,1998
87,88,Jul 10,True,NYY,"L,4-8",41,37,4,12,2,0,2,4,4,0,7,0,0,0,2,2,0,1,0.257,0.321,0.377,0.698,10,10,R,H.Irabu(43),TBD,1998
88,89,Jul 11,True,NYY,"L,0-2",34,31,0,5,2,0,0,0,3,0,9,0,0,0,0,0,1,1,0.256,0.32,0.375,0.696,7,11,R,D.Cone(81),TBD,1998
89,90,Jul 12,True,NYY,"L,2-9",34,29,2,6,1,0,1,2,4,0,6,0,1,0,0,1,0,2,0.255,0.32,0.375,0.695,5,11,L,D.Wells(56),TBD,1998
90,91,Jul 13,True,BOS,"L,0-2",36,32,0,7,0,0,0,0,4,0,7,0,0,0,1,1,2,0,0.255,0.32,0.374,0.693,9,12,L,S.Avery(59),TBD,1998
91,92,Jul 14,True,BOS,"W,5-4",34,33,5,11,1,0,1,5,0,0,2,0,1,0,0,1,0,0,0.256,0.32,0.374,0.694,4,9,R,B.Saberhagen(40),TBD,1998
92,93,Jul 15,False,ANA,"L,2-4",37,34,2,8,2,0,0,2,2,0,10,0,0,1,1,0,3,1,0.255,0.32,0.374,0.693,8,10,L,C.Finley(51),TBD,1998
93,94,Jul 16,False,ANA,"W,8-1",44,37,8,12,4,0,1,8,7,0,3,0,0,0,0,1,1,0,0.256,0.321,0.375,0.696,9,10,R,S.Sparks(24),TBD,1998
94,95,Jul 17,False,TEX,"L,4-7",39,37,4,11,3,1,0,3,0,0,5,1,0,1,2,0,0,2,0.257,0.321,0.376,0.697,8,11,L,D.Oliver(47),TBD,1998
95,96,Jul 18,False,TEX,"L,8-9",44,37,8,12,0,1,1,7,3,1,7,0,2,2,1,2,1,1,0.258,0.321,0.377,0.698,6,13,R,E.Loaiza(38),TBD,1998
96,97,Jul 19,False,TEX,"L,4-7",37,35,4,11,3,1,0,4,1,0,6,0,0,1,0,1,0,0,0.258,0.321,0.378,0.699,6,10,R,J.Burkett(44),TBD,1998
97,98,Jul 21,True,SEA,"L,3-8",35,33,3,7,0,0,2,3,2,0,8,0,0,0,0,1,0,0,0.258,0.321,0.378,0.698,5,10,L,J.Moyer(60),TBD,1998
98,99,Jul 22,True,SEA,"W,7-5",34,33,7,11,3,1,0,7,0,0,6,0,1,0,1,1,3,0,0.258,0.321,0.379,0.7,3,10,L,R.Johnson(44),TBD,1998
99,100,Jul 24,True,OAK,"W,6-0",42,37,6,14,2,0,1,6,4,1,4,1,0,0,0,1,1,0,0.26,0.322,0.38,0.703,12,10,R,M.Oquist(18),TBD,1998
100,101,Jul 25,True,OAK,"W,7-5",35,33,7,8,3,0,1,5,2,0,5,0,0,0,2,0,1,0,0.26,0.322,0.381,0.703,4,11,L,K.Rogers(42),TBD,1998
101,102,Jul 26,True,OAK,"W,3-1",35,32,3,10,2,1,1,3,3,0,6,0,0,0,0,0,0,0,0.26,0.322,0.382,0.704,8,11,R,T.Candiotti(47),TBD,1998
102,103,Jul 27,True,OAK,"W,11-5",43,35,11,11,1,2,1,10,7,0,7,0,1,0,1,0,0,0,0.261,0.323,0.384,0.707,8,12,R,B.Stein(32),TBD,1998
103,104,Jul 28,False,CHW,"L,1-4",30,29,1,4,1,0,0,1,1,0,7,0,0,0,0,1,0,0,0.26,0.322,0.382,0.704,2,9,R,J.Baldwin(67),TBD,1998
104,105,Jul 29,False,CHW,"W,7-2",40,37,7,12,1,0,2,7,3,0,4,0,0,0,1,1,2,2,0.26,0.323,0.383,0.706,6,9,L,J.Parque(39),TBD,1998
105,106,Jul 31,True,DET,"W,5-1",34,33,5,12,2,0,1,5,1,0,3,0,0,0,0,1,2,1,0.261,0.323,0.385,0.708,5,11,R,S.Greisinger(39),TBD,1998
106,107,Aug 1,True,DET,"L,0-8",30,29,0,5,1,0,0,0,1,0,4,0,0,0,0,3,0,0,0.26,0.322,0.383,0.706,3,9,R,B.Moehler(80),TBD,1998
107,108,Aug 2,True,DET,"L,2-3",37,33,2,6,1,0,0,2,4,0,6,0,0,0,1,0,0,1,0.26,0.322,0.382,0.704,8,13,R,B.Powell(62),TBD,1998
108,109,Aug 3,True,CHW,"L,1-6",35,33,1,8,1,0,1,1,1,0,7,1,0,0,0,2,1,0,0.26,0.322,0.381,0.703,7,9,R,J.Baldwin(70),TBD,1998
109,110,Aug 4,True,CHW,"L,6-8",40,33,6,8,2,1,2,5,7,0,7,0,0,0,0,0,1,0,0.259,0.322,0.383,0.705,7,13,L,J.Parque(29),TBD,1998
110,111,Aug 5,True,CHW,"W,7-3",41,36,7,12,0,0,1,6,3,0,7,1,1,0,1,0,0,1,0.26,0.323,0.383,0.706,10,12,R,J.Snyder(59),TBD,1998
111,112,Aug 7,True,CLE,"L,1-5",34,32,1,6,2,0,0,1,2,0,9,0,0,0,0,0,1,1,0.26,0.322,0.382,0.704,6,9,R,D.Gooden(63),TBD,1998
112,113,Aug 8,True,CLE,"L,2-6",31,30,2,3,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0.258,0.321,0.381,0.702,2,9,R,C.Nagy(72),TBD,1998
