,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Mar 31,True,DET,"L,6-11",9.0,18,11,11,0,2,7,1,0,11.0,47,169,110,2.0,1.0,0,0,45,6,0,0,0,0,0,0,4,Rich Garcia,"W.Álvarez (99-17-L), D.Carlson (99), D.Springer (99), J.Mecir (99)",TBD,1998
1,2,Apr 1,True,DET,"W,11-8",9.0,13,8,8,0,5,7,0,2,9.5,45,182,104,4.0,1.0,1,1,38,2,0,0,0,0,0,0,5,Mike Reilly,"R.Arrojo (99-45-W), R.Tatís (99-H), A.Lopez (99-H), J.Mecir (0-H), R.Hernández (99)",TBD,1998
2,3,Apr 2,True,DET,"W,7-1",9.0,5,1,1,0,4,12,1,0,6.67,33,138,75,0.0,0.0,0,2,29,0,0,0,0,0,0,1,2,Tim McClelland,"T.Saunders (99-63), E.Yan (99-W)",TBD,1998
3,4,Apr 3,True,CHW,"L,4-10",9.0,15,10,10,0,6,6,0,0,7.5,46,187,107,3.0,0.0,1,0,38,4,2,1,0,2,0,1,4,Terry Craft,"R.Gorecki (99-22-L), D.Carlson (2), R.Tatís (1), A.Lopez (1)",TBD,1998
4,5,Apr 4,True,CHW,"W,8-2",9.0,7,2,2,0,1,4,1,0,6.4,33,120,76,2.0,0.0,1,1,32,1,0,0,0,0,0,0,3,Jim McKean,"D.Springer (3-60-W), J.Mecir (2), R.Hernández (2)",TBD,1998
5,6,Apr 5,True,CHW,"W,5-0",9.0,4,0,0,0,5,3,0,0,5.33,32,136,73,0.0,0.0,0,2,27,0,0,0,0,0,0,2,3,Al Clark,"W.Álvarez (4-67-W), E.Yan (2), J.Mecir (0)",TBD,1998
6,7,Apr 7,False,DET,"L,1-3",8.0,8,3,3,0,4,5,0,2,5.08,37,138,77,5.0,0.0,2,1,31,0,1,0,0,0,0,0,4,Rick Reed,"R.Arrojo (5-42-L), R.Tatís (3), A.Lopez (3), R.Hernández (2)",TBD,1998
7,8,Apr 10,False,CHW,"L,0-3",8.0,10,3,2,1,8,4,0,0,4.76,37,158,85,1.0,0.0,0,1,29,2,1,1,0,0,0,3,4,Rich Garcia,"T.Saunders (7-45-L), E.Yan (4), R.Tatís (2), J.Mecir (4)",TBD,1998
8,9,Apr 11,False,CHW,"W,5-1",9.0,4,1,1,0,4,8,0,0,4.33,33,144,84,0.0,0.0,1,0,29,1,0,0,0,0,0,2,3,Mike Reilly,"R.Gorecki (7-69-W), J.Mecir (0), R.Hernández (3)",TBD,1998
9,10,Apr 12,False,CHW,"W,4-1",9.0,4,1,1,0,4,7,1,0,3.99,34,143,90,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,Tim McClelland,"W.Álvarez (6-76-W), R.Hernández (0-Sv)",TBD,1998
10,11,Apr 13,True,MIN,"W,13-12",14.0,22,12,12,0,4,7,4,0,4.5,65,244,151,2.0,1.0,2,1,60,2,0,1,1,0,1,1,7,Gary Cederstrom,"R.Arrojo (5-17), D.Carlson (9), R.Tatís (2), A.Lopez (5), J.Mecir (1-H), R.Hernández (0-BSv), E.Yan (2-W)",TBD,1998
11,12,Apr 14,True,MIN,"L,2-8",9.0,12,8,5,3,5,5,2,1,4.54,43,166,93,1.0,1.0,1,0,37,2,1,0,0,0,1,2,3,Joe Brinkman,"D.Springer (9-22-L), A.Lopez (0), R.Tatís (0)",TBD,1998
12,13,Apr 16,False,ANA,"W,6-5",9.0,7,5,4,1,9,1,0,0,4.5,39,145,79,1.0,0.0,0,0,27,2,1,0,2,1,0,4,4,Don Denkinger,"T.Saunders (5-40-W), E.Yan (2-H), J.Mecir (2-H), R.Hernández (2-Sv)",TBD,1998
13,14,Apr 17,False,ANA,"L,0-5",8.0,11,5,3,2,4,1,1,0,4.43,38,138,78,2.0,0.0,1,1,34,1,0,0,0,0,0,0,4,Rick Reed,"R.Gorecki (5-48-L), A.Lopez (2), R.Tatís (2), D.Carlson (3)",TBD,1998
14,15,Apr 18,False,ANA,"W,8-1",9.0,6,1,1,0,2,11,0,0,4.2,34,149,93,1.0,0.0,0,0,32,2,0,0,0,0,0,0,2,Tim Tschida,"W.Álvarez (5-68-W), J.Mecir (1)",TBD,1998
15,16,Apr 19,False,ANA,"W,6-0",9.0,6,0,0,0,1,6,0,2,3.95,36,129,77,0.0,0.0,1,0,33,0,0,0,0,0,1,0,3,Richard Shulock,"R.Arrojo (5-69-W), D.Carlson (1), R.Hernández (2)",TBD,1998
16,17,Apr 21,False,TEX,"L,0-4",8.0,6,4,4,0,4,5,1,0,3.97,34,110,63,6.0,1.0,1,0,29,0,0,0,0,1,0,0,3,Larry McCoy,"D.Springer (6-47-L), R.Tatís (3), E.Gaillard (99)",TBD,1998
17,18,Apr 22,False,TEX,"L,2-7",8.0,12,7,7,0,2,7,1,1,4.17,37,133,83,1.0,1.0,1,1,34,2,1,0,0,0,1,1,2,Mark Johnson,"T.Saunders (5-37-L), A.Lopez (4)",TBD,1998
18,19,Apr 23,False,TEX,"W,12-5",9.0,8,5,5,0,7,4,2,0,4.21,40,152,90,3.0,2.0,0,0,33,1,0,0,0,0,0,2,5,Chuck Meriwether,"J.Johnson (99-49-W), D.Carlson (3), J.Mecir (4), E.Gaillard (1), R.Hernández (3)",TBD,1998
19,20,Apr 24,True,ANA,"L,3-10",9.0,13,10,10,0,4,5,1,4,4.5,47,163,97,5.0,2.0,0,0,39,4,0,0,0,0,0,1,5,Marty Foster,"W.Álvarez (5-33-L), D.Carlson (0), A.Lopez (1), E.Gaillard (0), R.Tatís (2)",TBD,1998
20,21,Apr 25,True,ANA,"L,1-7",9.0,11,7,7,0,4,3,2,0,4.62,37,126,77,2.0,1.0,1,0,33,3,1,1,0,0,0,2,4,Larry Young,"R.Arrojo (5-45-L), J.Mecir (1), E.Gaillard (0), R.Tatís (0)",TBD,1998
21,22,Apr 26,True,ANA,"L,1-2",9.0,6,2,2,0,3,5,1,0,4.5,37,112,70,0.0,0.0,1,0,33,2,0,1,1,0,0,0,3,Drew Coble,"D.Springer (4-58-L), E.Yan (9), R.Hernández (2)",TBD,1998
22,23,Apr 27,True,OAK,"L,6-7",9.0,8,7,7,0,10,7,0,0,4.61,42,170,98,5.0,1.0,0,0,31,0,0,0,0,1,0,2,5,Al Clark,"T.Saunders (4-35), A.Lopez (2), J.Mecir (1-H), R.Hernández (0-BL), R.Tatís (1)",TBD,1998
23,24,Apr 28,True,OAK,"L,3-4",9.0,9,4,4,0,3,8,2,0,4.58,39,142,87,1.0,0.0,1,0,36,2,0,0,0,0,0,0,4,Brian O'Nora,"J.Johnson (4-33-L), E.Gaillard (2), R.Tatís (0), E.Yan (1)",TBD,1998
24,25,Apr 29,False,MIN,"L,0-2",8.0,6,2,2,0,3,3,0,0,4.5,31,116,68,4.0,1.0,0,1,27,0,0,0,0,1,0,1,3,Fieldin Culbreth,"W.Álvarez (4-60-L), R.Tatís (0), A.Lopez (1)",TBD,1998
25,26,Apr 30,False,MIN,"W,2-0",9.0,3,0,0,0,2,5,0,0,4.33,30,106,64,,,0,1,28,1,0,0,0,0,0,1,1,Drew Coble,R.Arrojo (4-84-W),TBD,1998
26,27,May 1,False,CLE,"L,5-7",8.0,11,7,7,0,11,5,1,1,4.44,42,175,84,3.0,1.0,1,2,28,2,0,1,1,1,0,2,5,Ken Kaiser,"D.Springer (4-24-L), D.Carlson (6), R.Tatís (1), J.Mecir (3), R.Hernández (3)",TBD,1998
27,28,May 2,False,CLE,"L,1-5",8.0,9,5,3,2,4,10,1,0,4.41,36,138,83,0.0,0.0,0,0,31,3,0,0,0,1,1,2,3,Ed Hickox,"T.Saunders (4-53-L), E.Yan (3), J.Santana (20)",TBD,1998
28,29,May 3,False,CLE,"L,8-10",8.2,16,10,10,0,8,6,3,0,4.61,50,191,108,5.0,1.0,1,0,42,4,0,1,0,0,0,0,5,Larry Barnett,"J.Johnson (4-37), R.Tatís (1), J.Mecir (1-H), E.Yan (0-H), R.Hernández (1-BL)",TBD,1998
29,30,May 5,False,KCR,"L,2-4",8.0,11,4,4,0,1,8,0,0,4.61,34,116,73,2.0,0.0,0,1,33,4,0,0,0,0,0,0,3,Durwood Merrill,"W.Álvarez (5-37-L), A.Lopez (5), J.Santana (2)",TBD,1998
30,31,May 6,False,KCR,"W,5-0",9.0,3,0,0,0,2,6,0,0,4.46,31,128,82,,,0,0,29,1,0,0,0,0,0,1,1,Dale Scott,R.Arrojo (5-85-W),TBD,1998
31,32,May 8,True,BAL,"L,2-8",9.0,14,8,8,0,7,5,1,2,4.57,49,172,95,3.0,3.0,0,0,40,4,0,0,0,0,0,0,4,Ed Hickox,"T.Saunders (5-54), A.Lopez (2-BL), E.Yan (4), R.Hernández (4)",TBD,1998
32,33,May 9,True,BAL,"L,0-7",9.0,11,7,7,0,3,2,2,2,4.64,41,152,83,1.0,1.0,0,1,35,1,0,0,0,1,0,1,5,Larry Barnett,"D.Springer (7-43-L), D.Carlson (7), R.Tatís (5), J.Santana (3), J.Mecir (5)",TBD,1998
33,34,May 10,True,BAL,"W,4-3",9.0,7,3,3,0,1,8,2,0,4.59,35,134,89,0.0,0.0,0,0,34,0,0,0,0,0,0,0,3,Greg Kosc,"W.Álvarez (4-55), E.Yan (1-W), R.Hernández (1-Sv)",TBD,1998
34,35,May 11,True,CLE,"W,4-2",9.0,5,2,2,0,2,6,0,1,4.52,35,129,72,0.0,0.0,0,1,32,2,0,0,0,0,1,0,2,Joe Brinkman,"R.Arrojo (4-68-W), R.Hernández (0-Sv)",TBD,1998
35,36,May 12,True,CLE,"W,6-5",14.0,10,5,5,0,8,9,0,0,4.46,60,246,144,2.0,2.0,0,0,49,3,1,4,2,1,1,1,5,Derryl Cousins,"J.Johnson (8-42), E.Yan (1-BSv), J.Mecir (2), A.Lopez (3), J.Santana (2-W)",TBD,1998
36,37,May 13,True,KCR,"L,0-4",9.0,9,4,4,0,6,8,0,0,4.45,42,152,97,1.0,0.0,0,0,34,2,0,0,1,1,1,1,3,Tim Welke,"T.Saunders (4-58-L), D.Carlson (3), R.Tatís (3)",TBD,1998
37,38,May 14,True,KCR,"L,2-10",9.0,12,10,10,0,8,4,2,3,4.6,48,161,95,2.0,0.0,2,0,37,1,0,0,0,0,0,2,4,Gary Cederstrom,"D.Springer (4-21-L), J.Santana (1), E.Yan (1), R.Tatís (0)",TBD,1998
38,39,May 15,False,BAL,"W,4-1",9.0,6,1,1,0,2,4,1,1,4.5,35,117,75,2.0,0.0,0,0,32,0,0,0,0,0,1,2,3,Rick Reed,"W.Álvarez (4-62-W), J.Mecir (2-H), R.Hernández (3-Sv)",TBD,1998
39,40,May 16,False,BAL,"W,5-2",9.0,6,2,1,1,2,7,1,0,4.42,34,127,78,1.0,0.0,0,1,32,1,0,0,0,0,1,1,5,Brian O'Nora,"R.Arrojo (4-62-W), S.Aldred (99-H), E.Yan (1), J.Mecir (0-H), R.Hernández (0-Sv)",TBD,1998
40,41,May 17,False,BAL,"W,7-3",9.0,6,3,3,0,4,8,1,0,4.38,36,121,75,0.0,0.0,2,0,32,2,0,0,0,0,0,0,4,Tim Tschida,"J.Johnson (4-71), E.Yan (0-BSv), J.Mecir (0-W), J.Santana (2)",TBD,1998
41,42,May 18,False,BAL,"W,6-3",9.0,6,3,3,0,3,5,0,2,4.35,37,141,87,3.0,0.0,1,0,32,1,0,0,0,0,0,0,3,Don Denkinger,"T.Saunders (4-49), A.Lopez (5-W), R.Hernández (1-Sv)",TBD,1998
42,43,May 19,False,TOR,"L,1-3",8.0,4,3,3,0,3,3,2,0,4.33,30,112,68,,,2,1,27,0,0,0,0,0,0,0,1,Jim Evans,D.Springer (4-62-L),TBD,1998
43,44,May 20,False,TOR,"L,1-9",8.0,7,9,9,0,4,11,4,1,4.45,36,142,86,1.0,0.0,0,0,31,2,0,0,0,0,0,0,3,Larry McCoy,"W.Álvarez (4-34-L), E.Gaillard (21), E.Yan (2)",TBD,1998
44,45,May 21,False,TOR,"L,1-6",8.0,10,6,6,0,5,13,3,0,4.49,37,139,87,1.0,0.0,0,1,32,1,0,0,0,0,0,1,4,Mark Johnson,"R.Arrojo (4-29-L), J.Santana (3), J.Mecir (3), S.Aldred (4)",TBD,1998
45,46,May 22,False,SEA,"W,5-2",9.0,8,2,2,0,4,5,0,0,4.44,37,159,92,2.0,0.0,0,0,33,2,0,0,0,0,0,1,4,Dale Scott,"J.Johnson (4-59-W), A.Lopez (3-H), J.Mecir (0), R.Hernández (3-Sv)",TBD,1998
46,47,May 23,False,SEA,"W,6-3",9.0,9,3,3,0,5,12,1,0,4.41,42,141,84,0.0,0.0,0,0,37,2,0,0,0,0,1,0,3,Dave Phillips,"T.Saunders (4-54), E.Yan (2-W), R.Hernández (0-Sv)",TBD,1998
47,48,May 24,False,SEA,"L,1-3",8.0,11,3,3,0,4,0,1,0,4.39,36,131,80,3.0,1.0,0,0,32,0,0,0,0,0,0,0,4,Rocky Roe,"D.Springer (4-36-L), J.Santana (2), S.Aldred (2), A.Lopez (1)",TBD,1998
48,49,May 25,False,OAK,"L,2-8",8.0,12,8,7,1,4,4,3,1,4.45,39,159,95,3.0,0.0,1,0,33,0,0,0,1,0,1,2,4,Tim Welke,"M.Ruebel (99-36-L), J.Santana (0), E.Yan (1), J.Mecir (2)",TBD,1998
49,50,May 26,False,OAK,"W,7-2",9.0,6,2,2,0,3,11,1,2,4.4,37,149,94,1.0,0.0,0,1,32,1,0,0,0,0,0,0,5,Gary Cederstrom,"R.Arrojo (4-55-W), S.Aldred (1-H), A.Lopez (1-H), J.Mecir (0), R.Hernández (2)",TBD,1998
50,51,May 28,True,SEA,"L,2-5",9.0,9,5,5,0,3,7,3,0,4.41,38,142,83,1.0,0.0,2,0,35,0,0,0,0,0,1,0,4,Terry Craft,"J.Johnson (5-29-L), J.Santana (2), E.Yan (2), M.Ruebel (2)",TBD,1998
51,52,May 29,True,SEA,"L,2-6",9.0,13,6,6,0,4,10,0,2,4.45,46,167,106,0.0,0.0,0,0,40,4,0,0,0,0,0,0,3,Brian O'Nora,"T.Saunders (5-52-L), A.Lopez (2), J.Mecir (2)",TBD,1998
52,53,May 30,True,SEA,"W,5-2",9.0,4,2,1,1,3,6,0,2,4.38,33,127,75,5.0,0.0,3,0,28,0,0,0,0,0,0,3,5,Mike Reilly,"D.Springer (5-57-W), S.Aldred (3-H), E.Yan (1-H), M.Ruebel (1-H), R.Hernández (3-Sv)",TBD,1998
53,54,May 31,True,SEA,"L,6-11",9.0,17,11,11,0,3,6,6,1,4.5,47,174,106,2.0,0.0,0,0,42,4,0,0,0,1,0,1,5,Gary Cederstrom,"R.White (99-27-L), J.Santana (2), S.Aldred (0), A.Lopez (1), J.Mecir (1)",TBD,1998
54,55,Jun 1,True,TEX,"W,4-1",9.0,5,1,1,0,2,10,0,1,4.44,34,137,85,1.0,0.0,0,0,31,2,0,0,0,0,0,1,3,Joe Brinkman,"R.Arrojo (5-73-W), E.Yan (1-H), R.Hernández (1-Sv)",TBD,1998
55,56,Jun 2,True,TEX,"L,3-7",9.0,11,7,7,0,4,8,2,0,4.48,40,155,95,0.0,0.0,1,1,36,3,0,0,0,0,0,0,5,Derryl Cousins,"J.Johnson (4-23-L), J.Santana (1), M.Ruebel (2), A.Lopez (1), J.Mecir (1)",TBD,1998
