,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Mar 31,False,BAL,"W,6-2",38,36,6,10,2,0,1,6,1,0,3,1,0,0,1,1,1,1,0.278,0.316,0.417,0.732,5,10,R,J.Guthrie(29),TBR,2008
1,2,Apr 2,False,BAL,"L,6-9",41,34,6,7,2,0,2,5,7,1,7,0,0,0,0,1,2,0,0.243,0.329,0.429,0.758,8,10,R,D.Cabrera(23),TBR,2008
2,3,Apr 4,False,NYY,"W,13-4",45,41,13,15,3,0,2,13,4,0,11,0,0,0,1,1,2,1,0.288,0.363,0.486,0.849,5,10,R,I.Kennedy(23),TBR,2008
3,4,Apr 5,False,NYY,"W,6-3",39,34,6,9,1,0,2,6,2,0,8,2,0,1,1,0,1,1,0.283,0.356,0.483,0.839,6,10,L,A.Pettitte(36),TBR,2008
4,5,Apr 6,False,NYY,"L,0-2",32,30,0,4,0,0,0,0,2,0,9,0,0,0,1,0,0,1,0.257,0.328,0.423,0.751,5,9,R,C.Wang(68),TBR,2008
5,6,Apr 7,False,NYY,"L,1-6",34,31,1,3,1,0,1,1,2,0,5,1,0,0,1,0,1,0,0.233,0.306,0.393,0.699,6,9,R,M.Mussina(66),TBR,2008
6,7,Apr 8,True,SEA,"L,5-6",39,33,5,6,1,0,2,3,5,0,9,1,0,0,0,0,3,0,0.226,0.306,0.393,0.699,7,12,L,É.Bédard(47),TBR,2008
7,8,Apr 9,True,SEA,"L,1-7",35,32,1,8,4,0,0,1,1,0,4,0,1,1,1,1,0,0,0.229,0.301,0.391,0.692,7,11,L,J.Washburn(62),TBR,2008
8,9,Apr 10,True,SEA,"W,7-0",40,34,7,10,1,0,1,7,5,1,7,1,0,0,0,0,1,0,0.236,0.313,0.393,0.706,9,10,R,M.Batista(41),TBR,2008
9,10,Apr 11,True,BAL,"W,10-5",44,37,10,15,2,0,2,10,6,0,7,1,0,0,1,0,1,1,0.254,0.334,0.418,0.752,10,9,R,J.Guthrie(52),TBR,2008
10,11,Apr 12,True,BAL,"L,2-3",37,33,2,7,0,0,1,2,4,0,6,0,0,0,1,1,0,1,0.251,0.331,0.408,0.739,8,10,R,D.Cabrera(61),TBR,2008
11,12,Apr 13,True,BAL,"W,6-2",34,29,6,6,0,0,1,6,5,0,6,0,0,0,0,0,1,0,0.248,0.33,0.401,0.731,4,10,L,B.Burres(30),TBR,2008
12,13,Apr 14,True,NYY,"L,7-8",40,36,7,11,2,0,3,7,2,0,7,1,0,1,0,0,2,1,0.252,0.332,0.418,0.75,6,9,R,I.Kennedy(46),TBR,2008
13,14,Apr 15,True,NYY,"L,3-5",39,36,3,10,0,0,0,3,3,0,7,0,0,0,0,1,0,0,0.254,0.332,0.408,0.74,9,10,L,A.Pettitte(49),TBR,2008
14,15,Apr 16,False,MIN,"L,5-6",38,35,5,10,1,0,3,5,3,0,5,0,0,0,1,1,1,2,0.256,0.333,0.419,0.752,6,9,R,L.Hernández(39),TBR,2008
15,16,Apr 17,False,MIN,"W,7-3",39,36,7,11,1,0,1,7,3,1,5,0,0,0,1,0,0,1,0.26,0.334,0.419,0.753,5,10,R,B.Bonser(20),TBR,2008
16,17,Apr 18,True,CHW,"L,2-9",37,33,2,7,2,0,0,2,3,0,6,1,0,0,0,2,0,0,0.257,0.332,0.41,0.743,8,11,R,J.Vázquez(56),TBR,2008
17,18,Apr 19,True,CHW,"W,5-0",34,30,5,12,1,1,0,5,2,0,6,1,0,1,0,3,1,1,0.264,0.338,0.415,0.752,5,10,L,M.Buehrle(36),TBR,2008
18,19,Apr 20,True,CHW,"L,0-6",31,31,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.257,0.329,0.401,0.73,4,9,L,J.Danks(79),TBR,2008
19,20,Apr 22,True,TOR,"W,6-4",36,34,6,12,1,1,2,6,2,0,11,0,0,0,0,1,1,1,0.262,0.332,0.412,0.743,6,9,R,J.Litsch(26),TBR,2008
20,21,Apr 23,True,TOR,"W,5-3",32,30,5,9,1,1,0,5,1,0,4,0,0,1,0,2,0,0,0.264,0.331,0.411,0.742,3,10,R,R.Halladay(47),TBR,2008
21,22,Apr 24,True,TOR,"W,5-3",39,30,5,8,1,1,0,5,7,0,10,0,1,1,1,0,3,1,0.264,0.334,0.41,0.743,10,9,R,D.McGowan(35),TBR,2008
22,23,Apr 25,True,BOS,"W,5-4",49,39,5,11,0,2,0,4,8,1,4,1,0,1,1,0,3,1,0.265,0.338,0.408,0.746,14,11,R,T.Wakefield(42),TBR,2008
23,24,Apr 26,True,BOS,"W,2-1",29,27,2,3,1,0,1,2,2,0,9,0,0,0,0,0,0,0,0.26,0.333,0.403,0.736,3,10,R,C.Buchholz(75),TBR,2008
24,25,Apr 27,True,BOS,"W,3-0",30,28,3,5,2,0,1,2,1,0,15,1,0,0,0,0,2,0,0.257,0.329,0.402,0.731,3,9,R,J.Beckett(75),TBR,2008
25,26,Apr 29,False,BAL,"L,4-7",40,34,4,8,1,0,1,4,6,0,9,0,0,0,0,0,0,0,0.256,0.33,0.4,0.73,9,10,L,G.Olson(59),TBR,2008
26,27,Apr 30,False,BAL,"W,8-1",44,34,8,9,0,0,1,8,7,0,4,1,1,1,1,1,0,0,0.256,0.333,0.398,0.731,9,9,R,M.Albers(53),TBR,2008
27,28,May 1,False,BAL,"W,4-2",41,36,4,9,1,0,1,4,5,0,7,0,0,0,0,0,2,0,0.256,0.333,0.397,0.73,10,11,L,B.Burres(49),TBR,2008
28,29,May 2,False,BOS,"L,3-7",38,32,3,7,2,0,0,2,5,0,8,0,0,1,1,0,0,0,0.255,0.333,0.393,0.725,8,10,R,C.Buchholz(56),TBR,2008
29,30,May 3,False,BOS,"L,4-12",36,34,4,8,1,0,2,4,2,0,5,0,0,0,0,0,0,0,0.254,0.331,0.394,0.725,5,10,R,J.Beckett(56),TBR,2008
30,31,May 4,False,BOS,"L,3-7",38,35,3,8,0,1,1,3,3,0,7,0,0,0,1,1,0,0,0.253,0.33,0.394,0.723,8,10,L,J.Lester(62),TBR,2008
31,32,May 6,False,TOR,"W,5-4",38,34,5,9,2,0,1,5,3,0,14,0,0,1,0,0,2,0,0.254,0.329,0.394,0.723,6,9,R,A.Burnett(43),TBR,2008
32,33,May 7,False,TOR,"L,2-6",31,30,2,4,1,0,0,2,1,0,10,0,0,0,0,0,1,0,0.25,0.325,0.388,0.713,2,9,R,S.Marcum(76),TBR,2008
33,34,May 8,False,TOR,"W,8-3",52,49,8,13,1,0,3,8,2,1,8,0,0,1,0,1,1,1,0.251,0.323,0.391,0.715,5,12,R,J.Litsch(57),TBR,2008
34,35,May 9,True,LAA,"W,2-0",32,29,2,6,1,0,1,2,3,0,2,0,0,0,0,2,0,0,0.25,0.322,0.39,0.713,5,10,R,J.Garland(73),TBR,2008
35,36,May 10,True,LAA,"W,2-0",32,26,2,7,1,0,0,2,4,0,5,0,1,1,0,1,1,1,0.25,0.323,0.389,0.712,6,10,L,J.Saunders(59),TBR,2008
36,37,May 11,True,LAA,"W,8-5",39,37,8,15,2,0,1,7,1,0,9,0,0,1,0,1,3,0,0.255,0.326,0.393,0.719,7,9,R,E.Santana(37),TBR,2008
37,38,May 12,True,NYY,"W,7-1",41,36,7,13,1,1,0,7,4,0,7,0,1,0,0,0,2,0,0.258,0.328,0.395,0.723,10,10,L,A.Pettitte(29),TBR,2008
38,39,May 13,True,NYY,"W,2-1",43,37,2,11,1,0,0,2,5,0,3,0,1,0,0,3,1,0,0.259,0.33,0.393,0.722,11,11,R,C.Wang(58),TBR,2008
39,40,May 14,True,NYY,"L,1-2",33,31,1,7,1,0,0,1,2,0,8,0,0,0,0,1,0,0,0.258,0.329,0.389,0.718,5,9,R,M.Mussina(62),TBR,2008
40,41,May 15,True,NYY,"W,5-2",31,27,5,5,2,0,2,5,1,0,7,1,0,2,0,0,0,0,0.257,0.327,0.391,0.718,2,10,R,I.Kennedy(39),TBR,2008
41,42,May 16,False,STL,"W,3-1",40,37,3,12,3,0,0,3,2,0,5,0,1,0,1,2,0,0,0.259,0.327,0.392,0.719,10,11,R,B.Looper(39),TBR,2008
42,43,May 17,False,STL,"L,8-9",48,41,8,18,2,0,1,8,5,0,6,0,1,1,0,0,1,3,0.264,0.332,0.396,0.729,10,17,R,A.Wainwright(30),TBR,2008
43,44,May 18,False,STL,"L,4-5",36,36,4,11,7,0,1,3,0,0,7,0,0,0,0,1,2,0,0.265,0.332,0.401,0.732,5,17,R,K.Lohse(51),TBR,2008
44,45,May 19,False,OAK,"W,7-6",54,49,7,11,5,0,2,7,5,1,15,0,0,0,0,0,2,1,0.264,0.33,0.402,0.733,8,11,R,J.Blanton(48),TBR,2008
45,46,May 20,False,OAK,"W,3-2",38,33,3,7,2,0,0,3,5,1,8,0,0,0,1,1,2,1,0.262,0.33,0.4,0.73,8,11,L,G.Smith(59),TBR,2008
46,47,May 21,False,OAK,"L,1-9",31,28,1,3,0,0,1,1,1,0,5,1,1,0,0,1,0,0,0.26,0.327,0.396,0.724,3,10,L,D.Eveland(81),TBR,2008
47,48,May 23,True,BAL,"W,2-0",32,28,2,5,0,0,0,2,3,0,6,0,0,1,0,0,1,0,0.258,0.326,0.393,0.719,6,10,R,J.Guthrie(64),TBR,2008
48,49,May 24,True,BAL,"W,11-4",42,34,11,14,3,1,2,11,6,0,6,0,0,1,0,1,1,0,0.261,0.33,0.4,0.729,7,11,R,S.Trachsel(4),TBR,2008
49,50,May 25,True,BAL,"W,5-4",41,32,5,10,4,0,1,5,9,0,4,0,0,0,0,1,3,1,0.262,0.332,0.402,0.735,11,9,R,D.Cabrera(30),TBR,2008
50,51,May 26,True,TEX,"W,7-3",46,39,7,16,2,0,1,7,6,0,1,0,0,1,0,0,0,0,0.266,0.336,0.405,0.741,15,10,R,S.Ponson(21),TBR,2008
51,52,May 27,True,TEX,"L,6-12",40,33,6,10,1,0,2,5,6,0,14,0,0,1,0,3,2,0,0.266,0.337,0.407,0.745,7,12,R,V.Padilla(44),TBR,2008
52,53,May 28,True,TEX,"W,5-3",38,28,5,7,0,0,0,5,9,2,5,0,0,1,0,2,1,0,0.266,0.339,0.405,0.744,9,11,L,K.Gabbard(31),TBR,2008
53,54,May 29,True,CHW,"L,1-5",37,35,1,7,2,0,0,1,2,0,11,0,0,0,1,0,4,0,0.265,0.337,0.402,0.739,9,9,L,J.Danks(63),TBR,2008
54,55,May 30,True,CHW,"W,2-1",33,28,2,6,0,0,1,2,5,0,7,0,0,0,0,2,3,0,0.264,0.337,0.401,0.738,7,10,R,J.Contreras(65),TBR,2008
55,56,May 31,True,CHW,"W,2-0",31,29,2,5,2,0,1,2,2,0,12,0,0,0,0,0,1,0,0.263,0.335,0.4,0.735,5,10,R,J.Vázquez(67),TBR,2008
56,57,Jun 1,True,CHW,"W,4-3",36,34,4,8,1,2,1,4,2,1,7,0,0,0,0,0,0,1,0.262,0.334,0.401,0.736,5,10,L,M.Buehrle(49),TBR,2008
57,58,Jun 3,False,BOS,"L,4-7",39,34,4,7,2,0,2,4,4,0,9,1,0,0,0,0,1,0,0.261,0.334,0.402,0.736,8,12,R,J.Masterson(47),TBR,2008
58,59,Jun 4,False,BOS,"L,1-5",35,34,1,8,2,0,0,1,1,0,10,0,0,0,0,0,1,0,0.261,0.333,0.4,0.733,7,11,R,J.Beckett(59),TBR,2008
59,60,Jun 5,False,BOS,"L,1-7",41,36,1,9,3,0,0,1,3,0,9,2,0,0,1,1,0,0,0.261,0.333,0.399,0.732,13,10,L,J.Lester(58),TBR,2008
60,61,Jun 6,False,TEX,"W,12-4",46,41,12,13,2,1,4,10,4,0,5,0,0,1,2,0,2,0,0.262,0.334,0.405,0.739,7,9,R,V.Padilla(51),TBR,2008
61,62,Jun 7,False,TEX,"W,5-4",40,36,5,9,3,0,1,4,4,1,7,0,0,0,1,1,3,0,0.262,0.333,0.405,0.739,8,9,R,S.Feldman(62),TBR,2008
62,63,Jun 8,False,TEX,"L,3-6",38,33,3,8,1,0,1,3,4,0,5,0,0,1,1,0,1,1,0.261,0.333,0.405,0.738,8,10,R,D.Mathis(49),TBR,2008
63,64,Jun 9,False,LAA,"W,13-4",46,43,13,18,4,0,4,13,2,0,6,0,0,0,1,1,2,1,0.264,0.335,0.412,0.748,6,9,L,J.Saunders(16),TBR,2008
64,65,Jun 10,False,LAA,"L,1-6",30,28,1,4,2,0,1,1,2,0,7,0,0,0,0,2,0,1,0.263,0.334,0.411,0.745,2,9,R,J.Weaver(73),TBR,2008
65,66,Jun 11,False,LAA,"L,2-4",33,29,2,5,1,1,0,2,3,0,7,0,0,1,0,2,0,0,0.262,0.332,0.409,0.742,4,9,R,J.Lackey(67),TBR,2008
66,67,Jun 13,True,FLA,"W,7-3",41,34,7,13,3,0,0,7,6,0,4,0,0,1,0,0,3,1,0.263,0.335,0.41,0.745,10,10,R,R.Tucker(32),TBR,2008
67,68,Jun 14,True,FLA,"W,4-1",35,28,4,5,1,0,1,3,6,0,10,1,0,0,0,1,4,0,0.262,0.335,0.409,0.744,7,9,L,M.Hendrickson(50),TBR,2008
68,69,Jun 15,True,FLA,"L,3-9",36,35,3,7,2,0,1,3,1,0,12,0,0,0,1,0,1,0,0.262,0.333,0.408,0.741,6,9,R,R.Nolasco(73),TBR,2008
69,70,Jun 17,True,CHC,"W,3-2",39,33,3,10,1,0,2,3,5,0,7,1,0,0,0,0,1,1,0.262,0.334,0.41,0.744,12,11,R,R.Dempster(55),TBR,2008
70,71,Jun 18,True,CHC,"W,5-4",35,29,5,7,1,0,0,4,6,0,4,0,0,0,1,3,1,0,0.262,0.335,0.408,0.743,6,11,R,C.Zambrano(40),TBR,2008
