,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Mar 31,False,BAL,"W,6-2",9.0,6,2,2,0,3,3,0,0,2.0,33,110.0,67.0,1.0,0.0,2,1,30,1,0,0,0,0,1,2,4,Bob Davidson,"J.Shields (99-58-W), T.Miller (99), A.Reyes (99), D.Wheeler (99)",TBR,2008
1,2,Apr 2,False,BAL,"L,6-9",8.0,9,9,9,0,4,6,2,0,5.82,36,155.0,91.0,1.0,0.0,2,0,31,1,0,1,0,1,0,1,5,Alfonso Márquez,"M.Garza (99-37), G.Glover (99-H), D.Wheeler (1-H), A.Reyes (1-BL), S.Dohmann (99)",TBR,2008
2,3,Apr 4,False,NYY,"W,13-4",9.0,6,4,4,0,1,5,1,0,5.19,34,114.0,81.0,0.0,0.0,0,0,33,3,1,0,0,0,0,0,4,Doug Eddings,"A.Sonnanstine (99-48-W), D.Wheeler (1-H), T.Miller (3), S.Dohmann (1)",TBR,2008
3,4,Apr 5,False,NYY,"W,6-3",9.0,9,3,3,0,2,7,0,0,4.63,39,151.0,101.0,2.0,0.0,0,0,37,1,0,0,0,0,1,0,5,Dana DeMuth,"E.Jackson (99-60-W), D.Wheeler (0), T.Miller (0), A.Reyes (2-H), T.Percival (99-Sv)",TBR,2008
4,5,Apr 6,False,NYY,"L,0-2",8.0,9,2,2,0,1,7,1,1,4.19,34,129.0,88.0,1.0,0.0,0,0,32,2,0,0,0,0,0,0,2,Ted Barrett,"J.Shields (5-47-L), J.Howell (99)",TBR,2008
5,6,Apr 7,False,NYY,"L,1-6",8.0,11,6,6,0,2,5,1,0,4.59,37,136.0,86.0,0.0,0.0,0,0,35,2,1,1,0,0,0,0,3,James Hoye,"J.Hammel (99-41-L), S.Dohmann (2), G.Glover (4)",TBR,2008
6,7,Apr 8,True,SEA,"L,5-6",9.0,13,6,6,0,5,5,0,0,4.8,43,174.0,111.0,5.0,0.0,0,0,37,1,0,2,0,1,0,2,6,Marvin Hudson,"M.Garza (5-33), S.Dohmann (0), G.Glover (0-L), D.Wheeler (2), A.Reyes (2), T.Percival (2)",TBR,2008
7,8,Apr 9,True,SEA,"L,1-7",9.0,9,7,6,1,4,4,2,0,4.96,41,161.0,100.0,0.0,0.0,1,0,35,2,0,0,1,1,2,1,3,Randy Marsh,"A.Sonnanstine (4-43-L), J.Howell (2), J.Ryu (99)",TBR,2008
8,9,Apr 10,True,SEA,"W,7-0",9.0,3,0,0,0,4,7,0,0,4.38,32,112.0,69.0,0.0,0.0,1,0,28,0,0,0,0,0,0,2,2,Brian Knight,"E.Jackson (4-80-W), T.Miller (4)",TBR,2008
9,10,Apr 11,True,BAL,"W,10-5",9.0,8,5,2,3,3,6,0,0,4.14,38,143.0,84.0,3.0,0.0,0,0,35,5,0,1,0,0,1,0,5,Ed Rapuano,"J.Shields (4-47), G.Glover (2), T.Miller (0), A.Reyes (2-W), T.Percival (2)",TBR,2008
10,11,Apr 12,True,BAL,"L,2-3",9.0,6,3,3,0,1,8,1,2,4.03,35,136.0,87.0,0.0,0.0,2,0,32,2,1,0,0,0,0,1,4,Ed Hickox,"J.Hammel (4-64), J.Howell (2), T.Miller (0), D.Wheeler (3-L)",TBR,2008
11,12,Apr 13,True,BAL,"W,6-2",9.0,8,2,2,0,3,9,1,0,3.86,38,150.0,98.0,6.0,1.0,1,1,34,1,0,0,1,0,1,0,6,CB Bucknor,"J.Niemann (99-60-W), J.Howell (0), D.Wheeler (0-H), T.Miller (0-H), A.Reyes (1), T.Percival (1)",TBR,2008
12,13,Apr 14,True,NYY,"L,7-8",9.0,15,8,8,0,1,5,4,0,4.18,43,147.0,100.0,3.0,0.0,1,0,42,1,0,0,0,0,1,1,4,Brian Runge,"A.Sonnanstine (4-15), S.Dohmann (5), A.Reyes (0-L), G.Glover (2)",TBR,2008
13,14,Apr 15,True,NYY,"L,3-5",9.0,8,5,5,0,9,7,1,0,4.24,42,189.0,107.0,1.0,0.0,1,1,33,1,0,0,0,0,0,1,4,Charlie Reliford,"E.Jackson (4-39-L), J.Howell (1), T.Miller (1), G.Glover (0)",TBR,2008
14,15,Apr 16,False,MIN,"L,5-6",8.0,11,6,4,2,1,6,0,0,4.26,36,130.0,82.0,0.0,0.0,3,0,34,2,0,0,0,1,1,1,3,Jeff Nelson,"J.Shields (4-39), K.Birkins (99), D.Wheeler (2-L)",TBR,2008
15,16,Apr 17,False,MIN,"W,7-3",9.0,8,3,3,0,2,6,0,0,4.18,35,134.0,86.0,0.0,0.0,1,0,33,2,0,0,0,0,0,2,2,Adrian Johnson,"J.Hammel (4-51-W), J.Howell (1-Sv)",TBR,2008
16,17,Apr 18,True,CHW,"L,2-9",9.0,10,9,6,3,7,5,2,1,4.29,46,183.0,103.0,3.0,1.0,0,0,36,2,0,0,1,1,2,1,3,Jerry Crawford,"J.Niemann (4-21-L), K.Birkins (1), S.Dohmann (3)",TBR,2008
17,18,Apr 19,True,CHW,"W,5-0",9.0,3,0,0,0,1,4,0,0,4.04,29,106.0,77.0,,,0,0,28,0,0,0,0,0,0,2,1,Tom Hallion,A.Sonnanstine (4-84-W),TBR,2008
18,19,Apr 20,True,CHW,"L,0-6",9.0,10,6,6,0,4,9,1,0,4.15,40,155.0,102.0,1.0,1.0,0,0,36,1,1,0,0,0,1,2,5,Brian O'Nora,"E.Jackson (4-26-L), G.Glover (4), T.Miller (4), D.Wheeler (3), T.Percival (6)",TBR,2008
19,20,Apr 22,True,TOR,"W,6-4",9.0,6,4,2,2,2,6,1,0,4.04,34,132.0,82.0,0.0,0.0,0,1,32,0,0,0,0,0,1,1,3,Larry Vanover,"J.Shields (5-56-W), D.Wheeler (1-H), T.Percival (1-Sv)",TBR,2008
20,21,Apr 23,True,TOR,"W,5-3",9.0,6,3,3,0,4,3,2,0,3.99,36,137.0,82.0,0.0,0.0,2,0,31,0,0,0,1,0,0,1,3,Mike Everitt,"J.Hammel (5-50-W), D.Wheeler (0-H), T.Percival (0-Sv)",TBR,2008
21,22,Apr 24,True,TOR,"W,5-3",9.0,7,3,3,0,3,4,0,0,3.94,37,140.0,89.0,1.0,0.0,1,0,33,2,0,0,1,0,0,0,4,Mike DiMuro,"A.Sonnanstine (4-50-W), G.Glover (3-H), T.Miller (3-H), T.Percival (0-Sv)",TBR,2008
