,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 10,True,NYY,"W,1-0",40,37,1,4,1,0,0,0,2,2,5,0,1,0,1,1,0,0,0.108,0.154,0.135,0.289,5,12,L,R.Guidry(87),TEX,1980
1,2,Apr 11,True,NYY,"W,11-7",44,39,11,16,6,0,1,9,4,1,1,0,0,1,0,0,0,0,0.263,0.313,0.395,0.708,9,14,L,T.John(20),TEX,1980
2,3,Apr 13 (1),True,NYY,"L,4-9",39,36,4,8,2,1,0,4,3,0,3,0,0,0,1,0,0,0,0.25,0.303,0.375,0.678,8,12,R,L.Tiant(44),TEX,1980
3,4,Apr 13 (2),True,NYY,"L,2-8",40,35,2,8,2,0,0,2,5,0,4,0,0,0,1,1,2,0,0.245,0.309,0.354,0.662,11,13,R,E.Figueroa(50),TEX,1980
4,5,Apr 14,True,CLE,"W,7-4",37,29,7,7,3,0,1,6,7,1,4,0,1,0,0,1,1,0,0.244,0.323,0.369,0.693,6,10,L,R.Waits(33),TEX,1980
5,6,Apr 15,True,CLE,"W,3-0",33,29,3,8,1,0,0,3,2,0,1,0,1,1,0,0,1,0,0.249,0.322,0.361,0.683,6,10,L,B.Owchinko(45),TEX,1980
6,7,Apr 16,True,CLE,"W,8-7",41,39,8,13,0,0,1,8,2,0,6,0,0,0,1,0,1,0,0.262,0.328,0.369,0.697,7,14,R,L.Barker(35),TEX,1980
7,8,Apr 18,False,BOS,"W,6-5",39,36,6,10,3,0,3,6,3,0,6,0,0,0,2,2,0,1,0.264,0.329,0.4,0.729,6,12,R,B.Stanley(44),TEX,1980
8,9,Apr 19,False,BOS,"W,8-0",42,39,8,12,3,0,1,7,2,1,4,0,0,1,1,0,3,0,0.27,0.33,0.408,0.737,7,9,R,D.Eckersley(26),TEX,1980
9,10,Apr 20,False,BOS,"L,5-6",43,37,5,8,3,0,1,5,5,0,6,0,1,0,0,3,0,0,0.264,0.327,0.404,0.732,5,12,R,C.Rainey(39),TEX,1980
10,11,Apr 21,True,DET,"W,3-2",32,29,3,6,0,0,1,3,3,0,3,0,0,0,0,1,3,0,0.26,0.324,0.397,0.721,5,10,R,M.Wilcox(58),TEX,1980
11,12,Apr 22,True,DET,"L,0-2",34,34,0,8,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0.258,0.317,0.389,0.706,7,10,R,D.Rozema(73),TEX,1980
12,13,Apr 23,True,DET,"L,4-5",38,33,4,9,2,0,0,4,4,0,4,1,0,0,0,1,1,2,0.259,0.321,0.385,0.706,7,10,R,J.Morris(50),TEX,1980
13,14,Apr 25,False,CLE,"W,4-1",34,33,4,6,1,0,0,4,1,1,9,0,0,0,0,0,1,0,0.254,0.314,0.373,0.687,3,11,L,R.Waits(65),TEX,1980
14,15,Apr 26,False,CLE,"L,7-8",41,32,7,9,2,0,1,7,8,1,7,0,0,1,0,3,3,0,0.255,0.321,0.377,0.698,7,14,R,J.Denny(34),TEX,1980
15,16,Apr 27,False,CLE,"L,4-7",44,40,4,15,0,0,0,4,4,0,1,0,0,0,1,2,1,1,0.264,0.329,0.377,0.706,13,13,R,L.Barker(45),TEX,1980
16,17,Apr 29,False,DET,"W,10-5",38,33,10,16,2,0,1,10,1,0,2,0,1,3,0,0,0,0,0.276,0.336,0.392,0.728,7,10,R,J.Morris(24),TEX,1980
17,18,Apr 30,False,DET,"L,4-5",46,42,4,11,5,0,1,3,4,1,3,0,0,0,1,0,0,0,0.275,0.336,0.396,0.731,12,15,L,D.Schatzeder(52),TEX,1980
18,19,May 2,True,BAL,"L,5-7",35,32,5,8,2,0,2,5,2,0,1,1,0,0,0,3,0,0,0.274,0.335,0.401,0.735,3,13,L,M.Flanagan(41),TEX,1980
19,20,May 3,True,BAL,"W,3-2",31,30,3,7,0,0,1,2,1,0,5,0,0,0,0,1,0,0,0.272,0.332,0.398,0.729,4,9,R,J.Palmer(39),TEX,1980
20,21,May 4,True,BAL,"L,5-9",42,40,5,13,1,0,1,5,2,0,2,0,0,0,2,2,1,0,0.275,0.333,0.399,0.732,10,14,R,D.Martínez(35),TEX,1980
21,22,May 5,True,BOS,"W,11-3",44,39,11,16,4,0,1,10,3,0,3,0,1,1,1,0,1,0,0.282,0.338,0.409,0.747,9,9,R,D.Eckersley(32),TEX,1980
22,23,May 6,True,BOS,"W,7-2",40,37,7,14,2,1,0,6,2,1,5,0,0,1,2,0,1,1,0.286,0.341,0.412,0.754,9,12,L,B.Hurst(37),TEX,1980
