,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 10,True,NYY,"W,1-0",12.0,4,0,0,0,1,8,0,1,0.0,42,,,2.0,0.0,0,0,40,0,0,0,0,0,0,0,3,Marty Springstead,"J.Matlack (99-86), J.Kern (99), S.Lyle (99-W)",TEX,1980
1,2,Apr 11,True,NYY,"W,11-7",9.0,6,7,7,0,5,6,2,0,3.0,36,,,0.0,0.0,3,1,30,3,0,0,0,1,0,1,2,Joe Brinkman,"F.Jenkins (99-34-W), D.Rajsich (99-Sv)",TEX,1980
2,3,Apr 13(1),True,NYY,"L,4-9",9.0,12,9,9,0,9,6,1,0,4.8,43,,,0.0,0.0,0,1,34,3,0,0,0,0,0,2,4,Nick Bremigan,"S.Comer (99-24-L), D.Darwin (99), A.Devine (99), J.Kern (2)",TEX,1980
3,4,Apr 13(2),True,NYY,"L,2-8",9.0,13,8,5,3,2,6,1,1,4.85,42,,,3.0,2.0,1,1,39,2,0,0,0,0,1,1,4,Durwood Merrill,"G.Perry (99-43-L), D.Rajsich (1), D.Darwin (-1), S.Lyle (2)",TEX,1980
4,5,Apr 14,True,CLE,"W,7-4",9.0,6,4,4,0,5,4,1,0,4.69,37,,,2.0,0.0,0,0,32,1,0,0,0,0,0,1,2,Steve Palermo,"D.Medich (99-43-W), S.Lyle (0-Sv)",TEX,1980
5,6,Apr 15,True,CLE,"W,3-0",9.0,5,0,0,0,1,4,0,0,3.95,33,,,,,0,0,32,1,0,0,0,0,0,0,1,Dave Phillips,J.Matlack (4-80-W),TEX,1980
6,7,Apr 16,True,CLE,"W,8-7",9.0,11,7,7,0,9,2,0,0,4.36,45,,,5.0,3.0,0,0,33,3,0,0,0,3,1,3,4,Lou DiMuro,"F.Jenkins (4-20), D.Darwin (2), D.Rajsich (2), J.Kern (2-W)",TEX,1980
7,8,Apr 18,False,BOS,"W,6-5",9.0,9,5,4,1,5,5,0,0,4.32,40,,,1.0,0.0,0,0,32,1,0,1,2,1,1,1,3,Durwood Merrill,"S.Comer (4-32), D.Darwin (1-W), J.Kern (1-Sv)",TEX,1980
8,9,Apr 19,False,BOS,"W,8-0",9.0,5,0,0,0,2,3,0,0,3.86,35,,,,,0,0,33,1,0,0,0,0,3,2,1,Marty Springstead,G.Perry (5-78-W),TEX,1980
9,10,Apr 20,False,BOS,"L,5-6",10.1,15,6,6,0,5,5,0,0,4.01,50,,,3.0,1.0,0,0,45,4,1,2,0,0,0,0,3,Joe Brinkman,"D.Medich (5-31), A.Devine (6), J.Kern (1-BL)",TEX,1980
10,11,Apr 21,True,DET,"W,3-2",9.0,7,2,2,0,3,8,0,0,3.83,35,,,2.0,1.0,1,1,32,1,0,0,0,0,0,1,2,Don Denkinger,"J.Matlack (5-69-W), S.Lyle (6-Sv)",TEX,1980
11,12,Apr 22,True,DET,"L,0-2",9.0,8,2,2,0,3,3,1,0,3.69,36,,,,,0,0,32,2,0,1,1,0,0,1,1,Larry McCoy,F.Jenkins (5-63-L),TEX,1980
12,13,Apr 23,True,DET,"L,4-5",9.0,9,5,4,1,2,9,0,1,3.71,41,,,2.0,0.0,1,0,38,1,0,0,0,0,0,0,2,Dale Ford,"S.Comer (4-33-L), D.Rajsich (6)",TEX,1980
13,14,Apr 25,False,CLE,"W,4-1",9.0,9,1,1,0,7,3,0,0,3.52,40,,,6.0,1.0,0,1,33,0,0,1,0,0,0,1,4,Bill Kunkel,"G.Perry (5-52), J.Kern (4-BSv), S.Lyle (3), D.Darwin (6-W)",TEX,1980
14,15,Apr 26,False,CLE,"L,7-8",8.0,13,8,7,1,4,7,1,0,3.77,39,,,3.0,3.0,0,1,32,1,1,0,0,3,0,1,3,Terry Cooney,"J.Matlack (4-45), J.Kern (0-BL), S.Lyle (0)",TEX,1980
15,16,Apr 27,False,CLE,"L,4-7",8.0,13,7,4,3,3,2,0,0,3.81,40,,,3.0,1.0,0,0,37,2,1,1,0,0,2,2,3,Ken Kaiser,"F.Jenkins (4-41-L), D.Rajsich (3), A.Devine (6)",TEX,1980
16,17,Apr 29,False,DET,"W,10-5",7.0,10,5,5,0,2,2,1,0,3.93,31,,,5.0,1.0,0,0,29,1,0,0,0,0,0,1,3,Larry Barnett,"S.Comer (5-30-W), D.Darwin (3-H), D.Rajsich (1-Sv)",TEX,1980
17,18,Apr 30,False,DET,"L,4-5",9.2,11,5,5,0,4,4,2,0,3.98,43,,,2.0,1.0,0,1,38,0,0,1,1,0,0,0,4,Jim McKean,"G.Perry (4-44), D.Rajsich (0), S.Lyle (3-L), D.Darwin (0)",TEX,1980
18,19,May 2,True,BAL,"L,5-7",9.0,13,7,7,0,3,5,0,0,4.13,43,,,3.0,3.0,2,0,39,4,0,0,1,0,1,1,3,Larry McCoy,"J.Matlack (5-47), J.Kern (5-BL), S.Lyle (1)",TEX,1980
19,20,May 3,True,BAL,"W,3-2",9.0,8,2,2,0,0,8,1,0,4.03,32,,,,,0,0,32,1,0,0,0,0,0,2,1,Dale Ford,F.Jenkins (5-71-W),TEX,1980
20,21,May 4,True,BAL,"L,5-9",9.0,15,9,9,0,4,7,1,1,4.26,46,,,3.0,0.0,0,0,41,3,0,0,0,0,1,2,5,Greg Kosc,"S.Comer (4-37-L), D.Rajsich (3), A.Devine (6), D.Medich (13), S.Lyle (1)",TEX,1980
21,22,May 5,True,BOS,"W,11-3",9.0,8,3,3,0,1,5,1,0,4.21,34,,,,,0,0,33,3,0,0,0,0,0,1,1,Bill Deegan,G.Perry (4-63-W),TEX,1980
22,23,May 6,True,BOS,"W,7-2",9.0,6,2,2,0,1,7,1,0,4.11,33,,,,,1,1,32,2,0,0,0,0,0,0,1,Rich Garcia,D.Medich (1-73-W),TEX,1980
23,24,May 7,True,BOS,"L,4-7",11.0,15,7,4,3,2,2,2,0,4.07,51,,,5.0,1.0,1,0,47,1,0,1,1,1,0,0,4,Mike Reilly,"J.Matlack (4-44), D.Darwin (6), S.Lyle (2), A.Devine (2-L)",TEX,1980
24,25,May 9,True,CHW,"W,2-1",11.0,6,1,1,0,2,6,1,0,3.91,40,,,2.0,0.0,1,1,38,1,0,0,0,0,1,1,3,Jerry Neudecker,"F.Jenkins (5-80), S.Lyle (1), J.Kern (6-W)",TEX,1980
25,26,May 10,True,CHW,"L,6-10",9.0,10,10,9,1,5,8,1,1,4.1,44,,,5.0,2.0,0,0,37,2,0,1,1,0,0,0,4,Bill Deegan,"G.Perry (4-31), D.Darwin (2-L), J.Kern (0), S.Lyle (0)",TEX,1980
26,27,May 11,True,CHW,"W,5-1",9.0,6,1,1,0,1,6,0,0,3.99,33,,,1.0,0.0,0,0,32,0,1,0,0,0,1,2,2,Rich Garcia,"D.Medich (4-65-W), S.Lyle (0)",TEX,1980
27,28,May 12,False,BAL,"W,5-1",9.0,9,1,1,0,1,4,0,0,3.89,34,,,,,0,0,32,3,0,0,0,1,0,1,1,Dale Ford,J.Matlack (4-68-W),TEX,1980
28,29,May 13,False,BAL,"L,2-4",8.0,8,4,3,1,2,4,1,1,3.87,35,,,1.0,1.0,2,0,31,2,0,0,0,1,0,0,2,Greg Kosc,"F.Jenkins (3-54-L), J.Kern (2)",TEX,1980
29,30,May 14,False,BAL,"W,6-3",9.0,10,3,2,1,5,4,0,0,3.81,42,,,3.0,0.0,0,1,36,0,0,0,0,1,2,1,2,Don Denkinger,"G.Perry (3-49-W), S.Lyle (2-Sv)",TEX,1980
30,31,May 16,False,NYY,"L,2-6",8.0,9,6,6,0,3,7,3,1,3.89,37,,,1.0,1.0,1,0,32,1,1,0,0,1,0,0,3,Larry McCoy,"D.Medich (4-31-L), D.Rajsich (11), J.Kern (2)",TEX,1980
31,32,May 17,False,NYY,"L,0-3",8.0,8,3,2,1,1,4,0,0,3.85,32,,,,,1,0,31,1,0,0,0,0,1,1,1,Dale Ford,J.Matlack (4-59-L),TEX,1980
