,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 9,False,SEA,"L,6-8",41,36,6,9,1,1,2,5,5,0,4,0,0,0,1,1,2,0,0.25,0.341,0.5,0.841,8,12,R,M.Parrott(51),TOR,1980
1,2,Apr 11,False,SEA,"W,10-7",52,45,10,15,4,0,1,10,4,1,2,0,1,2,1,0,1,0,0.296,0.359,0.494,0.853,9,14,R,J.Beattie(58),TOR,1980
2,3,Apr 12,False,SEA,"L,2-3",37,33,2,4,0,0,1,2,4,0,3,0,0,0,0,0,0,1,0.246,0.318,0.412,0.73,5,11,L,R.Honeycutt(75),TOR,1980
3,4,Apr 13,False,SEA,"L,1-5",40,36,1,8,1,0,1,1,3,0,6,1,0,0,1,0,0,0,0.24,0.314,0.393,0.707,12,10,L,F.Bannister(70),TOR,1980
4,5,Apr 16,True,MIL,"W,11-2",43,36,11,12,2,0,1,9,6,0,4,1,0,0,0,0,1,0,0.258,0.34,0.409,0.748,8,9,R,J.Slaton(35),TOR,1980
5,6,Apr 17,True,MIL,"W,1-0",29,28,1,4,2,0,1,1,1,1,2,0,0,0,0,1,0,0,0.243,0.32,0.397,0.717,3,11,R,L.Sorensen(72),TOR,1980
6,7,Apr 19,False,CLE,"L,1-8",32,32,1,6,1,0,0,0,0,0,6,0,0,0,1,1,0,1,0.236,0.304,0.374,0.678,4,10,L,R.Waits(77),TOR,1980
7,8,Apr 20,False,CLE,"W,5-3",35,33,5,11,3,0,1,5,1,0,7,0,0,1,0,0,1,3,0.247,0.308,0.391,0.699,3,10,R,J.Denny(45),TOR,1980
8,9,Apr 21,False,KCR,"W,7-1",40,34,7,8,4,0,0,6,5,1,4,0,1,0,1,0,1,0,0.246,0.311,0.387,0.698,6,12,R,R.Gale(51),TOR,1980
9,10,Apr 22,False,KCR,"L,2-7",34,34,2,7,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0.242,0.302,0.372,0.674,5,9,L,P.Splittorff(61),TOR,1980
