,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 9,False,SEA,"L,6-8",8.0,12,8,6,2,2,4,1,0,6.75,38,,,1.0,0.0,0,0,34,2,1,1,2,0,1,1,5,Larry Barnett,"D.Lemanczyk (99-32-L), T.Buskey (99), B.Moore (99), J.Jefferson (99), J.McLaughlin (99)",TOR,1980
1,2,Apr 11,False,SEA,"W,10-7",11.0,11,7,5,2,6,5,1,0,5.21,47,,,2.0,1.0,4,1,41,2,0,1,0,0,1,2,5,Jim Evans,"D.Stieb (99-57), J.McLaughlin (1-BSv), J.Garvin (99), T.Buskey (1), B.Moore (1-W)",TOR,1980
2,3,Apr 12,False,SEA,"L,2-3",9.0,6,3,2,1,8,3,2,0,4.18,39,,,0.0,0.0,1,1,29,0,0,1,1,1,0,1,2,Jim McKean,"P.Mirabella (99-58), J.Garvin (0-L)",TOR,1980
3,4,Apr 13,False,SEA,"L,1-5",8.0,9,5,5,0,4,1,0,0,4.5,36,,,2.0,0.0,1,0,30,1,0,1,2,0,0,1,3,Ted Hendry,"D.Lemanczyk (3-42-L), T.Buskey (1), J.McLaughlin (1)",TOR,1980
4,5,Apr 16,True,MIL,"W,11-2",9.0,6,2,2,0,3,5,0,0,4.0,34,,,,,0,0,31,0,0,0,0,0,0,2,1,Bill Kunkel,D.Stieb (4-69-W),TOR,1980
5,6,Apr 17,True,MIL,"W,1-0",9.0,7,0,0,0,3,3,0,0,3.33,37,,,,,2,0,33,1,1,1,1,0,1,1,1,Terry Cooney,P.Mirabella (4-73-W),TOR,1980
6,7,Apr 19,False,CLE,"L,1-8",8.0,10,8,8,0,7,4,2,1,4.06,40,,,4.0,1.0,0,1,30,2,0,2,1,1,0,1,3,Ted Hendry,"J.Clancy (99-41-L), T.Buskey (5), B.Moore (7)",TOR,1980
7,8,Apr 20,False,CLE,"W,5-3",9.0,5,3,3,0,5,4,1,0,3.93,35,,,1.0,0.0,1,0,30,1,0,0,0,0,0,1,3,Larry Barnett,"D.Lemanczyk (6-48-W), J.Garvin (7-H), J.McLaughlin (6-Sv)",TOR,1980
8,9,Apr 21,False,KCR,"W,7-1",9.0,5,1,1,0,3,3,0,0,3.6,34,,,,,3,0,31,1,0,0,0,0,0,0,1,Jim McKean,D.Stieb (4-73-W),TOR,1980
9,10,Apr 22,False,KCR,"L,2-7",8.0,12,7,7,0,2,2,0,0,3.99,36,,,2.0,2.0,1,0,34,3,0,0,0,0,1,2,3,Ted Hendry,"P.Mirabella (4-43-L), J.Jefferson (12), T.Buskey (2)",TOR,1980
10,11,Apr 23,False,KCR,"L,4-7",8.0,11,7,4,3,4,1,0,0,4.03,40,,,5.0,0.0,2,0,36,5,1,2,0,0,0,0,4,Larry Barnett,"J.Clancy (3-47), J.Garvin (2), J.McLaughlin (2-L), B.Moore (3)",TOR,1980
11,12,Apr 25,False,MIL,"W,5-3",9.0,12,3,3,0,1,5,0,0,3.94,40,,,2.0,0.0,2,0,39,0,0,0,0,0,1,1,3,Bill Haller,"D.Lemanczyk (4-36), T.Buskey (2), J.McLaughlin (1-W)",TOR,1980
12,13,Apr 26,False,MIL,"W,4-0",9.0,5,0,0,0,4,6,0,0,3.63,34,,,,,1,1,30,1,0,0,0,0,0,1,1,Russ Goetz,D.Stieb (4-79-W),TOR,1980
13,14,Apr 27,False,MIL,"W,8-2",9.0,7,2,1,1,5,2,0,0,3.44,37,,,0.0,0.0,0,1,31,1,0,0,1,0,1,0,2,George Maloney,"P.Mirabella (4-54-W), B.Moore (3-Sv)",TOR,1980
14,15,Apr 29,True,KCR,"W,3-1",9.0,6,1,1,0,3,3,1,0,3.27,36,,,,,0,0,33,2,0,0,0,0,1,0,1,Vic Voltaggio,J.Clancy (5-71-W),TOR,1980
15,16,Apr 30,True,KCR,"L,0-3",9.0,4,3,3,0,2,2,2,0,3.26,31,,,0.0,0.0,1,1,28,0,0,0,1,0,1,1,2,Bill Haller,"J.Jefferson (7-66-L), J.McLaughlin (4)",TOR,1980
16,17,May 1,True,CLE,"L,1-2",9.0,5,2,2,0,4,2,0,0,3.18,34,,,5.0,2.0,0,0,30,2,0,0,0,0,0,2,3,Lou DiMuro,"D.Lemanczyk (5-59-L), J.Garvin (7), J.McLaughlin (0-BSv)",TOR,1980
17,18,May 2,True,CLE,"L,1-6",9.0,11,6,5,1,3,8,0,0,3.28,41,,,1.0,0.0,0,0,38,2,0,0,0,0,0,0,2,Al Clark,"D.Stieb (5-38-L), J.Garvin (0)",TOR,1980
18,19,May 3,True,CLE,"W,8-3",9.0,12,3,3,0,8,7,0,1,3.27,44,,,6.0,2.0,1,1,34,2,0,1,1,0,0,3,3,Steve Palermo,"P.Mirabella (5-38), B.Moore (5), T.Buskey (7-W)",TOR,1980
19,20,May 4(1),True,CLE,"W,9-8",10.0,13,8,8,0,4,2,5,1,3.49,47,,,0.0,0.0,1,0,42,0,0,0,0,0,1,2,4,Dave Phillips,"J.Clancy (4-38), J.McLaughlin (2-H), J.Garvin (1-BSv), T.Buskey (0-W)",TOR,1980
20,21,May 4(2),True,CLE,"W,7-2",9.0,8,2,2,0,4,6,0,0,3.42,39,,,4.0,0.0,0,1,35,1,0,0,0,0,2,1,3,Lou DiMuro,"J.Jefferson (3-48-W), J.Garvin (-1-H), J.McLaughlin (-1-Sv)",TOR,1980
21,22,May 6,False,CAL,"W,3-2",9.0,7,2,2,0,6,1,1,0,3.35,37,,,5.0,0.0,2,1,29,1,0,1,2,0,0,2,3,Bill Kunkel,"D.Lemanczyk (4-56-W), J.McLaughlin (1-H), J.Garvin (1-Sv)",TOR,1980
22,23,May 7,False,CAL,"W,7-3",9.0,10,3,3,0,0,2,1,0,3.34,32,,,,,0,0,31,1,0,0,1,0,0,5,1,Terry Cooney,D.Stieb (4-57-W),TOR,1980
23,24,May 8,False,CAL,"W,9-2",9.0,6,2,2,0,2,4,0,0,3.28,33,,,0.0,0.0,0,1,31,2,0,0,0,0,0,0,2,Ken Kaiser,"P.Mirabella (4-65-W), J.McLaughlin (1)",TOR,1980
24,25,May 10,False,OAK,"L,3-4",8.1,8,4,4,0,3,8,1,0,3.32,34,,,1.0,1.0,1,2,30,0,0,1,1,0,0,0,3,Richard Shulock,"J.Clancy (5-64), J.Garvin (3-L), T.Buskey (5)",TOR,1980
25,26,May 11,False,OAK,"L,1-12",8.0,16,12,11,1,4,4,1,0,3.63,44,,,5.0,5.0,2,0,37,0,0,0,0,3,0,0,4,Bill Kunkel,"D.Lemanczyk (4-23-L), B.Moore (7), J.Jefferson (6), J.McLaughlin (2)",TOR,1980
26,27,May 14,True,SEA,"L,0-7",9.0,11,7,7,0,5,4,2,0,3.76,40,,,0.0,0.0,0,1,34,2,0,0,1,0,0,1,4,Joe Brinkman,"P.Mirabella (5-38-L), T.Buskey (3), J.McLaughlin (2), J.Garvin (3)",TOR,1980
27,28,May 15,True,SEA,"W,1-0",9.0,3,0,0,0,5,4,0,0,3.62,33,,,,,0,0,28,0,0,0,0,0,0,2,1,Nick Bremigan,J.Clancy (4-80-W),TOR,1980
28,29,May 16,True,OAK,"W,1-0",11.0,4,0,0,0,4,10,0,0,3.47,41,,,,,2,0,36,1,0,0,1,0,0,0,1,Ted Hendry,J.Jefferson (4-95-W),TOR,1980
29,30,May 17,True,OAK,"L,2-4",14.0,13,4,4,0,6,4,0,0,3.42,58,,,0.0,0.0,2,0,51,2,0,2,1,0,0,2,2,Larry Barnett,"D.Stieb (9-71), J.McLaughlin (2-L)",TOR,1980
30,31,May 18,True,OAK,"W,12-1",9.0,10,1,1,0,0,2,1,0,3.35,36,,,,,0,0,36,2,0,0,0,0,0,1,1,Jim Evans,P.Mirabella (3-65-W),TOR,1980
31,32,May 19,True,BOS,"W,7-2",9.0,6,2,2,0,4,5,2,1,3.31,38,,,,,0,0,33,0,0,0,0,0,1,1,1,Jim McKean,J.Clancy (3-68-W),TOR,1980
32,33,May 20,True,BOS,"L,3-4",9.0,10,4,4,0,4,5,1,0,3.33,38,,,6.0,0.0,2,0,33,4,0,1,1,0,1,1,4,Ted Hendry,"D.Lemanczyk (8-36-L), B.Moore (8), J.Garvin (5), T.Buskey (5)",TOR,1980
33,34,May 21,True,BOS,"L,2-11",9.0,14,11,10,1,4,1,5,0,3.52,43,,,1.0,0.0,1,0,39,0,0,0,0,0,0,2,3,Larry Barnett,"J.Jefferson (4-28-L), J.McLaughlin (3), B.Moore (0)",TOR,1980
34,35,May 22,True,NYY,"L,1-5",9.0,9,5,5,0,7,5,1,0,3.56,41,19.0,10.0,2.0,1.0,3,0,33,1,0,1,0,1,0,2,3,Don Denkinger,"D.Stieb (4-40-L), T.Buskey (1), J.Garvin (1)",TOR,1980
35,36,May 23,True,NYY,"L,3-7",9.0,12,7,7,0,2,1,3,0,3.66,38,,,2.0,0.0,0,1,36,2,0,0,0,0,0,1,3,Larry McCoy,"P.Mirabella (4-29-L), D.Lemanczyk (2), B.Moore (1)",TOR,1980
36,37,May 24,True,NYY,"L,2-6",9.0,8,6,4,2,6,6,1,0,3.67,41,,,2.0,0.0,0,0,34,4,0,1,1,0,1,1,2,Dale Ford,"J.Clancy (4-44-L), J.Garvin (1)",TOR,1980
37,38,May 25,True,NYY,"W,9-6",9.0,15,6,5,1,5,0,1,0,3.7,41,,,5.0,3.0,0,1,36,2,0,0,0,0,0,3,3,Greg Kosc,"L.Leal (99-39-W), B.Moore (1), J.McLaughlin (3)",TOR,1980
38,39,May 26,False,BOS,"W,3-1",9.0,8,1,1,0,3,3,0,0,3.63,37,,,2.0,0.0,0,0,33,0,0,0,1,0,1,0,2,Don Denkinger,"J.Jefferson (4-54), J.Garvin (1-W)",TOR,1980
39,40,May 27,False,BOS,"L,4-5",8.0,7,5,4,1,4,4,1,0,3.65,33,,,1.0,0.0,0,0,28,1,1,0,0,1,0,0,2,Larry McCoy,"P.Mirabella (3-51), T.Buskey (4-BL)",TOR,1980
40,41,May 28,False,BOS,"W,4-1",9.0,4,1,1,0,6,7,0,1,3.59,37,,,0.0,0.0,0,0,29,1,0,0,0,1,0,1,2,Greg Kosc,"D.Stieb (5-62-W), J.McLaughlin (2-Sv)",TOR,1980
41,42,May 30,False,NYY,"L,0-6",8.0,7,6,3,3,4,6,2,1,3.58,36,,,2.0,1.0,0,0,30,1,0,1,1,0,1,0,3,Bill Deegan,"J.Clancy (5-55-L), J.Garvin (3), B.Moore (4)",TOR,1980
42,43,May 31,False,NYY,"L,6-8",10.1,13,8,8,0,5,6,4,0,3.67,49,,,1.0,0.0,0,0,42,2,0,0,2,0,0,0,4,Rich Garcia,"J.Jefferson (4-28), D.Lemanczyk (7), J.Garvin (0), J.McLaughlin (2-L)",TOR,1980
43,44,Jun 1,False,NYY,"L,7-11",8.0,13,11,11,0,5,4,2,0,3.85,41,,,4.0,4.0,0,0,35,1,1,0,0,1,0,0,3,Mike Reilly,"P.Mirabella (4-29-L), T.Buskey (4), B.Moore (1)",TOR,1980
44,45,Jun 2,True,CAL,"L,3-6",9.0,15,6,6,0,2,4,1,0,3.9,39,,,1.0,0.0,0,0,35,3,0,0,1,1,0,2,3,Greg Kosc,"L.Leal (7-29-L), B.Moore (0), J.Jefferson (1)",TOR,1980
