,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Team,Season
0,1,Apr 4,False,PHI,"L,4-8",41,38,4,13,1,0,1,4,3,0,6,0,0,0,0,1,0,0,0.342,0.39,0.447,0.838,10,17,R,J.Lieber(38),WSN,2005
1,2,Apr 6,False,PHI,"W,7-3",45,42,7,16,5,1,2,6,3,2,9,0,0,0,1,0,0,1,0.363,0.407,0.575,0.982,11,16,R,B.Myers(60),WSN,2005
2,3,Apr 7,False,PHI,"W,5-4",42,38,5,11,2,1,1,5,2,1,10,0,1,1,0,1,1,0,0.339,0.378,0.542,0.92,7,15,L,R.Wolf(49),WSN,2005
3,4,Apr 8,False,FLA,"L,0-9",29,28,0,5,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0.308,0.346,0.473,0.819,2,15,L,D.Willis(79),WSN,2005
4,5,Apr 9,False,FLA,"W,3-2",41,33,3,7,1,0,3,3,6,0,6,0,2,0,0,1,1,1,0.291,0.344,0.48,0.824,8,12,R,B.Moehler(50),WSN,2005
5,6,Apr 10,False,FLA,"L,0-8",32,31,0,5,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0.271,0.322,0.443,0.764,5,12,R,J.Beckett(87),WSN,2005
6,7,Apr 11,False,ATL,"L,2-11",35,35,2,8,1,0,1,2,0,0,2,0,0,0,1,1,0,0,0.265,0.309,0.429,0.738,6,15,L,M.Hampton(66),WSN,2005
7,8,Apr 12,False,ATL,"W,4-3",36,33,4,8,3,1,1,4,2,0,6,0,0,1,0,1,0,0,0.263,0.305,0.435,0.741,5,14,R,T.Hudson(72),WSN,2005
8,9,Apr 13,False,ATL,"W,11-4",47,38,11,12,2,3,2,11,8,0,4,0,0,1,0,0,0,0,0.269,0.322,0.465,0.787,9,14,R,J.Thomson(42),WSN,2005
9,10,Apr 14,True,ARI,"W,5-3",35,30,5,9,2,1,1,5,2,0,8,2,0,1,0,2,0,0,0.272,0.326,0.471,0.797,6,11,R,J.Vázquez(43),WSN,2005
10,11,Apr 16,True,ARI,"W,9-3",37,32,9,9,3,0,1,9,4,1,4,1,0,0,0,1,0,0,0.272,0.331,0.471,0.802,4,16,R,R.Ortiz(48),WSN,2005
11,12,Apr 17,True,ARI,"W,7-3",34,30,7,11,2,1,0,7,3,1,4,0,0,1,0,3,2,1,0.279,0.337,0.473,0.81,3,15,L,B.Halsey(48),WSN,2005
12,13,Apr 18,True,FLA,"L,4-9",36,32,4,8,3,0,1,3,1,0,6,1,1,1,0,1,0,0,0.277,0.333,0.47,0.804,5,16,L,D.Willis(52),WSN,2005
13,14,Apr 19,True,FLA,"L,3-6",40,36,3,10,1,0,1,3,3,0,7,0,1,0,0,0,1,0,0.277,0.333,0.464,0.798,10,17,R,B.Moehler(53),WSN,2005
14,15,Apr 20,True,ATL,"W,2-0",35,30,2,6,0,0,1,2,4,1,5,1,0,0,1,0,1,0,0.273,0.332,0.455,0.787,9,13,L,H.Ramírez(54),WSN,2005
15,16,Apr 21,True,ATL,"L,1-2",31,30,1,5,1,0,0,1,0,0,10,0,1,0,0,0,0,1,0.267,0.324,0.44,0.764,3,13,R,J.Smoltz(72),WSN,2005
16,17,Apr 22,False,NYM,"L,1-3",35,31,1,4,3,0,1,1,3,0,8,1,0,0,0,0,0,0,0.259,0.318,0.434,0.752,7,15,L,T.Glavine(73),WSN,2005
17,18,Apr 23,False,NYM,"L,5-10",41,37,5,12,2,0,0,5,1,0,6,1,0,2,1,1,0,0,0.263,0.32,0.43,0.75,9,18,R,J.Seo(60),WSN,2005
18,19,Apr 24,False,NYM,"W,11-4",48,40,11,17,4,0,1,10,3,0,7,2,0,3,1,1,4,0,0.273,0.329,0.441,0.77,10,14,R,V.Zambrano(21),WSN,2005
19,20,Apr 25,True,PHI,"L,4-5",39,36,4,12,2,2,0,4,1,1,4,0,1,1,0,1,0,0,0.276,0.33,0.444,0.774,8,16,R,C.Lidle(46),WSN,2005
20,21,Apr 26,True,PHI,"W,3-1",34,29,3,6,1,0,2,3,5,0,4,0,0,0,0,1,0,0,0.274,0.33,0.444,0.774,7,15,R,J.Lieber(51),WSN,2005
21,22,Apr 27,True,PHI,"L,0-3",33,30,0,4,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0.268,0.325,0.432,0.756,6,12,R,B.Myers(73),WSN,2005
22,23,Apr 29,True,NYM,"W,5-1",32,29,5,5,2,0,3,5,2,0,2,1,0,0,0,0,0,0,0.264,0.322,0.436,0.758,3,12,R,J.Seo(50),WSN,2005
23,24,Apr 30,True,NYM,"W,5-3",36,30,5,10,1,0,2,5,4,0,7,2,0,0,0,1,0,0,0.267,0.327,0.441,0.768,10,11,R,V.Zambrano(43),WSN,2005
24,25,May 1,True,NYM,"L,3-6",37,28,3,7,0,1,0,3,6,0,6,0,2,1,0,1,0,2,0.266,0.329,0.437,0.766,7,14,R,A.Heilman(52),WSN,2005
25,26,May 2,False,LAD,"W,6-2",41,37,6,13,0,0,1,6,4,0,6,0,0,0,0,2,0,0,0.27,0.332,0.437,0.769,8,16,R,S.Erickson(49),WSN,2005
26,27,May 3,False,LAD,"L,2-4",37,35,2,11,4,0,0,2,2,0,10,0,0,0,0,2,1,0,0.272,0.333,0.437,0.77,8,14,R,J.Weaver(56),WSN,2005
