,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
0,1,Apr 4,False,PHI,"L,4-8",8.0,14,8,8,0,6,5,1,1,9.0,43,163.0,97.0,3.0,0.0,1,0,32,1,0,1,1,3,0,0,6,Gary Darling,"L.Hernández (99-22-L), T.Tucker (99), J.Horgan (99), A.Osuna (99), J.Eischen (99), L.Ayala (99)",WSN,2005
1,2,Apr 6,False,PHI,"W,7-3",9.0,6,3,3,0,1,5,1,0,5.82,34,128.0,79.0,0.0,0.0,0,0,32,1,0,0,1,0,0,0,5,Larry Poncino,"Z.Day (99-49), A.Osuna (1), J.Eischen (1-W), L.Ayala (1-H), C.Cordero (99)",WSN,2005
2,3,Apr 7,False,PHI,"W,5-4",10.0,6,4,4,0,4,7,0,1,5.0,41,146.0,89.0,2.0,0.0,0,0,35,1,0,0,1,0,0,0,4,Mark Wegner,"E.Loaiza (99-49), J.Horgan (2), L.Ayala (0), C.Cordero (0-W)",WSN,2005
3,4,Apr 8,False,FLA,"L,0-9",8.0,10,9,9,0,4,2,3,0,6.17,38,157.0,103.0,3.0,3.0,1,1,33,1,0,0,0,1,1,0,4,Paul Emmel,"T.Ohka (99-51-L), T.Tucker (3), A.Osuna (1), J.Eischen (1)",WSN,2005
4,5,Apr 9,False,FLA,"W,3-2",10.0,8,2,1,1,1,6,1,0,5.0,38,157.0,102.0,0.0,0.0,0,0,37,1,0,0,0,0,0,2,3,Tony Randazzo,"L.Hernández (4-68), L.Ayala (1-H), C.Cordero (1-BW)",WSN,2005
5,6,Apr 10,False,FLA,"L,0-8",8.0,12,8,8,0,3,6,1,0,5.6,37,139.0,89.0,2.0,2.0,0,1,34,1,0,1,0,0,0,0,3,Ed Montague,"J.Patterson (99-62-L), J.Eischen (1), A.Osuna (1)",WSN,2005
6,7,Apr 11,False,ATL,"L,2-11",8.0,15,11,11,0,3,2,2,1,6.49,42,147.0,87.0,0.0,0.0,0,0,37,4,1,0,0,1,0,1,4,Sam Holbrook,"Z.Day (4-16-L), J.Eischen (0), T.Tucker (2), J.Horgan (3)",WSN,2005
7,8,Apr 12,False,ATL,"W,4-3",9.0,9,3,3,0,0,4,0,0,6.04,34,119.0,78.0,0.0,0.0,0,0,33,2,0,0,0,1,0,2,3,Jim Wolf,"E.Loaiza (4-54), L.Ayala (2-W), C.Cordero (2-Sv)",WSN,2005
8,9,Apr 13,False,ATL,"W,11-4",9.0,9,4,4,0,6,4,1,0,5.81,42,131.0,76.0,1.0,0.0,0,0,35,3,0,1,1,0,0,0,4,Randy Marsh,"T.Ohka (4-48-W), L.Ayala (0-H), C.Cordero (0), J.Eischen (1)",WSN,2005
9,10,Apr 14,True,ARI,"W,5-3",9.0,4,3,3,0,6,5,1,0,5.52,36,133.0,79.0,0.0,0.0,0,0,30,0,0,1,0,0,0,1,2,Jim Joyce,"L.Hernández (4-64-W), C.Cordero (0-Sv)",WSN,2005
